Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Life Sciences,Agricultural Sciences,1,Wageningen University & Research,302.3,98.9,86.9,88,,
2021,Life Sciences,Agricultural Sciences,2,China Agricultural University,292.3,100,80.3,59.8,,
2021,Life Sciences,Agricultural Sciences,3,Nanjing Agricultural University,288.4,99.4,79,53.4,,
2021,Life Sciences,Agricultural Sciences,4,Northwest A&F University,286.0,97.6,79.2,57.9,,
2021,Life Sciences,Agricultural Sciences,5,Huazhong Agricultural University,263.3,84.8,81.7,59.8,,
2021,Life Sciences,Agricultural Sciences,6,"University of California, Davis",262.5,83.7,79.7,77.4,,
2021,Life Sciences,Agricultural Sciences,7,University of Florida,248.8,80.2,74.1,71.3,,
2021,Life Sciences,Agricultural Sciences,8,Zhejiang University,248.3,75.8,84.2,62.2,,
2021,Life Sciences,Agricultural Sciences,9,Cornell University,246.4,75.3,80.8,74.9,,
2021,Life Sciences,Agricultural Sciences,10,Swedish University of Agricultural Sciences,245.8,74.7,79.1,86.1,,
2021,Life Sciences,Agricultural Sciences,11,Michigan State University,240.6,71.9,82.9,69.8,,
2021,Life Sciences,Agricultural Sciences,12,Paris-Saclay University,234.0,66.5,84.8,81,,
2021,Life Sciences,Agricultural Sciences,13,Ghent University,230.8,65.5,82.5,86,,
2021,Life Sciences,Agricultural Sciences,14,University of Copenhagen,228.9,65.6,80.1,87.8,,
2021,Life Sciences,Agricultural Sciences,15,Aarhus University,228.2,66.2,78.8,85.3,,
2021,Life Sciences,Agricultural Sciences,16,The University of Western Australia,226.7,64,81.3,86.7,,
2021,Life Sciences,Agricultural Sciences,17,University of Wisconsin - Madison,226.4,67.3,77.6,71.3,,
2021,Life Sciences,Agricultural Sciences,18,University of Illinois at Urbana-Champaign,222.4,63.5,80.4,74.7,,
2021,Life Sciences,Agricultural Sciences,19,University of Sao Paulo,222.2,73.7,62.7,61.2,,
2021,Life Sciences,Agricultural Sciences,20,Institut Agro,222.1,63.5,79.3,79.2,,
2021,Life Sciences,Agricultural Sciences,21,University of British Columbia,220.8,61.1,82.1,82.6,,
2021,Life Sciences,Agricultural Sciences,22,The University of Queensland,218.1,62.1,77.6,81.2,,
2021,Life Sciences,Agricultural Sciences,23,University of Montpellier,217.9,61.5,77,89.2,,
2021,Life Sciences,Agricultural Sciences,24,Iowa State University,216.9,62.7,77.9,67.6,,
