Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Natural Sciences,Atmospheric Science,1,University of Colorado at Boulder,337.5,96.6,78.7,75.3,100,47.1
2021,Natural Sciences,Atmospheric Science,2,University of Washington,331.9,71.7,78.9,68.5,67.6,100
2021,Natural Sciences,Atmospheric Science,3,"University of California, Los Angeles",301.6,58.4,75.7,79.5,57.3,94.3
2021,Natural Sciences,Atmospheric Science,4,Colorado State University,296.2,67.3,73,68.9,67.6,74.5
2021,Natural Sciences,Atmospheric Science,5,The University of Reading,290.2,71.7,78.5,81.4,68.4,55.3
2021,Natural Sciences,Atmospheric Science,6,California Institute of Technology,286.1,76.1,80.2,79.2,80.6,33.3
2021,Natural Sciences,Atmospheric Science,7,Princeton University,283.8,65.8,86.6,74.9,58.7,57.7
2021,Natural Sciences,Atmospheric Science,8,Massachusetts Institute of Technology (MIT),278.9,57.9,77.9,78.8,54.8,72.6
2021,Natural Sciences,Atmospheric Science,9,Nanjing University of Information Science & Technology,272.7,100,62.8,71.2,95.7,0
2021,Natural Sciences,Atmospheric Science,10,"University of California, San Diego",256.1,58.5,79.8,78.2,61.3,40.8
2021,Natural Sciences,Atmospheric Science,11,"University of Maryland, College Park",255.6,70.6,81,77.2,65.1,23.6
2021,Natural Sciences,Atmospheric Science,12,Columbia University,251.3,77.3,87.1,79.4,71,0
2021,Natural Sciences,Atmospheric Science,13,University of Oxford,249.7,58.5,83.5,85.6,49.8,40.8
2021,Natural Sciences,Atmospheric Science,14,Sorbonne University,243.6,75.4,75.6,93.4,73.9,0
2021,Natural Sciences,Atmospheric Science,15,University of Hawaii at Manoa,242.2,51.4,70.6,91.4,54.8,47.1
2021,Natural Sciences,Atmospheric Science,16,ETH Zurich,241.5,70.3,89,90.8,63.9,0
2021,Natural Sciences,Atmospheric Science,16,University of Versailles Saint-Quentin-en-Yvelines,241.5,77.5,82.7,93.7,62.5,0
2021,Natural Sciences,Atmospheric Science,18,"University of California, Berkeley",239.7,51.9,82.2,76.1,43.2,47.1
2021,Natural Sciences,Atmospheric Science,19,Georgia Institute of Technology,236.5,49.3,81.2,79.9,49.2,40.8
2021,Natural Sciences,Atmospheric Science,20,Stockholm University,225.8,54.7,79.9,96.6,48.3,23.6
2021,Natural Sciences,Atmospheric Science,21,Harvard University,225.5,63.8,85,83,60.1,0
2021,Natural Sciences,Atmospheric Science,21,Yale University,225.5,37.6,81.9,79,32.5,57.7
2021,Natural Sciences,Atmospheric Science,23,Peking University,224.6,70.3,78.9,79.4,59.5,0
2021,Natural Sciences,Atmospheric Science,24,Texas A&M University,224.1,47.3,74.8,78.2,45.5,40.8
2021,Natural Sciences,Atmospheric Science,25,University of Leeds,221.5,61.2,82.7,88.8,59.8,0
2021,Natural Sciences,Atmospheric Science,26,Pennsylvania State University - University Park,217.5,47.8,66.6,65.8,42.8,47.1
2021,Natural Sciences,Atmospheric Science,27,Tsinghua University,216.0,62.4,84.7,78.6,53.2,0
2021,Natural Sciences,Atmospheric Science,28,Beijing Normal University,215.5,67.7,72.4,69.4,61.5,0
2021,Natural Sciences,Atmospheric Science,29,Karlsruhe Institute of Technology (KIT),214.8,62.5,71.5,89.9,62.8,0
2021,Natural Sciences,Atmospheric Science,30,"University of California, Irvine",214.2,58.2,87,82.3,52.6,0
2021,Natural Sciences,Atmospheric Science,31,University of Arizona,214.1,45.7,81.2,75.9,38.7,33.3
2021,Natural Sciences,Atmospheric Science,32,"Rutgers, The State University of New Jersey - New Brunswick",213.6,36.5,80.8,79.8,33.1,47.1
2021,Natural Sciences,Atmospheric Science,33,Nanjing University,210.5,64.5,66.6,74.8,64.4,0
2021,Natural Sciences,Atmospheric Science,34,University of Chicago,204.4,34.2,85.3,75,29.1,40.8
2021,Natural Sciences,Atmospheric Science,35,University of Helsinki,202.5,56.2,73.8,93.7,53.7,0
2021,Natural Sciences,Atmospheric Science,36,University at Albany (State University of New York),202.4,42.3,72.3,72.1,40.1,33.3
2021,Natural Sciences,Atmospheric Science,37,The University of New South Wales,202.2,53,84.2,86.9,47.6,0
2021,Natural Sciences,Atmospheric Science,38,Cornell University,202.0,39.3,76.8,66.7,31.7,40.8
2021,Natural Sciences,Atmospheric Science,39,The University of Tokyo,200.9,49.9,65.4,73,47.5,23.6
2021,Natural Sciences,Atmospheric Science,40,George Mason University,198.3,38.7,66.1,69,39,40.8
2021,Natural Sciences,Atmospheric Science,41,University of Cambridge,198.2,40.6,77.1,92.8,38.4,23.6
2021,Natural Sciences,Atmospheric Science,42,University of Wisconsin - Madison,196.6,57.2,72.8,70,52.6,0
2021,Natural Sciences,Atmospheric Science,43,University of Toronto,194.3,50.9,76.9,88.9,48.7,0
2021,Natural Sciences,Atmospheric Science,44,University of Exeter,192.7,48.7,85.5,82.2,42,0
2021,Natural Sciences,Atmospheric Science,45,University of Oklahoma - Norman,190.5,47.2,64.5,63,42.6,23.6
2021,Natural Sciences,Atmospheric Science,46,Stony Brook University,188.9,32.2,67.2,67.6,35.1,40.8
2021,Natural Sciences,Atmospheric Science,47,University of Utah,185.1,33.6,59.1,63.6,32.6,47.1
2021,Natural Sciences,Atmospheric Science,48,Utrecht University,184.4,46.2,84.9,93,34.6,0
2021,Natural Sciences,Atmospheric Science,49,University of Bern,183.7,46.4,80.6,90.9,38.5,0
2021,Natural Sciences,Atmospheric Science,50,University of East Anglia,182.9,42.7,86,93.1,35.6,0
2021,Natural Sciences,Atmospheric Science,51-75,Duke University,,38.7,78,83.8,35,0
2021,Natural Sciences,Atmospheric Science,51-75,Florida State University,,36.5,66.2,75.7,32.5,23.6
2021,Natural Sciences,Atmospheric Science,51-75,Fudan University,,44.4,69.9,69.1,39.8,0
2021,Natural Sciences,Atmospheric Science,51-75,Imperial College London,,38.2,88,90.2,31.7,0
2021,Natural Sciences,Atmospheric Science,51-75,Lanzhou University,,49.2,69.9,59.7,43.7,0
2021,Natural Sciences,Atmospheric Science,51-75,Lund University,,40.2,80.5,94.7,30.3,0
2021,Natural Sciences,Atmospheric Science,51-75,New Mexico Institute of Mining and Technology,,23.4,66,67.6,24.5,47.1
2021,Natural Sciences,Atmospheric Science,51-75,Ocean University of China,,42.6,68.4,81.1,42.6,0
2021,Natural Sciences,Atmospheric Science,51-75,Paris-Saclay University,,45.6,70.3,90.6,40.4,0
2021,Natural Sciences,Atmospheric Science,51-75,Paul Sabatier University (Toulouse 3),,44.7,71.1,91.7,39.7,0
2021,Natural Sciences,Atmospheric Science,51-75,Stanford University,,37.2,91.2,75.6,26.5,0
2021,Natural Sciences,Atmospheric Science,51-75,Sun Yat-sen University,,52,66,71,46.9,0
2021,Natural Sciences,Atmospheric Science,51-75,The University of Edinburgh,,40.7,77.5,89.9,36.4,0
2021,Natural Sciences,Atmospheric Science,51-75,The University of Manchester,,41.5,73.8,90.2,41.9,0
2021,Natural Sciences,Atmospheric Science,51-75,The University of Melbourne,,44.7,72.4,79.6,40.5,0
2021,Natural Sciences,Atmospheric Science,51-75,Université Grenoble Alpes,,43.8,74.5,89.8,37.9,0
2021,Natural Sciences,Atmospheric Science,51-75,"University of California, Davis",,45,78.6,72.5,38.8,0
2021,Natural Sciences,Atmospheric Science,51-75,"University of California, Santa Barbara",,35,92.6,69.9,26.1,0
2021,Natural Sciences,Atmospheric Science,51-75,University of Gothenburg,,36.8,80.5,97,31,0
2021,Natural Sciences,Atmospheric Science,51-75,University of Innsbruck,,38.1,74.5,95.8,37.6,0
2021,Natural Sciences,Atmospheric Science,51-75,University of Miami,,45.4,69.9,66.3,44.4,0
2021,Natural Sciences,Atmospheric Science,51-75,University of Michigan-Ann Arbor,,46.5,72.7,70.2,41.1,0
2021,Natural Sciences,Atmospheric Science,51-75,University of York,,32,84.1,93.2,33.7,0
2021,Natural Sciences,Atmospheric Science,51-75,Vrije Universiteit Amsterdam,,35.2,98.5,97.7,27.1,0
2021,Natural Sciences,Atmospheric Science,51-75,Wageningen University & Research,,44.9,85.9,92.5,32.6,0
2021,Natural Sciences,Atmospheric Science,76-100,Carnegie Mellon University,,35.8,80.3,81,30.5,0
2021,Natural Sciences,Atmospheric Science,76-100,Dalhousie University,,28.8,84.4,93.9,28.6,0
2021,Natural Sciences,Atmospheric Science,76-100,Goethe University Frankfurt,,31,81.8,92.1,30.7,0
