Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Engineering,Automation & Control,1,Massachusetts Institute of Technology (MIT),344.1,64.3,78.1,69.2,95.3,92.6
2021,Engineering,Automation & Control,2,University of Illinois at Urbana-Champaign,310.9,50.5,62.2,65,85.1,100
2021,Engineering,Automation & Control,3,ETH Zurich,299.1,55.9,85.1,78.3,76.9,65.5
2021,Engineering,Automation & Control,4,"University of California, Berkeley",284.9,52.4,75.2,65.3,68.6,75.6
2021,Engineering,Automation & Control,5,Nanyang Technological University,284.4,85.4,82.3,87.9,99.1,0
2021,Engineering,Automation & Control,6,Stanford University,278.9,43.7,80.1,59.1,58.7,84.5
2021,Engineering,Automation & Control,7,California Institute of Technology,277.0,30.6,83.7,64.9,49.7,100
2021,Engineering,Automation & Control,8,Harbin Institute of Technology,276.8,100,79.7,56.9,85.8,0
2021,Engineering,Automation & Control,9,Imperial College London,275.1,51.6,68.2,83.8,73.1,65.5
2021,Engineering,Automation & Control,10,Harvard University,274.0,41.3,100,73.1,52.5,65.5
2021,Engineering,Automation & Control,11,University of Michigan-Ann Arbor,268.8,59.1,63.3,62.2,80.6,53.5
2021,Engineering,Automation & Control,12,City University of Hong Kong,266.8,73.8,92.8,57.4,88.7,0
2021,Engineering,Automation & Control,13,"The University of Newcastle, Australia",262.2,46,63.6,88.3,69.5,65.5
2021,Engineering,Automation & Control,14,University of Toronto,260.4,43.9,62,76.5,54.7,84.5
2021,Engineering,Automation & Control,15,University of Groningen,250.5,40.7,66.4,80,73.9,53.5
2021,Engineering,Automation & Control,16,Southeast University,245.0,76.3,88.9,64,67,0
2021,Engineering,Automation & Control,17,Zhejiang University,242.4,83.7,76.1,61.6,70.3,0
2021,Engineering,Automation & Control,18,"University of California, Santa Barbara",242.3,36.7,69.8,73,67.8,53.5
2021,Engineering,Automation & Control,19,Beihang University,241.0,84.6,76.3,55.2,69.1,0
2021,Engineering,Automation & Control,20,KTH Royal Institute of Technology,239.0,55.7,66.4,84.5,100,0
2021,Engineering,Automation & Control,21,The Australian National University,237.2,39,58.4,88.5,68.6,53.5
2021,Engineering,Automation & Control,22,Tsinghua University,226.7,76.1,70.6,58.9,68.2,0
2021,Engineering,Automation & Control,23,The University of Hong Kong,225.6,55.9,86.4,62.9,70.7,0
2021,Engineering,Automation & Control,24,"University of California, San Diego",222.5,46.7,72.9,77.3,87.4,0
2021,Engineering,Automation & Control,25,The University of Adelaide,222.2,45.3,100,96.2,57.7,0
2021,Engineering,Automation & Control,25,University of Cambridge,222.2,30.6,60,82.4,49.7,65.5
2021,Engineering,Automation & Control,27,Shanghai Jiao Tong University,220.4,72.7,64.7,51.3,72.7,0
2021,Engineering,Automation & Control,28,Northeastern University (Shenyang),219.6,75.8,69.4,46.5,65.2,0
2021,Engineering,Automation & Control,29,Sapienza University of Rome,219.5,27.8,61.7,68,40.8,75.6
2021,Engineering,Automation & Control,30,National University of Singapore,216.3,65.1,80.2,82.2,54.7,0
2021,Engineering,Automation & Control,31,Beijing Institute of Technology,213.8,66.1,70.2,54.7,66.5,0
2021,Engineering,Automation & Control,32,Paris-Saclay University,209.4,49.8,53.5,78.8,90.3,0
2021,Engineering,Automation & Control,33,Brunel University,208.1,39.7,100,96.3,49.1,0
2021,Engineering,Automation & Control,34,The University of Manchester,207.3,35.1,74.7,83.9,42.9,37.8
2021,Engineering,Automation & Control,35,Guangdong University of Technology,203.1,50.8,94.5,61.6,45.5,0
2021,Engineering,Automation & Control,36,Polytechnic University of Milan,202.9,50,80.3,71.7,58.2,0
2021,Engineering,Automation & Control,37,Victoria University,202.1,38.6,100,99.7,43.5,0
2021,Engineering,Automation & Control,38,Carnegie Mellon University,199.9,46.3,74,71.7,65.2,0
2021,Engineering,Automation & Control,39,Nanjing University of Science and Technology,199.1,57.8,72.5,53.3,58.2,0
2021,Engineering,Automation & Control,40,Chongqing University,197.8,48.9,89.4,64,46.7,0
2021,Engineering,Automation & Control,41,Georgia Institute of Technology,197.6,53.8,65.2,65.1,65.7,0
2021,Engineering,Automation & Control,42,Huazhong University of Science and Technology,196.6,72.1,77.1,55.3,36.4,0
2021,Engineering,Automation & Control,43,The Chinese University of Hong Kong,196.2,46.3,74.4,62.4,63,0
2021,Engineering,Automation & Control,44,Shandong University of Science and Technology,195.6,42.5,90.9,62.6,49.7,0
2021,Engineering,Automation & Control,45,University of Science and Technology Beijing,194.6,47.6,88.2,60.2,46.7,0
2021,Engineering,Automation & Control,46,Technion-Israel Institute of Technology,194.2,30.8,50.8,68.2,45.5,53.5
2021,Engineering,Automation & Control,47,The Hong Kong University of Science and Technology,194.0,40.9,82.2,63.4,58.2,0
2021,Engineering,Automation & Control,48,Eindhoven University of Technology,193.5,46.7,60.3,78.5,70.7,0
2021,Engineering,Automation & Control,49,New York University,193.3,30.2,70.4,70.4,40.8,37.8
2021,Engineering,Automation & Control,50,University of Padua,192.9,41.8,67.8,70.9,69.1,0
2021,Engineering,Automation & Control,51-75,Bohai University,,42.3,100,55.4,35.6,0
2021,Engineering,Automation & Control,51-75,Dalian University of Technology,,51.7,70.1,56.5,47.3,0
2021,Engineering,Automation & Control,51-75,Delft University of Technology,,52.7,58.8,80.1,65.2,0
