Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Life Sciences,Biological Sciences,1,Harvard University,376.4,100,100,75.9,100,61.2
2021,Life Sciences,Biological Sciences,2,Massachusetts Institute of Technology (MIT),324.8,61.9,100,74.8,77.2,70.7
2021,Life Sciences,Biological Sciences,3,Stanford University,318.8,62.5,100,70.6,68.6,73.6
2021,Life Sciences,Biological Sciences,4,University of Cambridge,287.9,62.6,96.7,85.5,40.7,70.7
2021,Life Sciences,Biological Sciences,5,Rockefeller University,282.2,30.8,100,73,50.2,86.6
2021,Life Sciences,Biological Sciences,6,Johns Hopkins University,281.0,59.4,91.5,69.8,39.8,76.4
2021,Life Sciences,Biological Sciences,7,"University of California, San Francisco",280.5,56.7,100,69.9,59.8,50
2021,Life Sciences,Biological Sciences,8,Columbia University,277.8,49.3,96,71.2,44.7,73.6
2021,Life Sciences,Biological Sciences,9,University of Washington,276.3,59.7,93.4,67.9,38.9,70.7
2021,Life Sciences,Biological Sciences,10,University College London,268.2,56.7,92.6,84.1,31.4,70.7
2021,Life Sciences,Biological Sciences,11,Yale University,251.3,51.2,87.7,71.5,40.4,57.7
2021,Life Sciences,Biological Sciences,12,University of Oxford,249.5,64.4,94.2,86.3,32.9,40.8
2021,Life Sciences,Biological Sciences,13,The University of Texas Southwestern Medical Center at Dallas,247.9,38.3,91.1,67.4,34.3,70.7
2021,Life Sciences,Biological Sciences,14,"University of California, Berkeley",241.1,50.2,95.1,68.5,41.3,40.8
2021,Life Sciences,Biological Sciences,15,University of North Carolina at Chapel Hill,237.3,49.5,94,64.2,31,50
2021,Life Sciences,Biological Sciences,16,Karolinska Institute,230.7,48.1,92.5,89.7,31.4,40.8
2021,Life Sciences,Biological Sciences,17,University of Massachusetts Medical School - Worcester,230.4,31,94.4,68.1,30.2,61.2
2021,Life Sciences,Biological Sciences,18,California Institute of Technology,221.4,27.5,99.7,66.5,26.9,54
2021,Life Sciences,Biological Sciences,19,"University of California, San Diego",216.8,59.4,95.2,73.4,47.5,0
2021,Life Sciences,Biological Sciences,20,Vanderbilt University,212.9,42.8,91.5,63.1,30.6,35.4
2021,Life Sciences,Biological Sciences,21,Princeton University,208.6,30.7,94.6,68.9,28.6,40.8
2021,Life Sciences,Biological Sciences,22,Norwegian University of Science and Technology - NTNU,207.0,23.8,87.3,83.2,8.5,70.7
2021,Life Sciences,Biological Sciences,23,Tokyo Institute of Technology,206.3,19.1,66.9,59,8.5,100
2021,Life Sciences,Biological Sciences,24,University of Pennsylvania,204.9,56.9,94.7,67.2,39.8,0
2021,Life Sciences,Biological Sciences,25,"University of California, Los Angeles",202.7,53,94.1,71.4,41.3,0
