Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Engineering,Biomedical Engineering,1,Harvard University,301.3,100,85,81.4,100,
2021,Engineering,Biomedical Engineering,2,Shanghai Jiao Tong University,264.6,77.6,79.3,62.9,95.1,
2021,Engineering,Biomedical Engineering,3,Massachusetts Institute of Technology (MIT),244.3,64.4,93.4,82,70.1,
2021,Engineering,Biomedical Engineering,4,Stanford University,235.8,70.4,89.4,72.2,61.6,
2021,Engineering,Biomedical Engineering,5,Fudan University,235.0,53.2,80.4,54.6,90.5,
2021,Engineering,Biomedical Engineering,6,University of Michigan-Ann Arbor,227.2,64.8,80.8,63.4,68.9,
2021,Engineering,Biomedical Engineering,7,Zhejiang University,224.2,59.1,78.3,62.8,74.3,
2021,Engineering,Biomedical Engineering,8,Soochow University (China),222.8,48.2,89.1,59.4,73.7,
2021,Engineering,Biomedical Engineering,9,Johns Hopkins University,215.7,63.4,74.7,73.1,63,
2021,Engineering,Biomedical Engineering,10,Seoul National University,212.4,56.5,67.4,54.1,77.7,
2021,Engineering,Biomedical Engineering,11,National University of Singapore,211.7,57.3,71.5,86,65.7,
2021,Engineering,Biomedical Engineering,11,University of Pittsburgh,211.7,56.7,74.1,63,68.2,
2021,Engineering,Biomedical Engineering,13,Sichuan University,210.8,51.9,79.1,58,68.2,
2021,Engineering,Biomedical Engineering,14,Peking University,209.2,55.8,75.6,60.7,65.7,
2021,Engineering,Biomedical Engineering,15,Imperial College London,207.4,60.4,86.8,78.7,44.5,
2021,Engineering,Biomedical Engineering,16,University of North Carolina at Chapel Hill,205.3,52.1,84.9,70.7,54.1,
2021,Engineering,Biomedical Engineering,17,Korea University,203.8,49.5,80.4,72,59.5,
2021,Engineering,Biomedical Engineering,18,The Chinese University of Hong Kong,203.0,39.6,100,67,50,
2021,Engineering,Biomedical Engineering,19,Utrecht University,201.9,49.7,96.9,79.4,39.4,
2021,Engineering,Biomedical Engineering,20,Georgia Institute of Technology,201.4,56.7,78.4,60.3,54.1,
2021,Engineering,Biomedical Engineering,21,Columbia University,198.7,49.3,85,72.1,50,
2021,Engineering,Biomedical Engineering,22,University of Pennsylvania,197.9,55.7,79.9,61.6,50,
2021,Engineering,Biomedical Engineering,23,University College London,196.6,64.1,71.9,80,44.5,
2021,Engineering,Biomedical Engineering,24,University of Toronto,196.4,60.7,69.8,71.2,51.7,
2021,Engineering,Biomedical Engineering,25,"University of California, Los Angeles",196.3,55.7,76.3,71.6,50,
2021,Engineering,Biomedical Engineering,25,"University of California, San Diego",196.3,52.5,90,72.1,39.4,
2021,Engineering,Biomedical Engineering,27,ETH Zurich,195.3,54.6,80.5,83.9,43.5,
2021,Engineering,Biomedical Engineering,28,Sun Yat-sen University,194.6,51.3,73.5,58.8,58,
2021,Engineering,Biomedical Engineering,29,University of Science and Technology of China,193.4,35,84.3,65.7,60.9,
2021,Engineering,Biomedical Engineering,30,Pohang University of Science and Technology,192.7,34.2,100,60.6,46.4,
2021,Engineering,Biomedical Engineering,30,Tsinghua University,192.7,53.2,80.6,67.2,45.5,
2021,Engineering,Biomedical Engineering,32,Nanyang Technological University,190.3,46.8,77.1,86.4,49.1,
2021,Engineering,Biomedical Engineering,33,Emory University,190.1,47.8,83.1,64.2,46.4,
2021,Engineering,Biomedical Engineering,34,Wuhan University,187.7,36.1,78.8,63.3,60.2,
2021,Engineering,Biomedical Engineering,35,Huazhong University of Science and Technology,186.9,44.1,78.2,68.9,50.9,
2021,Engineering,Biomedical Engineering,36,Xi'an Jiaotong University,186.5,42,83.2,70,47.3,
2021,Engineering,Biomedical Engineering,37,City University of Hong Kong,186.0,31,93.5,57.6,50,
2021,Engineering,Biomedical Engineering,37,University of Cambridge,186.0,48.3,88.8,83.7,32.2,
2021,Engineering,Biomedical Engineering,39,Nanjing University,184.8,36.1,80.6,54.5,57.2,
2021,Engineering,Biomedical Engineering,40,University of Zurich,184.6,56.3,79.1,84.9,32.2,
2021,Engineering,Biomedical Engineering,41,Cornell University,183.9,45.7,75.5,63.8,50,
2021,Engineering,Biomedical Engineering,42,Northwestern University,182.4,49,77.6,65.6,42.5,
2021,Engineering,Biomedical Engineering,43,TU Dresden,181.7,41.8,79.8,72.6,45.5,
2021,Engineering,Biomedical Engineering,44,Tufts University,181.5,41.5,79.7,73.5,45.5,
2021,Engineering,Biomedical Engineering,45,Duke University,181.3,47.3,72.6,56.8,50,
2021,Engineering,Biomedical Engineering,46,University of Washington,180.1,48,73.6,70,44.5,
2021,Engineering,Biomedical Engineering,47,University of Wisconsin - Madison,178.7,48.4,74,59,44.5,
2021,Engineering,Biomedical Engineering,48,King's College London,178.4,49.2,79,83.9,33.5,
2021,Engineering,Biomedical Engineering,49,Nankai University,176.2,31.8,84,56.4,49.1,
2021,Engineering,Biomedical Engineering,50,"University of California, Berkeley",175.7,42,82.3,65.6,38.3,
2021,Engineering,Biomedical Engineering,51-75,Case Western Reserve University,,47.8,77.3,62.6,32.2,
2021,Engineering,Biomedical Engineering,51-75,Jilin University,,34,71.7,51.6,54.1,
2021,Engineering,Biomedical Engineering,51-75,Jinan University,,33.4,75.6,55,49.1,
2021,Engineering,Biomedical Engineering,51-75,King Abdulaziz University,,27.7,98.3,100,29.4,
2021,Engineering,Biomedical Engineering,51-75,Korea Advanced Institute of Science and Technology,,35.4,75.2,55.8,44.5,
2021,Engineering,Biomedical Engineering,51-75,Kyoto University,,45,70.1,58.7,40.5,
2021,Engineering,Biomedical Engineering,51-75,Northeastern University (Boston),,34.3,81.7,76.5,39.4,
2021,Engineering,Biomedical Engineering,51-75,Peking Union Medical College,,44,71.3,54.9,41.5,
2021,Engineering,Biomedical Engineering,51-75,Queensland University of Technology,,35.4,75.9,82.9,42.5,
2021,Engineering,Biomedical Engineering,51-75,Radboud University Nijmegen,,42,93.5,83.3,16.1,
2021,Engineering,Biomedical Engineering,51-75,Royal College of Surgeons - Ireland,,29.8,90.1,71.5,34.7,
2021,Engineering,Biomedical Engineering,51-75,South China University of Technology,,36.2,77.2,50.5,47.3,
2021,Engineering,Biomedical Engineering,51-75,Southeast University,,34.5,78.7,65.9,46.4,
2021,Engineering,Biomedical Engineering,51-75,Sungkyunkwan University,,35.9,74.7,50.9,50,
2021,Engineering,Biomedical Engineering,51-75,Technical University of Munich,,45.2,76.5,79.2,32.2,
2021,Engineering,Biomedical Engineering,51-75,The University of Hong Kong,,42.8,74,69.2,36,
2021,Engineering,Biomedical Engineering,51-75,The University of Queensland,,39.1,72.8,77.5,38.3,
2021,Engineering,Biomedical Engineering,51-75,Tongji University,,42.1,70.6,59.1,49.1,
2021,Engineering,Biomedical Engineering,51-75,Trinity College Dublin,,36.7,83.2,77.5,36,
2021,Engineering,Biomedical Engineering,51-75,University of Bern,,48.2,80.9,86.6,20.8,
2021,Engineering,Biomedical Engineering,51-75,"University of California, San Francisco",,48.6,80.5,67.2,30.8,
2021,Engineering,Biomedical Engineering,51-75,University of Oxford,,47.4,74.8,82.5,32.2,
2021,Engineering,Biomedical Engineering,51-75,University of Twente,,43.1,70.4,77.1,37.1,
2021,Engineering,Biomedical Engineering,51-75,Yale University,,37.9,73.5,65.8,48.2,
2021,Engineering,Biomedical Engineering,51-75,Yonsei University,,46.8,67,53.7,50,
2021,Engineering,Biomedical Engineering,76-100,Air Force Medical University,,39.3,68.7,54.8,42.5,
2021,Engineering,Biomedical Engineering,76-100,Carnegie Mellon University,,29.8,80.9,65.4,38.3,
2021,Engineering,Biomedical Engineering,76-100,East China University of Science and Technology,,25.1,88,61.2,39.4,
2021,Engineering,Biomedical Engineering,76-100,Free University Berlin,,42.7,69.8,77.8,36,
2021,Engineering,Biomedical Engineering,76-100,Hanyang University,,32.9,69.6,58.3,47.3,
2021,Engineering,Biomedical Engineering,76-100,Konkuk University,,29.4,78.5,64.4,41.5,
2021,Engineering,Biomedical Engineering,76-100,KU Leuven,,50.5,74.2,86.8,22.7,
2021,Engineering,Biomedical Engineering,76-100,Leiden University,,32.5,78.4,80,34.7,
2021,Engineering,Biomedical Engineering,76-100,McGill University,,43,75.6,77.9,27.9,
2021,Engineering,Biomedical Engineering,76-100,Monash University,,37.7,69.4,79.2,37.1,
2021,Engineering,Biomedical Engineering,76-100,National Taiwan University,,37.4,62.8,57.9,50.9,
2021,Engineering,Biomedical Engineering,76-100,PSL University,,31.8,91.2,71.7,22.7,
2021,Engineering,Biomedical Engineering,76-100,Swiss Federal Institute of Technology Lausanne,,42.7,70.5,86.1,33.5,
2021,Engineering,Biomedical Engineering,76-100,The Ohio State University - Columbus,,37.5,74.3,59.3,37.1,
2021,Engineering,Biomedical Engineering,76-100,The University of Melbourne,,45.4,70.9,73.5,32.2,
2021,Engineering,Biomedical Engineering,76-100,The University of Tokyo,,42.1,68.6,58.9,41.5,
2021,Engineering,Biomedical Engineering,76-100,Tianjin University,,35.4,75.5,58,38.3,
2021,Engineering,Biomedical Engineering,76-100,"University at Buffalo, the State University of New York",,23.9,86.8,64.5,37.1,
2021,Engineering,Biomedical Engineering,76-100,"University of California, Davis",,39.7,72.1,59.6,41.5,
2021,Engineering,Biomedical Engineering,76-100,University of Florida,,39.3,69.1,59.7,41.5,
2021,Engineering,Biomedical Engineering,76-100,University of Illinois at Urbana-Champaign,,35,77.9,61.9,36,
2021,Engineering,Biomedical Engineering,76-100,"University of Minnesota, Twin Cities",,46.5,63.4,56.7,41.5,
2021,Engineering,Biomedical Engineering,76-100,University of Munich,,36.2,68.9,81.2,38.3,
2021,Engineering,Biomedical Engineering,76-100,University of Porto,,36.1,69.9,76.2,39.4,
2021,Engineering,Biomedical Engineering,76-100,University of Wuerzburg,,30.8,90.6,80.3,26.3,
2021,Engineering,Biomedical Engineering,101-150,Army Medical University,,33.1,70.1,51.3,45.5,
2021,Engineering,Biomedical Engineering,101-150,Catholic University of Korea,,29.6,74.7,44,42.5,
2021,Engineering,Biomedical Engineering,101-150,Charite - Universitats Medizin Berlin,,39.6,68.5,77.3,32.2,
2021,Engineering,Biomedical Engineering,101-150,Chongqing University,,27.7,68.7,62.4,39.4,
2021,Engineering,Biomedical Engineering,101-150,Complutense University of Madrid,,33.6,83.6,73.8,20.8,
2021,Engineering,Biomedical Engineering,101-150,Donghua University,,27.9,81.5,68.6,29.4,
2021,Engineering,Biomedical Engineering,101-150,Erasmus University Rotterdam,,39.6,72.9,85.3,26.3,
2021,Engineering,Biomedical Engineering,101-150,Ghent University,,35.5,69.7,89.4,29.4,
2021,Engineering,Biomedical Engineering,101-150,Heidelberg University,,38.7,73.4,76.9,20.8,
2021,Engineering,Biomedical Engineering,101-150,Humboldt University of Berlin,,41.4,68.4,76.8,32.2,
2021,Engineering,Biomedical Engineering,101-150,Karolinska Institute,,35.7,77.2,88.8,24.6,
2021,Engineering,Biomedical Engineering,101-150,Maastricht University,,34.9,69.7,88.9,27.9,
2021,Engineering,Biomedical Engineering,101-150,Mayo Clinic Alix School of Medicine,,44,69.9,67.2,29.4,
2021,Engineering,Biomedical Engineering,101-150,North Carolina State University - Raleigh,,36.2,73.3,56.7,34.7,
2021,Engineering,Biomedical Engineering,101-150,Polytechnic University of Milan,,36.2,66.5,83.5,30.8,
2021,Engineering,Biomedical Engineering,101-150,Purdue University - West Lafayette,,33.3,75.4,56.5,33.5,
2021,Engineering,Biomedical Engineering,101-150,Queen Mary University of London,,34.7,73,86.1,27.9,
2021,Engineering,Biomedical Engineering,101-150,Rice University,,31.8,74.6,54.4,36,
2021,Engineering,Biomedical Engineering,101-150,"Rutgers, The State University of New Jersey - New Brunswick",,35.2,67,62.8,32.2,
2021,Engineering,Biomedical Engineering,101-150,RWTH Aachen University,,38.3,66,73.2,34.7,
2021,Engineering,Biomedical Engineering,101-150,Shenzhen University,,28.3,81.8,57.4,30.8,
2021,Engineering,Biomedical Engineering,101-150,Sorbonne University,,39.3,65.6,70.3,33.5,
2021,Engineering,Biomedical Engineering,101-150,Southern Medical University,,38.7,66.2,57.9,38.3,
2021,Engineering,Biomedical Engineering,101-150,The Hong Kong Polytechnic University,,25.6,86.1,59.6,26.3,
2021,Engineering,Biomedical Engineering,101-150,The Second Military Medical University,,28.1,71.9,53.5,38.3,
2021,Engineering,Biomedical Engineering,101-150,The University of Edinburgh,,38.2,78.2,82.2,18.6,
2021,Engineering,Biomedical Engineering,101-150,The University of Manchester,,36.9,77.9,80.7,27.9,
2021,Engineering,Biomedical Engineering,101-150,The University of Texas M. D. Anderson Cancer Center,,27.7,79.7,69.2,30.8,
2021,Engineering,Biomedical Engineering,101-150,Tianjin Medical University,,27,72.8,62,36,
2021,Engineering,Biomedical Engineering,101-150,University of Amsterdam,,32.3,76.4,78.3,22.7,
2021,Engineering,Biomedical Engineering,101-150,University of Basel,,32.5,72.4,85.4,29.4,
2021,Engineering,Biomedical Engineering,101-150,University of British Columbia,,41.8,70.1,74.4,30.8,
2021,Engineering,Biomedical Engineering,101-150,"University of California, Irvine",,32.9,75.9,63.3,29.4,
2021,Engineering,Biomedical Engineering,101-150,University of Chicago,,31.4,73.5,67.9,32.2,
2021,Engineering,Biomedical Engineering,101-150,University of Colorado at Boulder,,28.5,80.6,53.5,33.5,
2021,Engineering,Biomedical Engineering,101-150,University of Freiburg,,37.4,71.8,80.6,22.7,
2021,Engineering,Biomedical Engineering,101-150,University of Groningen,,34.5,74.7,77.9,22.7,
2021,Engineering,Biomedical Engineering,101-150,University of Helsinki,,28.7,79.4,85.2,29.4,
2021,Engineering,Biomedical Engineering,101-150,University of Mainz,,29.4,76.2,78.1,34.7,
2021,Engineering,Biomedical Engineering,101-150,"University of Maryland, Baltimore",,30.8,71.2,63.8,36,
2021,Engineering,Biomedical Engineering,101-150,"University of Maryland, College Park",,31.6,74.6,54.2,32.2,
2021,Engineering,Biomedical Engineering,101-150,University of Minho,,39.3,76.7,76,22.7,
2021,Engineering,Biomedical Engineering,101-150,University of Paris,,33.1,71.7,73,27.9,
2021,Engineering,Biomedical Engineering,101-150,University of Tsukuba,,27.7,72.8,64.4,37.1,
2021,Engineering,Biomedical Engineering,101-150,University of Utah,,40,60.9,60.2,41.5,
2021,Engineering,Biomedical Engineering,101-150,Vanderbilt University,,38.5,67.5,53.9,32.2,
2021,Engineering,Biomedical Engineering,101-150,Wake Forest University,,37.4,76.6,65.5,32.2,
2021,Engineering,Biomedical Engineering,101-150,Washington University in St. Louis,,41.7,72.6,54.5,32.2,
2021,Engineering,Biomedical Engineering,101-150,Wenzhou Medical University,,28.1,72.4,62.5,34.7,
2021,Engineering,Biomedical Engineering,101-150,Xiamen University,,27.2,79.3,69.2,38.3,
2021,Engineering,Biomedical Engineering,151-200,Arizona State University,,27.2,76.3,57.9,27.9,
2021,Engineering,Biomedical Engineering,151-200,Baylor College of Medicine,,32.3,71.8,65.8,22.7,
2021,Engineering,Biomedical Engineering,151-200,Boston University,,32.9,71.9,59.2,22.7,
2021,Engineering,Biomedical Engineering,151-200,Capital Medical University,,34.3,60.3,56.9,30.8,
2021,Engineering,Biomedical Engineering,151-200,Central South University,,30.2,65.4,59.1,30.8,
2021,Engineering,Biomedical Engineering,151-200,CHA University,,22.3,65.9,59.4,37.1,
