Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Engineering,Biotechnology,1,Harvard University,316.6,100,100,83.2,,
2021,Engineering,Biotechnology,2,Massachusetts Institute of Technology (MIT),268.5,76.1,100,81.8,,
2021,Engineering,Biotechnology,3,Technical University of Denmark,253.2,73.5,88.6,88.6,,
2021,Engineering,Biotechnology,4,Stanford University,253.1,68.9,100,76.3,,
2021,Engineering,Biotechnology,5,University of Cambridge,246.6,65.4,98,89,,
2021,Engineering,Biotechnology,6,"University of California, San Diego",243.6,63.8,100,80.1,,
2021,Engineering,Biotechnology,7,The University of Queensland,240.7,63.6,95.8,88.4,,
2021,Engineering,Biotechnology,8,Harbin Institute of Technology,239.0,71.6,84.2,58.2,,
2021,Engineering,Biotechnology,8,"University of California, Berkeley",239.0,62.8,98.3,76,,
2021,Engineering,Biotechnology,10,Cornell University,235.0,65.1,89.8,75,,
2021,Engineering,Biotechnology,11,"University of Minnesota, Twin Cities",232.5,67.8,82.1,74.4,,
2021,Engineering,Biotechnology,12,University of Washington,229.5,59.5,96,72.8,,
2021,Engineering,Biotechnology,13,University of Oxford,228.7,58.9,93,89.3,,
2021,Engineering,Biotechnology,14,Zhejiang University,227.6,75,66.8,53.9,,
2021,Engineering,Biotechnology,15,Johns Hopkins University,227.4,56.3,100,73.8,,
2021,Engineering,Biotechnology,16,Tsinghua University,226.4,69.8,74.1,63.1,,
2021,Engineering,Biotechnology,16,Wageningen University & Research,226.4,65.9,76.5,90.5,,
2021,Engineering,Biotechnology,18,University of Pennsylvania,224.2,60.1,90.1,69.1,,
2021,Engineering,Biotechnology,19,University of Illinois at Urbana-Champaign,223.7,64.9,77.9,79.5,,
2021,Engineering,Biotechnology,20,ETH Zurich,222.7,58.1,88.9,87.4,,
2021,Engineering,Biotechnology,21,University of Copenhagen,222.6,58.9,86.8,89.8,,
2021,Engineering,Biotechnology,22,University of Toronto,222.4,59.1,87.5,82.9,,
2021,Engineering,Biotechnology,23,Imperial College London,220.2,59.6,83,90,,
