Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Social Sciences,Business Administration,1,Erasmus University Rotterdam,281.3,99.5,81.1,82.5,83.3,
2021,Social Sciences,Business Administration,2,Texas A&M University,279.4,90.2,86.8,63.5,94.3,
2021,Social Sciences,Business Administration,3,University of Pennsylvania,277.6,89.7,79.6,61.1,97.2,
2021,Social Sciences,Business Administration,4,Harvard University,254.6,100,68.2,59.9,64.5,
2021,Social Sciences,Business Administration,5,University of Michigan-Ann Arbor,246.9,80.6,76,63.4,81.6,
2021,Social Sciences,Business Administration,6,Duke University,246.2,67.4,77,67,100,
2021,Social Sciences,Business Administration,7,Georgia State University,245.3,73.9,84,74.6,85,
2021,Social Sciences,Business Administration,8,Indiana University Bloomington,245.0,86.2,89.4,65.7,64.5,
2021,Social Sciences,Business Administration,9,INSEAD,242.0,83.4,86.2,92.4,64.5,
2021,Social Sciences,Business Administration,10,University of North Carolina at Chapel Hill,240.1,70,81.7,61,88.2,
2021,Social Sciences,Business Administration,11,Columbia University,238.9,68.9,68.9,68.8,94.3,
2021,Social Sciences,Business Administration,12,"University of Maryland, College Park",236.9,72.9,82.1,66,79.9,
2021,Social Sciences,Business Administration,13,Arizona State University,234.7,78.6,86.9,65.9,66.7,
2021,Social Sciences,Business Administration,14,Pennsylvania State University - University Park,232.2,75.3,79.8,66.8,72.6,
2021,Social Sciences,Business Administration,15,University of Washington,232.0,74.6,78.9,60.6,74.5,
2021,Social Sciences,Business Administration,16,Michigan State University,229.7,80.3,90.7,61.9,57.7,
2021,Social Sciences,Business Administration,17,Tilburg University,229.2,73.9,78.6,82.8,70.7,
2021,Social Sciences,Business Administration,18,Northwestern University,228.4,65,84.9,68,81.6,
2021,Social Sciences,Business Administration,19,University of South Carolina - Columbia,227.6,71.8,84.8,68.6,70.7,
2021,Social Sciences,Business Administration,20,"University of Minnesota, Twin Cities",226.4,76.3,69.5,64.9,70.7,
2021,Social Sciences,Business Administration,21,The University of Georgia,223.5,76,79.2,53.8,64.5,
2021,Social Sciences,Business Administration,22,University of Leeds,221.8,91.1,79,83.4,37.3,
2021,Social Sciences,Business Administration,23,The University of Texas at Austin,221.7,67,73,66.4,78.2,
2021,Social Sciences,Business Administration,24,University of Southern California,218.5,63.8,74.4,55.8,79.9,
2021,Social Sciences,Business Administration,25,Aalto University,217.1,82.8,81.4,81.6,44.1,
2021,Social Sciences,Business Administration,26,University of Miami,215.5,59.6,82.6,65.6,78.2,
