Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Engineering,Chemical Engineering,1,Massachusetts Institute of Technology (MIT),320.3,48.5,91.5,73.4,65.7,100
2021,Engineering,Chemical Engineering,2,Tsinghua University,269.6,100,80.5,55.7,77.9,0
2021,Engineering,Chemical Engineering,3,Tianjin University,265.3,91.3,73.9,45.3,91,0
2021,Engineering,Chemical Engineering,4,Stanford University,258.2,41.7,94.1,70,44.1,64.2
2021,Engineering,Chemical Engineering,5,Georgia Institute of Technology,251.8,48.2,82.2,73.1,58.3,48.5
2021,Engineering,Chemical Engineering,6,Zhejiang University,251.0,80.2,74.2,51.5,86.3,0
2021,Engineering,Chemical Engineering,7,Beijing University of Chemical Technology,241.8,64.1,69.4,41.3,100,0
2021,Engineering,Chemical Engineering,8,South China University of Technology,241.0,73.6,85,50.1,72.3,0
2021,Engineering,Chemical Engineering,9,The University of Texas at Austin,240.6,39.6,81.8,64.7,52.1,54.2
2021,Engineering,Chemical Engineering,10,East China University of Science and Technology,239.2,74.1,67.7,43.1,88.9,0
2021,Engineering,Chemical Engineering,11,California Institute of Technology,234.3,24.4,95.4,74.2,35.5,64.2
2021,Engineering,Chemical Engineering,12,"University of California, Berkeley",229.8,39.6,85.6,75.5,41,48.5
2021,Engineering,Chemical Engineering,13,University of Colorado at Boulder,225.3,26.7,73.7,63,28.3,84
2021,Engineering,Chemical Engineering,14,National University of Singapore,224.5,60.8,91.3,75.8,57.3,0
2021,Engineering,Chemical Engineering,15,Sichuan University,221.4,58.5,76.2,41.6,78.4,0
2021,Engineering,Chemical Engineering,16,Nanyang Technological University,220.3,61.6,97.2,84.3,44.6,0
2021,Engineering,Chemical Engineering,17,ETH Zurich,220.1,45.8,73.8,76.4,50.9,34.3
2021,Engineering,Chemical Engineering,18,University of Science and Technology of China,218.6,68.4,85.5,50.5,54.6,0
2021,Engineering,Chemical Engineering,19,Dalian University of Technology,216.5,70.6,74.3,47.3,62.1,0
2021,Engineering,Chemical Engineering,20,Princeton University,214.2,36.7,79.9,78.5,27.6,54.2
2021,Engineering,Chemical Engineering,21,China University of Petroleum - Beijing,205.1,63.2,64.9,50.8,66.8,0
2021,Engineering,Chemical Engineering,22,Imperial College London,205.0,53.5,78.1,76.1,58.3,0
2021,Engineering,Chemical Engineering,23,Huazhong University of Science and Technology,204.7,68.3,82.8,47.4,44.1,0
2021,Engineering,Chemical Engineering,24,Xi'an Jiaotong University,204.2,64.3,77.2,49.4,52.8,0
2021,Engineering,Chemical Engineering,25,Shanghai Jiao Tong University,203.4,65.3,77,50.5,50.9,0
2021,Engineering,Chemical Engineering,26,Pennsylvania State University - University Park,201.8,45,75.1,75.9,42.4,24.3
2021,Engineering,Chemical Engineering,27,NanJing Tech University,199.8,57.7,72.1,50.7,59.9,0
2021,Engineering,Chemical Engineering,28,Swiss Federal Institute of Technology Lausanne,199.3,33.2,100,77.8,50.6,0
2021,Engineering,Chemical Engineering,29,University of Delaware,197.0,26,71.6,71.2,30.9,54.2
2021,Engineering,Chemical Engineering,30,King Abdullah University of Science and Technology,196.7,56.7,86,87.3,36.5,0
2021,Engineering,Chemical Engineering,31,North Carolina State University - Raleigh,196.3,34,71.1,71.8,28.3,48.5
2021,Engineering,Chemical Engineering,32,Harbin Institute of Technology,195.9,69.1,83.9,50.8,32.7,0
2021,Engineering,Chemical Engineering,32,Soochow University (China),195.9,44.7,97.3,66.7,40.5,0
2021,Engineering,Chemical Engineering,34,Jiangsu University,195.2,56.1,96.4,45,33.8,0
2021,Engineering,Chemical Engineering,35,Hunan University,195.1,50.6,100,50.7,34.4,0
2021,Engineering,Chemical Engineering,36,"University of Minnesota, Twin Cities",192.0,36.1,70.2,71.5,37.1,34.3
2021,Engineering,Chemical Engineering,37,Nanjing University,191.9,49.2,93.1,45.8,40.5,0
2021,Engineering,Chemical Engineering,38,Cornell University,191.6,29.2,81.6,68.7,32.7,34.3
2021,Engineering,Chemical Engineering,39,Wuhan University of Technology,191.5,45,100,63.6,33.8,0
2021,Engineering,Chemical Engineering,40,Fuzhou University,191.1,45.6,93.3,46.6,42.8,0
2021,Engineering,Chemical Engineering,40,Northwestern University,191.1,28,100,66.6,49.8,0
2021,Engineering,Chemical Engineering,42,Central South University,190.5,55.4,87.6,44.5,38.6,0
2021,Engineering,Chemical Engineering,43,Technical University of Denmark,190.0,51.5,70.6,78.9,52.1,0
2021,Engineering,Chemical Engineering,44,China University of Petroleum (Huadong),188.2,58.6,67.1,52.1,52.1,0
2021,Engineering,Chemical Engineering,45,Monash University,187.0,51.4,76.1,81.5,43.2,0
2021,Engineering,Chemical Engineering,46,King Abdulaziz University,185.6,43.9,96.5,91.2,26.9,0
2021,Engineering,Chemical Engineering,47,Chongqing University,185.3,50.4,81.1,46.4,44.6,0
2021,Engineering,Chemical Engineering,47,Zhejiang University of Technology,185.3,45.6,79.4,54.5,49.4,0
2021,Engineering,Chemical Engineering,49,Texas A&M University,182.9,44.1,70.1,69,54.9,0
2021,Engineering,Chemical Engineering,50,Rice University,182.6,20.7,73.4,71.5,32.1,42
2021,Engineering,Chemical Engineering,51-75,Beijing Institute of Technology,,49,76.3,45.1,37.1,0
2021,Engineering,Chemical Engineering,51-75,Carnegie Mellon University,,28.4,71.7,74.7,35.5,24.3
2021,Engineering,Chemical Engineering,51-75,City University of Hong Kong,,34.1,98.1,62.3,27.6,0
2021,Engineering,Chemical Engineering,51-75,Delft University of Technology,,47.3,70.2,79.3,44.6,0
2021,Engineering,Chemical Engineering,51-75,Korea University,,52.1,75.3,51.6,32.7,0
2021,Engineering,Chemical Engineering,51-75,KU Leuven,,46.4,81.7,83.9,37.6,0
2021,Engineering,Chemical Engineering,51-75,Seoul National University,,45.7,71.4,43.4,50.6,0
2021,Engineering,Chemical Engineering,51-75,Shandong University,,51,81.7,45,30.9,0
2021,Engineering,Chemical Engineering,51-75,Shandong University of Science and Technology,,37.8,95,41.8,29.6,0
2021,Engineering,Chemical Engineering,51-75,Southeast University,,53.7,69.2,51.3,43.2,0
2021,Engineering,Chemical Engineering,51-75,Sun Yat-sen University,,44.1,85.7,50,37.1,0
2021,Engineering,Chemical Engineering,51-75,The Hong Kong Polytechnic University,,43.5,91,51,31.5,0
2021,Engineering,Chemical Engineering,51-75,The Hong Kong University of Science and Technology,,32.8,92.7,60.5,44.6,0
2021,Engineering,Chemical Engineering,51-75,The University of New South Wales,,51,79.1,77.2,29.6,0
2021,Engineering,Chemical Engineering,51-75,Tongji University,,53.5,82,53.4,30.9,0
