Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Natural Sciences,Chemistry,1,"University of California, Berkeley",376.9,73.5,98,72.3,100,90.9
2021,Natural Sciences,Chemistry,2,Stanford University,358.5,68.2,100,75.2,85.1,90.1
2021,Natural Sciences,Chemistry,3,Massachusetts Institute of Technology (MIT),356.1,74.8,96,73.8,88.9,81.6
2021,Natural Sciences,Chemistry,4,Northwestern University,338.1,68.3,97.4,71,95.9,62.4
2021,Natural Sciences,Chemistry,5,Harvard University,326.8,62,94.6,79.9,79.3,75
2021,Natural Sciences,Chemistry,6,California Institute of Technology,323.9,46.1,95.5,66.4,69,100
2021,Natural Sciences,Chemistry,7,University of Chicago,295.2,72.5,89.2,69.8,88.5,31.2
2021,Natural Sciences,Chemistry,8,University of Science and Technology of China,293.7,99.6,94.4,49.9,89.7,0
2021,Natural Sciences,Chemistry,9,University of Cambridge,293.2,68.9,88.5,86.9,83.1,35.4
2021,Natural Sciences,Chemistry,10,ETH Zurich,292.4,68.5,81.6,80.1,81.9,44.5
2021,Natural Sciences,Chemistry,11,Nanyang Technological University,285,86.2,100,85.8,81.6,0
2021,Natural Sciences,Chemistry,12,The University of Texas at Austin,282.2,57.6,92.1,66.6,69.9,49.3
2021,Natural Sciences,Chemistry,13,Georgia Institute of Technology,281.8,68.5,98.8,80.8,57.4,40.8
2021,Natural Sciences,Chemistry,14,Tsinghua University,279.8,100,92,51.7,77.4,0
2021,Natural Sciences,Chemistry,15,The University of Tokyo,274.2,71.3,71.5,55.5,91.4,28.9
2021,Natural Sciences,Chemistry,16,Peking University,273,89.8,88.6,51.7,84.3,0
2021,Natural Sciences,Chemistry,17,Columbia University,262.5,43.9,94.8,75.7,57.3,51.4
2021,Natural Sciences,Chemistry,18,Kyoto University,262.3,74.8,69.1,52.3,93.5,14.4
2021,Natural Sciences,Chemistry,19,University of Oxford,261,67,83.5,80.4,80,14.4
2021,Natural Sciences,Chemistry,20,Nankai University,258.2,82.6,92.2,44.1,74.6,0
2021,Natural Sciences,Chemistry,21,National University of Singapore,256.5,76.1,94.6,82.4,69.3,0
2021,Natural Sciences,Chemistry,22,Texas A&M University,253.5,51,78.7,70.7,59.6,50
2021,Natural Sciences,Chemistry,23,Nanjing University,251.6,87,88,50.3,66.5,0
2021,Natural Sciences,Chemistry,24,"University of California, Los Angeles",251.5,54.8,94,76.4,68.8,18.6
2021,Natural Sciences,Chemistry,25,Zhejiang University,250,93.2,83.6,51.1,63,0
2021,Natural Sciences,Chemistry,26,Soochow University (China),249.5,86,94.3,55.7,58,0
2021,Natural Sciences,Chemistry,27,Fudan University,245.7,79.6,86.8,50.5,69.2,0
2021,Natural Sciences,Chemistry,28,"University of California, San Diego",245.5,51.5,88.1,67.3,63.6,28.9
2021,Natural Sciences,Chemistry,29,Swiss Federal Institute of Technology Lausanne,244.2,60.8,95.5,84.1,71.1,0
2021,Natural Sciences,Chemistry,30,University of North Carolina at Chapel Hill,238.8,43,92.9,66.3,52.4,37.3
2021,Natural Sciences,Chemistry,31,Tianjin University,237.5,81,84.8,50.5,61.6,0
2021,Natural Sciences,Chemistry,32,University of Illinois at Urbana-Champaign,237.3,57.5,81.8,66.2,72.9,11.8
2021,Natural Sciences,Chemistry,33,Cornell University,237.1,51.6,84,67.6,63,25
2021,Natural Sciences,Chemistry,33,South China University of Technology,237.1,88.6,90.5,47.7,48.5,0
2021,Natural Sciences,Chemistry,35,University of Toronto,235.7,55.4,85.3,75.6,61.2,18.6
2021,Natural Sciences,Chemistry,36,Xiamen University,235.6,72.3,85.3,57,66.6,0
2021,Natural Sciences,Chemistry,37,Shanghai Jiao Tong University,234.8,77.8,83.1,54.4,63,0
2021,Natural Sciences,Chemistry,38,Jilin University,233,88.5,77.1,43,58.9,0
2021,Natural Sciences,Chemistry,39,King Abdullah University of Science and Technology,232.5,58.3,100,88.4,56.5,0
2021,Natural Sciences,Chemistry,40,University of Utah,232,38.2,77.2,64.2,53.9,50
2021,Natural Sciences,Chemistry,41,University of Strasbourg,229.3,55.2,74.9,82.3,52.7,30
2021,Natural Sciences,Chemistry,42,"University of California, Santa Barbara",228.7,46,88.7,74.1,52.9,26.4
2021,Natural Sciences,Chemistry,43,Imperial College London,227.6,61,84,81.2,51.9,14.4
2021,Natural Sciences,Chemistry,44,Rice University,227.5,43,94.1,76.8,37.9,37.3
2021,Natural Sciences,Chemistry,45,Sun Yat-sen University,226.1,72.8,88.1,46.6,55.9,0
2021,Natural Sciences,Chemistry,46,Purdue University - West Lafayette,225.9,55.5,79.1,64.7,49.5,28.9
2021,Natural Sciences,Chemistry,47,"University of Minnesota, Twin Cities",225.4,52.8,81.6,62.9,58,20.4
2021,Natural Sciences,Chemistry,48,University of Southern California,223.5,35.2,83.3,67.8,40.1,51.4
2021,Natural Sciences,Chemistry,49,Paris-Saclay University,223,63.2,68.2,74.6,56.2,20.4
2021,Natural Sciences,Chemistry,49,University of Pennsylvania,223,49.3,85.4,67,58.2,16.7
2021,Natural Sciences,Chemistry,51-75,Carnegie Mellon University,,36.7,88.2,68.4,40.7,37.3
2021,Natural Sciences,Chemistry,51-75,Duke University,,36.5,93.8,70,42.4,26.4
2021,Natural Sciences,Chemistry,51-75,East China University of Science and Technology,,71.8,75.4,46.6,51.6,0
2021,Natural Sciences,Chemistry,51-75,Huazhong University of Science and Technology,,76.8,89.7,52.7,45.3,0
2021,Natural Sciences,Chemistry,51-75,Hunan University,,63.3,97,45.9,47.6,0
2021,Natural Sciences,Chemistry,51-75,Johns Hopkins University,,40.6,77.7,68,55.4,25
2021,Natural Sciences,Chemistry,51-75,Karlsruhe Institute of Technology (KIT),,64.2,75,78.5,53.7,0
2021,Natural Sciences,Chemistry,51-75,King Abdulaziz University,,54.4,99,96.8,42.8,0
