Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Engineering,Civil Engineering,1,Tongji University,366.5,100,69,65.2,100,84.5
2021,Engineering,Civil Engineering,2,ETH Zurich,266.9,48,79.2,80,39.2,84.5
2021,Engineering,Civil Engineering,3,Tsinghua University,250.8,82.3,79.2,64.5,76.5,0
2021,Engineering,Civil Engineering,4,National Technical University of Athens,229.5,39.5,68.9,63.2,32.8,75.6
2021,Engineering,Civil Engineering,5,The Hong Kong Polytechnic University,225.5,75.8,84,65.2,52.6,0
2021,Engineering,Civil Engineering,6,Polytechnic University of Madrid,225.0,43.4,57.9,56.5,12.4,100
2021,Engineering,Civil Engineering,7,The University of Texas at Austin,224.7,39.2,68.6,68.9,49.6,53.5
2021,Engineering,Civil Engineering,8,Lehigh University,224.4,23.3,68.7,64.7,54.1,65.5
2021,Engineering,Civil Engineering,9,University of Canterbury,223.9,23.9,61.2,82.6,56.8,65.5
2021,Engineering,Civil Engineering,10,Southeast University,220.0,76.6,71.4,62.4,59.5,0
2021,Engineering,Civil Engineering,11,Technical University of Denmark,218.2,50.1,76.2,81.5,0,75.6
2021,Engineering,Civil Engineering,12,The University of New South Wales,215.9,59.3,75.4,78.1,65.6,0
2021,Engineering,Civil Engineering,13,Nanyang Technological University,208.8,56.7,78,86.3,56.8,0
2021,Engineering,Civil Engineering,14,Hunan University,207.3,58.8,81.8,70.3,52.6,0
2021,Engineering,Civil Engineering,15,"University of California, Berkeley",206.7,54.4,82.7,84.5,52.6,0
2021,Engineering,Civil Engineering,16,The University of Hong Kong,203.8,53.9,84.4,64.2,52.6,0
2021,Engineering,Civil Engineering,17,"University at Buffalo, the State University of New York",199.6,28.6,68.1,71.6,88.6,0
2021,Engineering,Civil Engineering,18,Western University,199.3,31.1,65.1,72.8,35.1,53.5
2021,Engineering,Civil Engineering,19,Dalian University of Technology,198.8,67.6,68.5,58.1,51.1,0
2021,Engineering,Civil Engineering,20,Swiss Federal Institute of Technology Lausanne,198.3,44.7,86.2,81.5,51.1,0
2021,Engineering,Civil Engineering,21,University of Sydney,195.2,50.4,77.3,81.8,51.1,0
2021,Engineering,Civil Engineering,22,Tianjin University,192.2,66.9,68.6,59.4,44.7,0
2021,Engineering,Civil Engineering,23,Purdue University - West Lafayette,190.2,49.9,68.5,68.7,58.2,0
2021,Engineering,Civil Engineering,24,Harbin Institute of Technology,189.9,68.9,69.6,61.5,39.2,0
2021,Engineering,Civil Engineering,25,Chongqing University,189.1,57.5,72,66.1,46.4,0
2021,Engineering,Civil Engineering,25,Zhejiang University,189.1,59.1,70.7,65,46.4,0
2021,Engineering,Civil Engineering,27,University of Illinois at Urbana-Champaign,188.1,43.9,66.6,65.9,64.5,0
2021,Engineering,Civil Engineering,28,Colorado State University,187.9,27.7,67.4,57.2,81.3,0
2021,Engineering,Civil Engineering,29,Imperial College London,186.3,46,79.7,79.6,44.7,0
2021,Engineering,Civil Engineering,30,University of British Columbia,185.8,40.6,70,78.5,59.5,0
2021,Engineering,Civil Engineering,31,"University of California, San Diego",184.7,26.1,70.5,78.7,72.3,0
