Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Medical Sciences,Clinical Medicine,1,Harvard University,317.6,100,83.5,68.3,100,20.4
2021,Medical Sciences,Clinical Medicine,2,"University of California, San Francisco",292.4,55.9,84.4,64.2,45.8,93.5
2021,Medical Sciences,Clinical Medicine,3,University of Cambridge,277.3,39.1,85,83.3,36.6,100
2021,Medical Sciences,Clinical Medicine,4,University of Pennsylvania,269.5,59.4,83.4,58.5,47.2,67.7
2021,Medical Sciences,Clinical Medicine,5,Johns Hopkins University,262.6,64.2,83.7,64.4,51.8,50
2021,Medical Sciences,Clinical Medicine,6,University of Oxford,257.6,46.3,92.8,83.7,58.4,43.3
2021,Medical Sciences,Clinical Medicine,7,The University of Texas M. D. Anderson Cancer Center,254.1,48.2,86.7,67.4,35,70.7
2021,Medical Sciences,Clinical Medicine,8,Imperial College London,251.1,47.5,87.8,84.7,55.5,43.3
2021,Medical Sciences,Clinical Medicine,9,University of Pittsburgh,249.4,53.6,81.7,60.2,40.8,61.2
2021,Medical Sciences,Clinical Medicine,10,University of Washington,244.4,52,86.3,61.4,50.6,43.3
2021,Medical Sciences,Clinical Medicine,11,"University of California, Los Angeles",240.0,50.2,82.4,63.2,44.8,50
2021,Medical Sciences,Clinical Medicine,12,Emory University,235.5,44.9,84.9,59,43.9,50
2021,Medical Sciences,Clinical Medicine,13,Duke University,231.3,50.6,83.2,62.5,44.2,40.8
2021,Medical Sciences,Clinical Medicine,14,The University of Melbourne,229.1,46.2,79.5,75.7,47.4,40.8
2021,Medical Sciences,Clinical Medicine,15,University of Toronto,221.1,65.9,81.2,77.4,58.4,0
2021,Medical Sciences,Clinical Medicine,16,Heidelberg University,218.1,43.2,80.5,74.3,38.7,40.8
2021,Medical Sciences,Clinical Medicine,17,University College London,215.7,57.9,84.8,80.8,56.8,0
2021,Medical Sciences,Clinical Medicine,18,University of Leicester,201.3,22,88.9,75.6,31.9,43.3
2021,Medical Sciences,Clinical Medicine,19,Oregon Health and Science University,200.6,35.3,86.2,58.2,32.1,35.4
2021,Medical Sciences,Clinical Medicine,20,University of Virginia,200.4,30.6,81.2,58,27,50
2021,Medical Sciences,Clinical Medicine,21,Mayo Clinic Alix School of Medicine,199.8,60.5,82.4,59.9,45,0
