Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Social Sciences,Communication,1,University of Amsterdam,298.8,100,100,60.8,92.7,
2021,Social Sciences,Communication,2,The Ohio State University - Columbus,274.6,83.5,89,48,100,
2021,Social Sciences,Communication,3,Michigan State University,251.5,78.5,87.9,49.9,84.8,
2021,Social Sciences,Communication,4,The University of Texas at Austin,249.6,80.5,86.1,41.1,81.6,
2021,Social Sciences,Communication,5,Nanyang Technological University,225.9,67,90.7,75.4,72.5,
2021,Social Sciences,Communication,6,University of Michigan-Ann Arbor,225.7,67.4,100,45.3,70.1,
2021,Social Sciences,Communication,7,University of Vienna,224.2,67,100,75.2,66.2,
2021,Social Sciences,Communication,8,"University of California, Santa Barbara",224.1,61.5,83.1,43.9,85.8,
2021,Social Sciences,Communication,9,University of Pennsylvania,223.1,64.1,88.7,42.8,78.4,
2021,Social Sciences,Communication,10,Cornell University,211.8,59.3,95,41,71.3,
2021,Social Sciences,Communication,11,Indiana University Bloomington,209.5,59.7,88.5,42.9,71.3,
2021,Social Sciences,Communication,12,Vrije Universiteit Amsterdam,209.3,56.5,100,70.7,67.5,
2021,Social Sciences,Communication,13,Pennsylvania State University - University Park,208.0,59.3,84.2,44,72.5,
2021,Social Sciences,Communication,14,University of Wisconsin - Madison,206.2,63.2,88.2,37.3,63.5,
2021,Social Sciences,Communication,15,Northwestern University,203.4,60.2,94.8,50.3,60.7,
2021,Social Sciences,Communication,16,University of Oxford,201.4,61.5,90.6,61,57.7,
2021,Social Sciences,Communication,17,University of Illinois at Urbana-Champaign,201.1,58.8,79.2,32.2,70.1,
2021,Social Sciences,Communication,18,University of Zurich,199.0,60.2,100,74.2,51.3,
2021,Social Sciences,Communication,19,University of Southern California,197.3,54.5,85.2,41.2,68.8,
2021,Social Sciences,Communication,20,University of Munich,196.8,56.9,94.2,66.1,57.7,
2021,Social Sciences,Communication,21,KU Leuven,193.3,54,81.4,66.6,64.9,
2021,Social Sciences,Communication,22,The University of Georgia,193.2,59.7,87.6,36.2,56.2,
2021,Social Sciences,Communication,23,"Rutgers, The State University of New Jersey - New Brunswick",187.1,54,74.9,37.4,64.9,
2021,Social Sciences,Communication,24,"University of California, Davis",184.2,50.4,82.8,50.7,62.1,
2021,Social Sciences,Communication,25,The Hebrew University of Jerusalem,184.0,53.5,72,55.7,62.1,
2021,Social Sciences,Communication,26,University of Missouri - Columbia,183.8,56.9,85.7,42.6,51.3,
2021,Social Sciences,Communication,27,Ghent University,183.6,55,86.6,47.7,53,
2021,Social Sciences,Communication,28,London School of Economics and Political Science,182.8,47.6,100,50.9,56.2,
2021,Social Sciences,Communication,29,"University of Minnesota, Twin Cities",178.5,56.5,80.5,39.8,49.6,
2021,Social Sciences,Communication,30,University of Arizona,177.5,52.5,67.1,30.9,62.1,
