Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Engineering,Computer Science & Engineering,1,Massachusetts Institute of Technology (MIT),355.3,61.1,83.1,73.8,96.3,100
2021,Engineering,Computer Science & Engineering,2,Stanford University,315.6,55.6,93,68.9,82.6,70.7
2021,Engineering,Computer Science & Engineering,3,"University of California, Berkeley",284.4,46.9,79,72.2,78.5,65.5
2021,Engineering,Computer Science & Engineering,4,Carnegie Mellon University,279.9,55.7,71.6,74,100,37.8
2021,Engineering,Computer Science & Engineering,5,ETH Zurich,264.0,52.9,100,84.1,67.6,26.7
2021,Engineering,Computer Science & Engineering,6,Tsinghua University,263.9,100,73.2,65.9,77.6,0
2021,Engineering,Computer Science & Engineering,7,Harvard University,252.4,57.4,81.8,71.8,52.5,46.3
2021,Engineering,Computer Science & Engineering,8,Nanyang Technological University,243.1,86.8,84.2,88.2,54.5,0
2021,Engineering,Computer Science & Engineering,9,University of Oxford,234.2,47.3,72.7,80.9,60.2,37.8
2021,Engineering,Computer Science & Engineering,10,"University of California, Los Angeles",226.2,41.7,65.2,67.8,52.3,53.5
2021,Engineering,Computer Science & Engineering,11,University of Technology Sydney,224.6,67.5,91.8,90.6,47.2,0
2021,Engineering,Computer Science & Engineering,12,University of Electronic Science and Technology of China,223.8,90.8,86.7,64.5,33.4,0
2021,Engineering,Computer Science & Engineering,13,University of Toronto,223.1,46.5,66.4,76.7,54,40.8
2021,Engineering,Computer Science & Engineering,14,Princeton University,222.5,36.2,74.5,72.3,55.1,42.3
2021,Engineering,Computer Science & Engineering,15,National University of Singapore,219.8,68.6,81.2,88.1,52.3,0
2021,Engineering,Computer Science & Engineering,16,Shanghai Jiao Tong University,218.9,86.7,71.6,64.3,47.7,0
2021,Engineering,Computer Science & Engineering,17,University of Southern California,217.1,45.8,77.1,70.7,53.3,26.7
2021,Engineering,Computer Science & Engineering,18,Cornell University,216.4,38.2,74.5,66.3,57.8,32.7
2021,Engineering,Computer Science & Engineering,19,Zhejiang University,216.2,86,70.1,63.6,47.4,0
