Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Medical Sciences,Dentistry & Oral Sciences,1,University of Michigan-Ann Arbor,374.6,70.4,87.6,83.2,100,100
2021,Medical Sciences,Dentistry & Oral Sciences,2,University of North Carolina at Chapel Hill,316.5,56.5,81.2,70.7,86.3,78.3
2021,Medical Sciences,Dentistry & Oral Sciences,3,King's College London,316.4,61,77.6,79.2,83.5,78.3
2021,Medical Sciences,Dentistry & Oral Sciences,4,Harvard University,307.9,67.8,73.7,78.1,96.4,54.4
2021,Medical Sciences,Dentistry & Oral Sciences,5,"University of California, San Francisco",305.9,41.4,98.3,70.9,59.1,92.9
2021,Medical Sciences,Dentistry & Oral Sciences,6,"University of California, Los Angeles",299.2,44.5,75.7,71.7,64.7,100
2021,Medical Sciences,Dentistry & Oral Sciences,7,University of Washington,296.0,55.4,79,76.9,66.5,79.8
2021,Medical Sciences,Dentistry & Oral Sciences,8,University of Pennsylvania,292.4,47.2,84.8,79.6,64.7,79.8
2021,Medical Sciences,Dentistry & Oral Sciences,9,"University at Buffalo, the State University of New York",279.0,42.6,94.3,76,64.7,62.2
2021,Medical Sciences,Dentistry & Oral Sciences,10,University of Sao Paulo,274.5,100,66.9,63.8,64.7,30.2
2021,Medical Sciences,Dentistry & Oral Sciences,11,University College London,269.8,50.1,85.5,83.5,61,56.4
2021,Medical Sciences,Dentistry & Oral Sciences,12,KU Leuven,269.2,58,89.9,92.2,50.6,52.2
2021,Medical Sciences,Dentistry & Oral Sciences,13,University of Zurich,267.3,77.8,88.4,90,43.1,39.9
2021,Medical Sciences,Dentistry & Oral Sciences,14,The University of Hong Kong,265.0,65.1,92.5,84.1,50.6,39.9
2021,Medical Sciences,Dentistry & Oral Sciences,15,New York University,257.5,54.6,74.9,83.2,55,56.4
2021,Medical Sciences,Dentistry & Oral Sciences,16,University of Bern,257.2,82.8,88.2,98.6,40.3,26.1
2021,Medical Sciences,Dentistry & Oral Sciences,17,Columbia University,256.0,37.8,99.6,71.9,59.1,45.2
2021,Medical Sciences,Dentistry & Oral Sciences,18,University of Amsterdam,254.7,55.5,86.1,82.2,66.5,30.2
2021,Medical Sciences,Dentistry & Oral Sciences,19,University of Birmingham,253.9,42.8,95.9,78.1,43.1,56.4
2021,Medical Sciences,Dentistry & Oral Sciences,20,University of Pittsburgh,252.6,35.8,89.7,71.3,62.9,50
2021,Medical Sciences,Dentistry & Oral Sciences,21,University of Southern California,251.8,35.6,65.9,89.7,57.1,75.4
2021,Medical Sciences,Dentistry & Oral Sciences,22,Osaka University,251.3,47.4,71.6,54.9,62.9,58.4
2021,Medical Sciences,Dentistry & Oral Sciences,23,Sichuan University,250.7,67.7,74.1,68.6,95.2,0
2021,Medical Sciences,Dentistry & Oral Sciences,24,University of Iowa,250.3,38.7,75.1,62.2,55,69.1
2021,Medical Sciences,Dentistry & Oral Sciences,25,University of Toronto,248.4,52.2,70.8,81.9,50.6,58.4
2021,Medical Sciences,Dentistry & Oral Sciences,26,University of Gothenburg,247.1,67,90.6,77,40.3,33.7
2021,Medical Sciences,Dentistry & Oral Sciences,27,University of Helsinki,245.0,44.7,77.3,79.1,55,52.2
2021,Medical Sciences,Dentistry & Oral Sciences,28,Tokyo Medical and Dental University,244.7,61.2,63.4,65.6,57.1,50
2021,Medical Sciences,Dentistry & Oral Sciences,29,Stanford University,243.1,29.6,97.9,79.7,57.1,42.6
2021,Medical Sciences,Dentistry & Oral Sciences,30,Radboud University Nijmegen,242.9,45.3,83.3,83.6,55,42.6
2021,Medical Sciences,Dentistry & Oral Sciences,31,The University of Manchester,241.1,40.1,65.8,78.4,45.7,73.9
2021,Medical Sciences,Dentistry & Oral Sciences,32,University of Geneva,240.1,48.5,82,85.5,40.3,52.2
2021,Medical Sciences,Dentistry & Oral Sciences,33,University of Florida,236.2,43.5,63.7,67.9,43.1,72.3
2021,Medical Sciences,Dentistry & Oral Sciences,34,The University of Texas Health Science Center at San Antonio,235.3,45.3,91.6,77.3,40.3,42.6
2021,Medical Sciences,Dentistry & Oral Sciences,35,The Ohio State University - Columbus,234.9,53.6,78.4,68.7,59.1,30.2
