Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Natural Sciences,Earth Sciences,1,University of Colorado at Boulder,389.2,89.7,83.8,78.7,100,100
2021,Natural Sciences,Earth Sciences,2,California Institute of Technology,361.3,94.9,89.5,78.7,99.9,61.2
2021,Natural Sciences,Earth Sciences,3,Columbia University,351.6,81.6,85,84,81.6,86.6
2021,Natural Sciences,Earth Sciences,4,University of Cambridge,331.9,72.9,80.9,90.3,60,100
2021,Natural Sciences,Earth Sciences,5,"University of California, San Diego",310.3,59.7,82.8,75.5,66.1,86.6
2021,Natural Sciences,Earth Sciences,6,Massachusetts Institute of Technology (MIT),308.8,65.3,81.8,80.4,66.6,79.1
2021,Natural Sciences,Earth Sciences,7,Princeton University,292,54,93.9,79.2,57.6,70.7
2021,Natural Sciences,Earth Sciences,8,ETH Zurich,280.8,96.7,84.3,92.1,81.4,0
2021,Natural Sciences,Earth Sciences,9,Harvard University,267.8,56.8,89.3,79.1,55.9,50
2021,Natural Sciences,Earth Sciences,10,Sorbonne University,263.8,93.6,73.7,88.8,78.7,0
2021,Natural Sciences,Earth Sciences,11,"University of California, Los Angeles",253.4,71,79.7,82.9,86.1,0
2021,Natural Sciences,Earth Sciences,12,Utrecht University,251.4,86.3,85.3,92.5,61.3,0
2021,Natural Sciences,Earth Sciences,13,University of Washington,250.8,73.5,90.4,76.8,71.6,0
2021,Natural Sciences,Earth Sciences,14,"University of California, Berkeley",250.1,74,80.1,80.4,79.9,0
2021,Natural Sciences,Earth Sciences,15,University of Copenhagen,249.4,60.4,77.7,92.3,42.8,50
2021,Natural Sciences,Earth Sciences,16,University of Paris,247.7,57.2,79.7,88,57.7,35.4
2021,Natural Sciences,Earth Sciences,17,University of Iowa,243.7,44.4,77.5,77.4,56.3,50
2021,Natural Sciences,Earth Sciences,18,University of Oxford,239.1,75.8,83,90.8,62.1,0
2021,Natural Sciences,Earth Sciences,19,China University of Geosciences (Wuhan),238.5,100,73.3,74.2,50.4,0
2021,Natural Sciences,Earth Sciences,20,The University of Texas at Austin,237.7,81.6,79.6,74.4,61.6,0
2021,Natural Sciences,Earth Sciences,21,University of Leeds,237.1,73.7,85.9,89.3,59.8,0
2021,Natural Sciences,Earth Sciences,22,"University of Maryland, College Park",234.8,63.6,89.6,80.7,65.4,0
2021,Natural Sciences,Earth Sciences,23,University of Bristol,234.6,74.5,86.2,90.3,55.8,0
2021,Natural Sciences,Earth Sciences,24,Université Grenoble Alpes,227.7,75,81,89.9,53.7,0
