Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Natural Sciences,Ecology,1,University of Oxford,288.6,93.7,81.3,92.4,95.1,
2021,Natural Sciences,Ecology,2,"University of Minnesota, Twin Cities",280.0,80.8,84.6,72.8,100,
2021,Natural Sciences,Ecology,3,University of Montpellier,279.8,100,77,91.7,84.5,
2021,Natural Sciences,Ecology,4,Wageningen University & Research,266.4,88,86.1,91.2,74,
2021,Natural Sciences,Ecology,5,Swedish University of Agricultural Sciences,263.9,86.1,79.6,90.1,80.2,
2021,Natural Sciences,Ecology,6,"University of California, Berkeley",261.6,83.7,82.8,74.6,80.2,
2021,Natural Sciences,Ecology,7,"University of California, Davis",261.3,88.2,74.6,70,84.5,
2021,Natural Sciences,Ecology,8,PSL University,260.4,83.4,77.2,90.8,81.6,
2021,Natural Sciences,Ecology,9,Imperial College London,254.3,72.8,90.7,92,72.4,
2021,Natural Sciences,Ecology,10,ETH Zurich,254.2,76,85.6,93,74,
2021,Natural Sciences,Ecology,11,University of Exeter,253.5,80.3,81.7,87.4,74,
2021,Natural Sciences,Ecology,12,University of Zurich,246.3,72.9,79,94,75.6,
2021,Natural Sciences,Ecology,13,Western Sydney University,240.1,51.4,100,90,70.7,
2021,Natural Sciences,Ecology,14,Cornell University,239.6,80.5,75.8,71.4,69,
2021,Natural Sciences,Ecology,15,The University of Queensland,238.6,94,76.7,83.3,51.2,
2021,Natural Sciences,Ecology,16,University of Cambridge,238.4,76.8,81.7,90.9,61.7,
2021,Natural Sciences,Ecology,17,University of Colorado at Boulder,237.9,63.8,86.9,73.9,72.4,
2021,Natural Sciences,Ecology,18,University of British Columbia,235.6,82.1,76.2,87.5,59.8,
2021,Natural Sciences,Ecology,19,Colorado State University,234.5,74.1,77,63.6,70.7,
2021,Natural Sciences,Ecology,20,University of Toronto,234.3,67.2,69.2,81.2,81.6,
2021,Natural Sciences,Ecology,21,The University of Edinburgh,232.5,66,80.2,86.2,69,
2021,Natural Sciences,Ecology,22,Stanford University,232.3,64.8,91.7,80,59.8,
2021,Natural Sciences,Ecology,23,Princeton University,232.1,56.1,86.8,83.9,72.4,
2021,Natural Sciences,Ecology,24,Sorbonne University,232.0,84.5,68,88.5,61.7,
2021,Natural Sciences,Ecology,25,James Cook University,230.1,82.9,79.3,83.6,51.2,
2021,Natural Sciences,Ecology,26,Michigan State University,228.9,69.9,74.8,67.3,70.7,
2021,Natural Sciences,Ecology,27,Institut Agro,228.7,74,77.3,88.4,59.8,
2021,Natural Sciences,Ecology,28,Universite Paul-Valery Montpellier 3,228.0,66.3,80.1,89.9,63.6,
2021,Natural Sciences,Ecology,29,University of Florida,227.5,82.4,72.5,74.4,57.7,
2021,Natural Sciences,Ecology,30,University of Arizona,226.8,65.1,78.3,72.1,69,
2021,Natural Sciences,Ecology,31,University of Copenhagen,224.2,78.8,83,93.7,43.6,
2021,Natural Sciences,Ecology,32,University of Washington,224.0,74,76.7,67.6,59.8,
2021,Natural Sciences,Ecology,33,Aarhus University,223.6,76.6,79.4,94.3,48.8,
2021,Natural Sciences,Ecology,34,Yale University,223.2,62.3,81.7,77.6,63.6,
2021,Natural Sciences,Ecology,35,Lancaster University,222.5,50.9,93.7,90.4,59.8,
