Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Social Sciences,Economics,1,University of Chicago,379.8,82.4,100,63,100,100
2021,Social Sciences,Economics,2,Harvard University,366.5,100,100,68.2,98.6,61
2021,Social Sciences,Economics,3,Massachusetts Institute of Technology (MIT),340.3,86.4,100,69.8,86.6,67.2
2021,Social Sciences,Economics,4,"University of California, Berkeley",321.2,87.1,100,66.1,78.8,55.1
2021,Social Sciences,Economics,5,Princeton University,308.2,64.3,100,66.8,73.9,81
2021,Social Sciences,Economics,6,Columbia University,304.5,75.8,97.5,72.1,70.7,64.2
2021,Social Sciences,Economics,7,Stanford University,300.1,83.6,100,63.8,90.3,28
2021,Social Sciences,Economics,8,London School of Economics and Political Science,287.3,95.3,90.5,82.4,66.7,24.3
2021,Social Sciences,Economics,9,New York University,283.4,68.8,92.9,70.4,69.7,56.9
2021,Social Sciences,Economics,10,Yale University,268.7,62.9,100,68.1,67,50.5
2021,Social Sciences,Economics,11,Northwestern University,250.3,69.6,100,61.2,72.6,17.1
2021,Social Sciences,Economics,12,University of Pennsylvania,232.4,71.7,95.9,64.7,70.4,0
2021,Social Sciences,Economics,13,"University of California, Los Angeles",224.1,56.6,94.3,60,51.8,34.3
2021,Social Sciences,Economics,14,University of Cambridge,219.5,64.5,80,78.1,26.4,48.5
2021,Social Sciences,Economics,15,University of Oxford,215.6,83,85.2,82.2,40.3,0
2021,Social Sciences,Economics,16,University College London,205.0,69.4,83,80.2,51.4,0
2021,Social Sciences,Economics,17,Duke University,204.8,66,98.2,66.9,50,0
2021,Social Sciences,Economics,18,"University of California, San Diego",202.4,47.6,100,67.3,44.6,29.7
2021,Social Sciences,Economics,19,University of Toronto,196.7,66.2,83.9,82.5,47.1,0
2021,Social Sciences,Economics,20,"University of Maryland, College Park",196.0,60.4,80.1,68.2,28.9,29.7
2021,Social Sciences,Economics,21,Arizona State University,194.8,53.2,91.4,70.7,32.6,29.7
2021,Social Sciences,Economics,22,University of Toulouse 1,194.5,43.9,70,85.2,36.6,48.5
2021,Social Sciences,Economics,23,University of Michigan-Ann Arbor,192.0,65.3,94.4,67.3,40.3,0
2021,Social Sciences,Economics,24,Cornell University,190.5,69.4,86.9,69.4,36,0
