Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Social Sciences,Education,1,Harvard University,280.7,100,79.6,58.3,85.1,
2021,Social Sciences,Education,2,Michigan State University,263.7,77.7,85,47.7,100,
2021,Social Sciences,Education,3,Vanderbilt University,254.0,85.4,89.2,36.5,77.7,
2021,Social Sciences,Education,4,University of Michigan-Ann Arbor,252.7,84.2,81.2,47.9,80.9,
2021,Social Sciences,Education,5,The University of Texas at Austin,245.8,75.7,81.6,43,87.1,
2021,Social Sciences,Education,6,Stanford University,237.8,73.2,86.9,58,78.8,
2021,Social Sciences,Education,7,University of Washington,235.6,73,81,45.8,80.9,
2021,Social Sciences,Education,8,Utrecht University,228.7,74.6,90.5,72.5,64.3,
2021,Social Sciences,Education,9,University of Wisconsin - Madison,226.2,73.2,76.5,38.7,74.3,
2021,Social Sciences,Education,10,University of Toronto,225.3,96.1,75,65.8,37.1,
2021,Social Sciences,Education,11,"University of California, Irvine",221.9,59.8,100,45.6,77.7,
2021,Social Sciences,Education,12,University of North Carolina at Chapel Hill,221.6,71.8,76,39.4,71.9,
2021,Social Sciences,Education,13,University of Virginia,220.7,67.9,80,33.4,75.4,
2021,Social Sciences,Education,14,New York University,217.5,67.6,78.8,47.8,71.9,
2021,Social Sciences,Education,15,University of Pennsylvania,214.4,68.7,83.8,38.5,65.7,
2021,Social Sciences,Education,16,University of Pittsburgh,212.2,64.4,82.8,47.7,69.5,
2021,Social Sciences,Education,17,Columbia University,210.1,65.7,74.7,47.1,69.5,
2021,Social Sciences,Education,18,Maastricht University,207.1,84.1,85.2,90.3,29.4,
2021,Social Sciences,Education,19,The University of Hong Kong,206.7,69.4,90.4,65.6,50.9,
2021,Social Sciences,Education,20,Pennsylvania State University - University Park,204.2,61.2,78.6,48.7,68.2,
2021,Social Sciences,Education,21,The Ohio State University - Columbus,202.4,68.8,74.3,47.4,57.2,
2021,Social Sciences,Education,22,Ghent University,201.8,59.6,91.4,79.9,58.7,
2021,Social Sciences,Education,23,University College London,200.8,76.7,76.4,60.3,41.5,
2021,Social Sciences,Education,24,University of Amsterdam,199.2,64.6,82.5,69.7,54.1,
2021,Social Sciences,Education,25,University of Groningen,198.3,65.9,77.2,67.2,54.1,
2021,Social Sciences,Education,26,University of Colorado at Boulder,197.2,53.2,90.7,38.4,68.2,
2021,Social Sciences,Education,27,Arizona State University,196.9,61,76.6,54.7,61.6,
2021,Social Sciences,Education,28,University of Southern California,196.5,55.2,78.2,50.3,69.5,
2021,Social Sciences,Education,29,Northwestern University,196.3,57.9,89,47.8,60.2,
2021,Social Sciences,Education,30,University of Missouri - Columbia,195.3,56.8,76.5,36.2,68.2,
2021,Social Sciences,Education,31,Purdue University - West Lafayette,194.2,61.6,71.7,43,61.6,
2021,Social Sciences,Education,32,"University of California, Los Angeles",193.6,62.6,73.2,43.6,58.7,
2021,Social Sciences,Education,33,University of Illinois at Chicago,193.3,67.9,76.8,56.4,47.3,
2021,Social Sciences,Education,34,Vanderbilt University Peabody College,192.5,50.1,96.8,33.2,65.7,
2021,Social Sciences,Education,35,Monash University,192.0,70.8,75.8,63.5,41.5,
2021,Social Sciences,Education,36,"University of Minnesota, Twin Cities",191.5,72.4,73.2,48.5,41.5,
2021,Social Sciences,Education,37,Florida State University,191.1,58.9,79.6,41.9,58.7,
2021,Social Sciences,Education,38,"University of Maryland, College Park",190.2,57,79.3,48.4,60.2,
2021,Social Sciences,Education,39,The Education University of Hong Kong,189.2,60,72.3,58.3,57.2,
2021,Social Sciences,Education,40,University of Jyvaskyla,187.6,47,88.3,72.9,65.7,
2021,Social Sciences,Education,41,Johns Hopkins University,186.4,67.4,76,58.4,41.5,
2021,Social Sciences,Education,42,University of British Columbia,186.1,74.4,75.8,73.2,29.4,
2021,Social Sciences,Education,43,University of Sydney,185.5,68.1,75.4,62.8,39.4,
2021,Social Sciences,Education,44,Columbia University Teachers College,183.5,52.2,75.4,44.5,63,
2021,Social Sciences,Education,45,Indiana University Bloomington,183.0,60.2,73.3,52.1,50.9,
2021,Social Sciences,Education,46,Australian Catholic University,182.5,52.2,79,74.6,57.2,
2021,Social Sciences,Education,47,"University of California, Berkeley",181.3,47,81.6,56.6,64.3,
2021,Social Sciences,Education,48,McGill University,181.2,64,79.6,82.5,37.1,
2021,Social Sciences,Education,49,KU Leuven,180.8,54.1,81.8,78.2,50.9,
2021,Social Sciences,Education,50,University of Illinois at Urbana-Champaign,180.2,59.2,72.8,42.8,50.9,
2021,Social Sciences,Education,51-75,Boston College,,40.5,73.1,46.3,63,
2021,Social Sciences,Education,51-75,Deakin University,,59.8,91.2,60.3,34.7,
2021,Social Sciences,Education,51-75,Erasmus University Rotterdam,,54.3,84.4,75.7,37.1,
2021,Social Sciences,Education,51-75,Georgia State University,,52.5,73.1,38.9,55.7,
2021,Social Sciences,Education,51-75,Griffith University,,56.4,71.6,61.3,37.1,
2021,Social Sciences,Education,51-75,Nanyang Technological University,,51.8,73.4,75.5,50.9,
2021,Social Sciences,Education,51-75,National Taiwan Normal University,,59.8,89,58.9,32.2,
2021,Social Sciences,Education,51-75,North Carolina State University - Raleigh,,46.5,73,45.4,60.2,
2021,Social Sciences,Education,51-75,Open University Netherlands,,47.3,100,81.8,34.7,
2021,Social Sciences,Education,51-75,Radboud University Nijmegen,,65.5,76.5,60.3,37.1,
2021,Social Sciences,Education,51-75,Temple University,,47.5,79.7,41.8,47.3,
2021,Social Sciences,Education,51-75,The University of Auckland,,51.8,76,74,45.5,
2021,Social Sciences,Education,51-75,The University of Georgia,,57.4,66.9,38.1,52.5,
2021,Social Sciences,Education,51-75,The University of Melbourne,,59.4,74.9,64.4,34.7,
2021,Social Sciences,Education,51-75,The University of Queensland,,63.8,78,60.9,26.3,
2021,Social Sciences,Education,51-75,University of Arizona,,53,70.5,45.6,47.3,
2021,Social Sciences,Education,51-75,University of Delaware,,45.1,80,48.4,50.9,
2021,Social Sciences,Education,51-75,University of Florida,,58.3,73.5,40.5,45.5,
2021,Social Sciences,Education,51-75,University of Haifa,,48.6,76.6,52.1,45.5,
2021,Social Sciences,Education,51-75,University of Nebraska - Lincoln,,45.9,79.1,44.1,49.1,
2021,Social Sciences,Education,51-75,University of Oslo,,55.9,87.2,77.7,43.5,
2021,Social Sciences,Education,51-75,University of South Florida,,53,72.7,44.3,45.5,
2021,Social Sciences,Education,51-75,University of Twente,,40.2,85,72.2,58.7,
2021,Social Sciences,Education,51-75,Vrije Universiteit Amsterdam,,58.9,80.8,68.3,39.4,
2021,Social Sciences,Education,51-75,Western University,,61.8,82.7,70.1,34.7,
2021,Social Sciences,Education,76-100,Boston University,,43.4,77.1,40,41.5,
2021,Social Sciences,Education,76-100,Duke University,,51.3,76,51.3,32.2,
2021,Social Sciences,Education,76-100,Iowa State University,,44.6,74.6,36.2,47.3,
2021,Social Sciences,Education,76-100,King's College London,,49.3,81.2,63.4,32.2,
2021,Social Sciences,Education,76-100,Leiden University,,49.1,86.7,69.5,37.1,
2021,Social Sciences,Education,76-100,National Institute of Education (NIE) Singapore,,42.6,73.3,70.8,49.1,
2021,Social Sciences,Education,76-100,Queensland University of Technology,,47.3,70.7,58.4,49.1,
2021,Social Sciences,Education,76-100,"Rutgers, The State University of New Jersey - New Brunswick",,46.2,71.1,48.7,49.1,
2021,Social Sciences,Education,76-100,The Chinese University of Hong Kong,,47.3,85.3,61.3,41.5,
2021,Social Sciences,Education,76-100,The University of Edinburgh,,54.1,81.8,61.5,26.3,
2021,Social Sciences,Education,76-100,The University of New South Wales,,48.6,75.6,73.1,43.5,
2021,Social Sciences,Education,76-100,"University of California, Santa Barbara",,38.9,75.3,51.1,49.1,
2021,Social Sciences,Education,76-100,University of Cambridge,,49.6,76.6,60.7,32.2,
2021,Social Sciences,Education,76-100,University of Connecticut,,50.3,77.9,44.5,34.7,
2021,Social Sciences,Education,76-100,University of Helsinki,,46.2,74.8,63.6,47.3,
2021,Social Sciences,Education,76-100,University of Iowa,,47.8,70.8,46,39.4,
2021,Social Sciences,Education,76-100,University of Kansas,,55.9,73.8,38.9,32.2,
2021,Social Sciences,Education,76-100,University of Limerick,,42.9,77.2,72.9,49.1,
2021,Social Sciences,Education,76-100,University of Munich,,42,91.2,74.8,32.2,
2021,Social Sciences,Education,76-100,University of Oregon,,45.9,73.3,40.9,39.4,
2021,Social Sciences,Education,76-100,University of Ottawa,,59.6,82.9,69.5,22.7,
2021,Social Sciences,Education,76-100,University of Oulu,,36.6,100,69.7,41.5,
2021,Social Sciences,Education,76-100,University of Oxford,,52,81.1,71,29.4,
2021,Social Sciences,Education,76-100,University of Tuebingen,,48,91.4,64.2,32.2,
2021,Social Sciences,Education,76-100,Virginia Commonwealth University,,49.6,74.6,35.6,37.1,
2021,Social Sciences,Education,101-150,Beijing Normal University,,43.7,65.2,72,37.1,
2021,Social Sciences,Education,101-150,Brigham Young University,,39.9,74.7,32.1,37.1,
2021,Social Sciences,Education,101-150,Brown University,,41.1,87.9,42.2,32.2,
2021,Social Sciences,Education,101-150,Curtin University,,44.6,78.3,70.6,22.7,
2021,Social Sciences,Education,101-150,Eindhoven University of Technology,,24.4,100,70.9,39.4,
2021,Social Sciences,Education,101-150,Flinders University,,43.4,79,64.5,18.6,
2021,Social Sciences,Education,101-150,Free University Berlin,,33.4,79.4,62.5,32.2,
2021,Social Sciences,Education,101-150,George Mason University,,42.3,65.2,42.5,43.5,
2021,Social Sciences,Education,101-150,Macquarie University,,49.8,79.5,58.2,26.3,
2021,Social Sciences,Education,101-150,Mayo Clinic Alix School of Medicine,,53,94.4,42.3,0,
2021,Social Sciences,Education,101-150,Northern Illinois University,,34.5,73.1,40.3,37.1,
2021,Social Sciences,Education,101-150,Oregon State University,,37.9,71.9,43,43.5,
2021,Social Sciences,Education,101-150,Queen's University,,41.1,75.9,61.9,32.2,
2021,Social Sciences,Education,101-150,Tampere University,,33.8,76.4,57.4,34.7,
2021,Social Sciences,Education,101-150,Technion-Israel Institute of Technology,,30.7,86.4,57.3,32.2,
2021,Social Sciences,Education,101-150,Tel Aviv University,,39.9,70.2,52.5,29.4,
2021,Social Sciences,Education,101-150,Texas A&M University,,42.6,69.1,56.3,43.5,
2021,Social Sciences,Education,101-150,Texas Tech University,,34.9,69,46.9,39.4,
2021,Social Sciences,Education,101-150,The George Washington University,,42.3,70.3,52.7,43.5,
2021,Social Sciences,Education,101-150,The University of Alabama - Tuscaloosa,,42.6,71.9,44.7,39.4,
2021,Social Sciences,Education,101-150,The University of New Mexico - Albuquerque,,40.5,74.4,46.7,32.2,
2021,Social Sciences,Education,101-150,Tufts University,,40.8,85.6,42.2,34.7,
2021,Social Sciences,Education,101-150,University at Albany (State University of New York),,35.2,62.7,49.9,41.5,
2021,Social Sciences,Education,101-150,"University at Buffalo, the State University of New York",,36.3,69.1,44.6,47.3,
2021,Social Sciences,Education,101-150,University of Alberta,,53.7,74.6,64.7,13.1,
2021,Social Sciences,Education,101-150,University of Antwerp,,31.9,80.9,71.8,37.1,
2021,Social Sciences,Education,101-150,University of Birmingham,,46.5,77.8,55.6,26.3,
2021,Social Sciences,Education,101-150,"University of California, Davis",,53,75.4,43.6,22.7,
2021,Social Sciences,Education,101-150,"University of California, Riverside",,35.6,80.1,33.7,32.2,
2021,Social Sciences,Education,101-150,"University of California, San Diego",,37.9,78.6,59.8,32.2,
2021,Social Sciences,Education,101-150,"University of California, San Francisco",,65.5,85.2,64.6,0,
2021,Social Sciences,Education,101-150,University of Chicago,,41.4,71.1,51.1,39.4,
2021,Social Sciences,Education,101-150,University of Colorado at Denver,,34.9,73.5,41.2,39.4,
2021,Social Sciences,Education,101-150,University of Colorado Health Science Center,,48.6,69.6,33.3,26.3,
2021,Social Sciences,Education,101-150,University of Houston,,40.5,65,44.9,37.1,
2021,Social Sciences,Education,101-150,University of Kiel,,28.6,92.4,65.1,39.4,
2021,Social Sciences,Education,101-150,University of Macau,,32.3,87.5,73.2,29.4,
2021,Social Sciences,Education,101-150,University of Muenster,,31.9,81.3,59.3,37.1,
2021,Social Sciences,Education,101-150,University of Nevada-Las Vegas,,33,71,35,41.5,
2021,Social Sciences,Education,101-150,University of North Carolina at Charlotte,,39.2,70.2,36.6,47.3,
2021,Social Sciences,Education,101-150,University of North Carolina at Greensboro,,35.6,76.9,37.5,41.5,
2021,Social Sciences,Education,101-150,University of Otago,,38.9,78.3,66.1,34.7,
2021,Social Sciences,Education,101-150,University of South Australia,,35.9,94.5,65.1,26.3,
2021,Social Sciences,Education,101-150,University of South Carolina - Columbia,,46.7,68.2,39.9,29.4,
2021,Social Sciences,Education,101-150,University of Technology Sydney,,42.6,77.5,66,18.6,
2021,Social Sciences,Education,101-150,University of Turku,,38.9,83.1,70,39.4,
2021,Social Sciences,Education,101-150,University of Utah,,46.2,71.3,38.1,22.7,
2021,Social Sciences,Education,101-150,University of York,,40.2,79.6,62.9,37.1,
2021,Social Sciences,Education,101-150,Utah State University,,35.9,71.3,35.2,37.1,
2021,Social Sciences,Education,101-150,Yale University,,50.6,82.7,57.7,18.6,
2021,Social Sciences,Education,151-200,Auburn University,,30.7,60.7,43.5,37.1,
2021,Social Sciences,Education,151-200,Bar-Ilan University,,33,64.2,46.7,37.1,
2021,Social Sciences,Education,151-200,Ben-Gurion University of the Negev,,28.6,67.8,63,43.5,
2021,Social Sciences,Education,151-200,Cardiff University,,38.6,73.2,60.4,26.3,
2021,Social Sciences,Education,151-200,Concordia University,,32.7,75.6,61.3,29.4,
2021,Social Sciences,Education,151-200,East China Normal University,,33.4,75.3,84.8,26.3,
