Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Engineering,Electrical & Electronic Engineering,1,Massachusetts Institute of Technology (MIT),329.6,54,79.6,74.5,94.5,86.6
2021,Engineering,Electrical & Electronic Engineering,2,Stanford University,310.6,43.2,84.8,72.5,68.1,100
2021,Engineering,Electrical & Electronic Engineering,3,"University of California, Berkeley",310.0,45.2,85,76,100,64.5
2021,Engineering,Electrical & Electronic Engineering,4,Georgia Institute of Technology,270.2,54,79.1,69.7,73.2,50
2021,Engineering,Electrical & Electronic Engineering,5,University of Illinois at Urbana-Champaign,247.3,45.3,74.1,67.8,56.7,57.7
2021,Engineering,Electrical & Electronic Engineering,6,Princeton University,246.5,37.8,98.2,81,65.5,28.9
2021,Engineering,Electrical & Electronic Engineering,7,Tsinghua University,242.0,100,79.6,62.1,50,0
2021,Engineering,Electrical & Electronic Engineering,8,Nanyang Technological University,237.3,81.4,85.2,85.9,53.5,0
2021,Engineering,Electrical & Electronic Engineering,9,North Carolina State University - Raleigh,223.9,33.5,78.6,59,42.3,57.7
2021,Engineering,Electrical & Electronic Engineering,10,"University of California, Santa Barbara",222.6,31.5,77.3,69.1,50,50
2021,Engineering,Electrical & Electronic Engineering,11,Harvard University,217.7,33.1,81.5,79.9,46.3,40.8
2021,Engineering,Electrical & Electronic Engineering,12,Harbin Institute of Technology,215.8,83.1,83.4,57,37.8,0
2021,Engineering,Electrical & Electronic Engineering,13,Aalborg University,213.7,60.5,98,87.5,37.8,0
2021,Engineering,Electrical & Electronic Engineering,14,National University of Singapore,212.0,60.3,92.7,84.1,42.3,0
2021,Engineering,Electrical & Electronic Engineering,15,Carnegie Mellon University,209.7,35.9,85.8,74.2,73.2,0
2021,Engineering,Electrical & Electronic Engineering,16,ETH Zurich,208.3,45,87,82.6,59.8,0
2021,Engineering,Electrical & Electronic Engineering,17,Southeast University,207.1,88.2,80.3,59.3,26.7,0
2021,Engineering,Electrical & Electronic Engineering,18,Zhejiang University,202.5,82.5,75,61.6,32.7,0
2021,Engineering,Electrical & Electronic Engineering,19,Technical University of Munich,201.4,43.6,82.7,76.6,59.8,0
2021,Engineering,Electrical & Electronic Engineering,20,"Rutgers, The State University of New Jersey - New Brunswick",201.0,27.4,90.7,69.8,18.9,50
2021,Engineering,Electrical & Electronic Engineering,21,Swiss Federal Institute of Technology Lausanne,200.8,41.7,74.6,81.7,68.1,0
2021,Engineering,Electrical & Electronic Engineering,22,California Institute of Technology,200.2,40,81.1,68.4,65.5,0
2021,Engineering,Electrical & Electronic Engineering,22,University of Waterloo,200.2,53.1,84.5,81.7,46.3,0
2021,Engineering,Electrical & Electronic Engineering,24,Virginia Polytechnic Institute and State University,200.1,47.1,86,67.7,53.5,0
