Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Engineering,Energy Science & Engineering,1,Tsinghua University,278.9,100,73.6,56.2,94.1,
2021,Engineering,Energy Science & Engineering,2,Nanyang Technological University,264.9,57.6,93.6,89.3,95.8,
2021,Engineering,Energy Science & Engineering,3,Massachusetts Institute of Technology (MIT),255.6,53.5,86.1,80.1,100,
2021,Engineering,Energy Science & Engineering,4,Stanford University,254.7,48,94.8,76.1,96.7,
2021,Engineering,Energy Science & Engineering,5,Swiss Federal Institute of Technology Lausanne,247.7,47.4,96.4,87.2,86.5,
2021,Engineering,Energy Science & Engineering,6,Huazhong University of Science and Technology,244.1,77.3,77.8,51.9,78.6,
2021,Engineering,Energy Science & Engineering,7,South China University of Technology,242.7,69.8,81.7,50.1,81.2,
2021,Engineering,Energy Science & Engineering,8,University of Science and Technology of China,241.5,81.3,74.3,49.8,76,
2021,Engineering,Energy Science & Engineering,9,Peking University,240.1,53.5,80.5,57.5,94.6,
2021,Engineering,Energy Science & Engineering,10,Xi'an Jiaotong University,237.1,93.5,71.9,49.3,61.8,
2021,Engineering,Energy Science & Engineering,11,Georgia Institute of Technology,235.0,49.1,76.5,74.3,94.6,
2021,Engineering,Energy Science & Engineering,12,University of Chicago,234.6,50,80.2,71,90.2,
2021,Engineering,Energy Science & Engineering,13,King Abdullah University of Science and Technology,232.0,47.8,85.4,90.7,80.6,
2021,Engineering,Energy Science & Engineering,14,Tianjin University,229.9,77.7,71.6,51.1,70.4,
2021,Engineering,Energy Science & Engineering,15,Ulsan National Institute of Science and Technology,227.3,42.7,85,54,88.8,
2021,Engineering,Energy Science & Engineering,16,National University of Singapore,225.2,56.5,84.3,81.6,68.1,
2021,Engineering,Energy Science & Engineering,17,The University of Texas at Austin,224.6,53.2,78.4,69.7,79.1,
2021,Engineering,Energy Science & Engineering,18,Northwestern University,224.3,28.5,100,86,78.6,
2021,Engineering,Energy Science & Engineering,19,Shanghai Jiao Tong University,223.0,81.4,72.2,54.5,58.4,
2021,Engineering,Energy Science & Engineering,20,University of Wollongong,222.3,37.5,100,92.9,66.3,
2021,Engineering,Energy Science & Engineering,21,Zhejiang University,221.6,71.1,71.1,56.2,68.1,
2021,Engineering,Energy Science & Engineering,22,"University of California, Berkeley",219.9,49.8,76.6,79.9,77.6,
2021,Engineering,Energy Science & Engineering,23,Soochow University (China),218.8,42.4,89.9,57.6,74.9,
2021,Engineering,Energy Science & Engineering,24,The Hong Kong University of Science and Technology,217.2,36.9,100,57.8,68.7,
2021,Engineering,Energy Science & Engineering,25,Imperial College London,215.9,55.2,75.3,81,69.3,
2021,Engineering,Energy Science & Engineering,26,Wuhan University of Technology,214.2,43.5,83.9,70.2,72.7,
2021,Engineering,Energy Science & Engineering,27,Harbin Institute of Technology,210.9,75.6,69.7,54,54.8,
2021,Engineering,Energy Science & Engineering,28,Karlsruhe Institute of Technology (KIT),210.1,61.9,71.6,77.6,61.2,
2021,Engineering,Energy Science & Engineering,29,City University of Hong Kong,210.0,46.2,88.1,63.3,63.1,
2021,Engineering,Energy Science & Engineering,30,University of Oxford,208.6,40,87.5,86.7,63.8,
2021,Engineering,Energy Science & Engineering,31,The University of New South Wales,207.0,51.4,82.5,80.3,57,
2021,Engineering,Energy Science & Engineering,32,University of Cambridge,206.8,42.7,78,84.4,69.3,
2021,Engineering,Energy Science & Engineering,33,Seoul National University,206.1,48.8,69.1,61.3,76,
2021,Engineering,Energy Science & Engineering,34,"University of Maryland, College Park",205.3,39.5,83.5,71.1,68.1,
2021,Engineering,Energy Science & Engineering,35,Fudan University,204.6,40.5,85.6,57.9,66.9,
2021,Engineering,Energy Science & Engineering,36,Sungkyunkwan University,202.7,34.9,85.1,58.5,71,
2021,Engineering,Energy Science & Engineering,37,Monash University,201.6,39.1,80.5,85.4,65,
2021,Engineering,Energy Science & Engineering,38,Beihang University,201.0,54.5,71,55.6,64.4,
2021,Engineering,Energy Science & Engineering,38,Korea Advanced Institute of Science and Technology,201.0,49.9,68.3,52.8,72.1,
2021,Engineering,Energy Science & Engineering,40,Dalian University of Technology,199.0,60.6,71.3,53.9,56.3,
2021,Engineering,Energy Science & Engineering,41,Beijing Institute of Technology,197.2,55.9,77.2,53.9,53.3,
2021,Engineering,Energy Science & Engineering,41,Nanjing University,197.2,38,85.4,59.8,61.8,
2021,Engineering,Energy Science & Engineering,43,Nankai University,196.0,38.5,91.4,48.8,56.3,
2021,Engineering,Energy Science & Engineering,44,University of Washington,194.7,30.9,88.9,82.6,58.4,
2021,Engineering,Energy Science & Engineering,45,Hanyang University,194.4,47.4,73.9,56.5,61.8,
