Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Social Sciences,Finance,1,New York University,296.1,100,84.3,67.4,97.2,
2021,Social Sciences,Finance,2,University of Pennsylvania,292.8,94.6,88.6,66,100,
2021,Social Sciences,Finance,3,University of Chicago,287.3,90.3,100,53.5,96.5,
2021,Social Sciences,Finance,4,Harvard University,268.2,81.9,84.1,68.2,96.5,
2021,Social Sciences,Finance,5,Columbia University,262.4,87.4,69.9,73.8,89,
2021,Social Sciences,Finance,6,Stanford University,254.5,81.1,89.6,63.7,81.6,
2021,Social Sciences,Finance,7,Boston College,253.3,78.6,97.2,59.7,80.8,
2021,Social Sciences,Finance,8,University of Southern California,248.1,77.4,90.9,66.7,79.9,
2021,Social Sciences,Finance,9,Massachusetts Institute of Technology (MIT),246.8,80.3,72,61.4,84.2,
2021,Social Sciences,Finance,10,London Business School,246.7,74.8,100,100,74.5,
2021,Social Sciences,Finance,11,University of Toronto,245.4,84.3,76.5,90.5,71.7,
2021,Social Sciences,Finance,12,The University of Texas at Austin,243.6,83.5,78.5,64.5,72.6,
2021,Social Sciences,Finance,13,Northwestern University,241.6,76.5,86.6,62.6,77.3,
2021,Social Sciences,Finance,14,Duke University,239.7,70.2,96.8,60.4,79.9,
2021,Social Sciences,Finance,15,The Ohio State University - Columbus,237.3,72.1,86.5,68.6,79.1,
2021,Social Sciences,Finance,16,University of Illinois at Urbana-Champaign,234.4,79.9,78.7,65,68.7,
2021,Social Sciences,Finance,17,Cornell University,232.9,78.2,73.7,60.4,72.6,
2021,Social Sciences,Finance,18,Indiana University Bloomington,231.0,79.5,81.4,54.3,65.6,
2021,Social Sciences,Finance,19,London School of Economics and Political Science,229.7,76.5,66.5,80.5,73.6,
2021,Social Sciences,Finance,20,University of Washington,228.4,72.1,87,60.4,70.7,
2021,Social Sciences,Finance,21,The University of New South Wales,228.1,86.6,73.3,75.7,54,
2021,Social Sciences,Finance,22,University of North Carolina at Chapel Hill,224.8,69.3,84.7,58.9,72.6,
2021,Social Sciences,Finance,23,University of Michigan-Ann Arbor,219.9,69.8,81.3,69.3,67.7,
2021,Social Sciences,Finance,24,"University of California, Berkeley",217.5,68.8,69.3,69.5,72.6,
2021,Social Sciences,Finance,25,Washington University in St. Louis,215.5,67.4,85.1,74,64.5,
2021,Social Sciences,Finance,26,Arizona State University,212.1,73.9,81.2,66.9,54,
2021,Social Sciences,Finance,27,"University of Minnesota, Twin Cities",210.3,69.8,72.4,60.2,63.5,
2021,Social Sciences,Finance,28,"University of California, Los Angeles",208.0,60.7,80.4,70.5,69.7,
2021,Social Sciences,Finance,29,Tilburg University,204.5,65.4,86.4,92.2,54,
2021,Social Sciences,Finance,30,Singapore Management University,204.2,66.4,84.4,97.1,52.7,
2021,Social Sciences,Finance,31,Stockholm School of Economics,201.0,61.2,76.3,86.1,62.4,
2021,Social Sciences,Finance,32,HEC Paris,200.5,57.4,90.9,88.8,60.1,
2021,Social Sciences,Finance,33,Erasmus University Rotterdam,198.4,67.4,64.3,86.4,56.5,
2021,Social Sciences,Finance,34,University of Notre Dame,197.6,56.8,95.6,57.3,58.9,
2021,Social Sciences,Finance,35,The University of Hong Kong,197.0,63.3,78.8,85.8,54,
2021,Social Sciences,Finance,36,The University of Melbourne,195.6,70.2,61.4,81.7,51.4,
2021,Social Sciences,Finance,37,Nanyang Technological University,193.3,63.3,76.9,98.4,50,
2021,Social Sciences,Finance,38,The Hong Kong University of Science and Technology,192.6,64.9,69.4,78.3,52.7,
2021,Social Sciences,Finance,39,The Chinese University of Hong Kong,191.9,63.3,79.3,86.4,48.6,
2021,Social Sciences,Finance,40,Bocconi University,191.3,61.8,67.8,82,56.5,
2021,Social Sciences,Finance,41,Yale University,189.7,53.2,83.9,56.5,62.4,
2021,Social Sciences,Finance,42,Copenhagen Business School,189.6,56.8,81,86.7,55.3,
2021,Social Sciences,Finance,43,University of Oxford,188.7,61.2,64.5,80.9,56.5,
2021,Social Sciences,Finance,44,"City, University of London",186.0,62.8,64.6,80.7,51.4,
2021,Social Sciences,Finance,45,Georgia State University,185.9,63.9,76,64.2,45.6,
2021,Social Sciences,Finance,46,"University of Maryland, College Park",184.9,54.4,69.7,72.4,61.2,
2021,Social Sciences,Finance,47,University of Utah,183.1,48.7,100,61,54,
2021,Social Sciences,Finance,48,The University of Georgia,181.6,67.4,73.8,45.2,39.1,
2021,Social Sciences,Finance,49,City University of Hong Kong,181.1,60.2,79.2,87.2,42.5,
2021,Social Sciences,Finance,50,Pennsylvania State University - University Park,179.4,59.6,70.9,59.4,48.6,
2021,Social Sciences,Finance,51-75,Boston University,,53.8,80.6,83.1,47.1,
2021,Social Sciences,Finance,51-75,Carnegie Mellon University,,57.4,58.2,71.9,52.7,
2021,Social Sciences,Finance,51-75,Dartmouth College,,46.6,100,54.7,52.7,
2021,Social Sciences,Finance,51-75,Emory University,,48,96.5,62.7,48.6,
2021,Social Sciences,Finance,51-75,Georgetown University,,55,67.7,65.5,50,
2021,Social Sciences,Finance,51-75,Monash University,,71.2,67.1,77.5,28.9,
2021,Social Sciences,Finance,51-75,National University of Singapore,,60.2,59.3,95.8,42.5,
2021,Social Sciences,Finance,51-75,NOVA University Lisbon,,46.6,80.5,80.5,51.4,
2021,Social Sciences,Finance,51-75,Princeton University,,51.3,76.1,70.5,56.5,
2021,Social Sciences,Finance,51-75,"Rutgers, The State University of New Jersey - New Brunswick",,56.8,67.9,70.6,42.5,
2021,Social Sciences,Finance,51-75,Shanghai Jiao Tong University,,56.8,81.8,82.3,44.1,
2021,Social Sciences,Finance,51-75,Swiss Federal Institute of Technology Lausanne,,45.2,80.8,87.8,55.3,
2021,Social Sciences,Finance,51-75,Texas A&M University,,52.6,84.8,55.4,48.6,
2021,Social Sciences,Finance,51-75,The Hong Kong Polytechnic University,,61.8,74,85.9,31.2,
2021,Social Sciences,Finance,51-75,The University of Manchester,,68.3,77.7,78.6,26.4,
2021,Social Sciences,Finance,51-75,The University of Texas at Dallas,,61.2,73.2,76.5,42.5,
2021,Social Sciences,Finance,51-75,Tsinghua University,,53.2,78.9,78.3,50,
2021,Social Sciences,Finance,51-75,University of Arizona,,60.7,83.7,52.3,40.8,
2021,Social Sciences,Finance,51-75,University of British Columbia,,53.2,76.3,88.2,47.1,
2021,Social Sciences,Finance,51-75,University of Houston,,61.8,61.2,68.9,40.8,
2021,Social Sciences,Finance,51-75,University of Mannheim,,50,74,81.7,50,
2021,Social Sciences,Finance,51-75,University of Miami,,53.2,93.1,57.3,47.1,
2021,Social Sciences,Finance,51-75,University of Sydney,,74.8,67.5,74.7,23.6,
2021,Social Sciences,Finance,51-75,University of Virginia,,54.4,69.7,64.8,47.1,
2021,Social Sciences,Finance,51-75,University of Wisconsin - Madison,,62.3,62.9,52.5,40.8,
2021,Social Sciences,Finance,76-100,Drexel University,,45.9,84,84.1,33.3,
2021,Social Sciences,Finance,76-100,Fordham University,,53.2,65.9,72.9,33.3,
2021,Social Sciences,Finance,76-100,Frankfurt School of Finance and Management,,47.3,77.8,79.1,35.4,
2021,Social Sciences,Finance,76-100,Goethe University Frankfurt,,51.3,64,76.3,40.8,
2021,Social Sciences,Finance,76-100,Imperial College London,,45.9,75.3,91.3,44.1,
2021,Social Sciences,Finance,76-100,INSEAD,,50,66.1,98.2,48.6,
2021,Social Sciences,Finance,76-100,Michigan State University,,57.4,53.3,55,45.6,
2021,Social Sciences,Finance,76-100,Northeastern University (Boston),,50.7,68.6,56,39.1,
