Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Engineering,Food Science & Technology,1,Jiangnan University,292.3,100,80.9,57,,
2021,Engineering,Food Science & Technology,2,China Agricultural University,273.7,90.5,82.2,52.2,,
2021,Engineering,Food Science & Technology,3,Wageningen University & Research,268.0,85.5,81.9,75.1,,
2021,Engineering,Food Science & Technology,4,South China University of Technology,267.5,80.8,94,58.7,,
2021,Engineering,Food Science & Technology,5,Zhejiang University,248.6,75.7,85.9,56.5,,
2021,Engineering,Food Science & Technology,6,Nanjing Agricultural University,248.0,77.5,83.1,49.6,,
2021,Engineering,Food Science & Technology,7,University of Massachusetts Amherst,243.3,63,99.6,88.6,,
2021,Engineering,Food Science & Technology,8,University of Campinas,237.3,72.4,81.9,53,,
2021,Engineering,Food Science & Technology,9,Nanchang University,229.7,62.1,93.2,61.1,,
2021,Engineering,Food Science & Technology,10,University of Sao Paulo,228.4,70.2,75.7,61.6,,
2021,Engineering,Food Science & Technology,11,Ghent University,228.1,65.8,80.9,77.5,,
2021,Engineering,Food Science & Technology,12,Northwest A&F University,224.2,66.1,81.2,54.4,,
2021,Engineering,Food Science & Technology,13,Huazhong Agricultural University,218.4,62.1,83.6,52.6,,
2021,Engineering,Food Science & Technology,14,The University of Queensland,217.4,56.8,87.2,83.3,,
2021,Engineering,Food Science & Technology,15,University of Porto,213.0,62.6,74.1,68.2,,
2021,Engineering,Food Science & Technology,16,KU Leuven,212.9,60.6,77.9,69.5,,
2021,Engineering,Food Science & Technology,17,University of Copenhagen,210.7,59.8,74.4,83,,
2021,Engineering,Food Science & Technology,18,University of Guelph,209.5,56.8,81.3,72.8,,
2021,Engineering,Food Science & Technology,19,Cornell University,208.7,57.2,79.4,74.6,,
2021,Engineering,Food Science & Technology,20,Beijing Technology and Business University,207.2,56.9,83.1,51.5,,
2021,Engineering,Food Science & Technology,20,"Rutgers, The State University of New Jersey - New Brunswick",207.2,54.3,81.8,84.6,,
2021,Engineering,Food Science & Technology,20,University of Valencia,207.2,54,84.7,72.7,,
2021,Engineering,Food Science & Technology,23,King Abdulaziz University,204.0,43.3,97.4,100,,
2021,Engineering,Food Science & Technology,24,University College Dublin,202.8,49.3,88.3,79.2,,
2021,Engineering,Food Science & Technology,25,National University of Singapore,200.6,43.9,93.8,94.5,,
2021,Engineering,Food Science & Technology,26,University of Naples Federico II,198.7,52.7,80.3,65.1,,
2021,Engineering,Food Science & Technology,27,Jiangsu University,198.4,48.8,89.7,55.8,,
2021,Engineering,Food Science & Technology,28,"University of California, Davis",197.7,56.2,69.7,78.1,,
2021,Engineering,Food Science & Technology,29,Instituto Politecnico de Braganca,196.3,48.3,82.3,86.5,,
2021,Engineering,Food Science & Technology,30,Aarhus University,194.8,50.3,78.7,77.3,,
2021,Engineering,Food Science & Technology,31,University of Bologna,194.6,52,76.7,69.8,,
2021,Engineering,Food Science & Technology,32,Institut Agro,194.2,53.5,72.6,72.7,,
2021,Engineering,Food Science & Technology,33,Fujian Agriculture and Forestry University,193.4,45.7,89.5,62.2,,
2021,Engineering,Food Science & Technology,34,Jinan University,191.1,50.5,79.7,52.1,,
2021,Engineering,Food Science & Technology,35,South China Agricultural University,190.4,48.4,81.7,59.2,,
2021,Engineering,Food Science & Technology,35,University of Milan,190.4,52.6,72.3,64.7,,
2021,Engineering,Food Science & Technology,37,Technical University of Munich,189.9,54.5,69.4,57.6,,
2021,Engineering,Food Science & Technology,38,Tianjin University of Science and Technology,189.8,51.6,76,52.7,,
2021,Engineering,Food Science & Technology,39,University of Granada,188.9,46.8,81.4,69.3,,
2021,Engineering,Food Science & Technology,40,The University of Auckland,188.3,45,81.6,82.8,,
2021,Engineering,Food Science & Technology,41,Polytechnic University of Valencia,187.7,49.5,76.8,59.6,,
2021,Engineering,Food Science & Technology,42,University of Florida,186.5,45,81.4,74.9,,
2021,Engineering,Food Science & Technology,43,Shanghai Jiao Tong University,186.1,48.2,77,63.3,,
2021,Engineering,Food Science & Technology,44,Ocean University of China,185.1,49.6,76.7,45.9,,
2021,Engineering,Food Science & Technology,44,University of Illinois at Urbana-Champaign,185.1,45.3,78.8,77.9,,
2021,Engineering,Food Science & Technology,46,University of Parma,184.2,45.1,81.5,62.2,,
2021,Engineering,Food Science & Technology,47,Washington State University,182.8,46.3,75.8,71.5,,
2021,Engineering,Food Science & Technology,48,Michigan State University,182.7,45.5,78.2,67.2,,
2021,Engineering,Food Science & Technology,49,University College Cork,182.4,47,75.7,63.5,,
2021,Engineering,Food Science & Technology,50,Purdue University - West Lafayette,182.3,45.4,77.3,70.8,,
2021,Engineering,Food Science & Technology,50,University of Hohenheim,182.3,48.1,72.1,69.7,,
