Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Natural Sciences,Geography,1,University of Oxford,290.4,100,76.4,70.1,100,
2021,Natural Sciences,Geography,2,Wageningen University & Research,283.1,75.8,93.9,88.4,95.7,
2021,Natural Sciences,Geography,3,Utrecht University,282.3,91.6,95.2,88.5,77.8,
2021,Natural Sciences,Geography,4,University College London,266.6,83.3,84.2,72,84.8,
2021,Natural Sciences,Geography,5,University of Cambridge,265.6,86.9,78.9,70.9,85.6,
2021,Natural Sciences,Geography,6,The University of Melbourne,257.8,83,84.1,68.9,76.9,
2021,Natural Sciences,Geography,7,University of Exeter,257.2,72.8,84.4,76.5,84.8,
2021,Natural Sciences,Geography,8,Durham University,247.8,80.3,80,71.9,73.2,
2021,Natural Sciences,Geography,9,The University of Sheffield,246.3,73.7,80.5,67,78.7,
2021,Natural Sciences,Geography,10,The University of Manchester,243.2,66.8,84.3,66.9,78.7,
2021,Natural Sciences,Geography,11,Newcastle University,242.4,63.7,79.8,62.7,86.4,
2021,Natural Sciences,Geography,11,University of Leeds,242.4,73.1,83.3,78.5,70.2,
2021,Natural Sciences,Geography,13,University of British Columbia,239.8,68.8,85,74.1,71.2,
2021,Natural Sciences,Geography,14,Stockholm University,238.4,64.9,89.6,88.9,66.1,
2021,Natural Sciences,Geography,15,The Australian National University,236.4,74.9,87.9,65.4,60.5,
2021,Natural Sciences,Geography,16,University of Colorado at Boulder,233.9,75.4,88.7,76.8,54.4,
2021,Natural Sciences,Geography,17,The University of Queensland,232.7,74.9,75.9,79.4,66.1,
2021,Natural Sciences,Geography,18,King's College London,228.8,57.2,83.2,53,77.8,
2021,Natural Sciences,Geography,19,University of Copenhagen,227.1,74.4,80.8,87.9,54.4,
2021,Natural Sciences,Geography,20,University of Wisconsin - Madison,226.9,68.8,72.3,68.5,72.2,
2021,Natural Sciences,Geography,21,University of Washington,225.7,63.2,92.1,67.1,56.9,
2021,Natural Sciences,Geography,22,University of Amsterdam,225.2,56.5,87.6,75.2,66.1,
2021,Natural Sciences,Geography,23,Cardiff University,222.4,55.8,78.6,60.1,76,
2021,Natural Sciences,Geography,24,University of Toronto,222.3,68.4,80,66.8,60.5,
2021,Natural Sciences,Geography,25,Arizona State University,220.2,65.1,87.5,72.8,53.1,
2021,Natural Sciences,Geography,26,National University of Singapore,219.5,63.9,84.6,64.4,58.1,
2021,Natural Sciences,Geography,26,Vrije Universiteit Amsterdam,219.5,60.5,83.4,87.1,58.1,
2021,Natural Sciences,Geography,28,ETH Zurich,219.4,77.1,84.3,93.1,39.4,
2021,Natural Sciences,Geography,29,The University of Edinburgh,219.0,64.7,77.7,69.4,62.8,
2021,Natural Sciences,Geography,30,Lund University,217.7,62.8,86.5,83.3,51.7,
2021,Natural Sciences,Geography,31,"University of California, Berkeley",215.8,65.7,85.8,69.7,50.4,
2021,Natural Sciences,Geography,32,Stanford University,214.1,49.7,97.3,77.1,51.7,
2021,Natural Sciences,Geography,33,University of Zurich,211.7,64.3,90.8,86.5,39.4,
2021,Natural Sciences,Geography,34,University of Arizona,211.0,63.5,72.8,71.1,60.5,
2021,Natural Sciences,Geography,35,Aarhus University,210.9,66.4,79.7,94,46,
2021,Natural Sciences,Geography,36,Autonomous University of Barcelona,210.5,56.3,76.9,78.4,61.7,
