Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Social Sciences,Hospitality & Tourism Management,1,The Hong Kong Polytechnic University,323.8,100,91.2,81.8,100,100
2021,Social Sciences,Hospitality & Tourism Management,2,University of Central Florida,228.0,72.1,87.7,68.5,69.1,0
2021,Social Sciences,Hospitality & Tourism Management,3,University of Surrey,225.8,60.4,98.8,96.9,58.9,86.6
2021,Social Sciences,Hospitality & Tourism Management,4,Sun Yat-sen University,221.7,67.4,90.3,85.4,66.8,0
2021,Social Sciences,Hospitality & Tourism Management,5,Griffith University,212.1,70.2,75.6,86.1,60.4,0
2021,Social Sciences,Hospitality & Tourism Management,6,Sejong University,200.8,59.9,100,84.6,52.4,0
2021,Social Sciences,Hospitality & Tourism Management,7,Washington State University,192.1,53.1,100,89.9,53.4,0
2021,Social Sciences,Hospitality & Tourism Management,8,Temple University,189.8,53.1,91.7,74.4,56.8,0
2021,Social Sciences,Hospitality & Tourism Management,9,The University of Queensland,188.8,59.4,80,75.4,52.1,0
2021,Social Sciences,Hospitality & Tourism Management,10,Purdue University - West Lafayette,186.6,55.4,79.9,70.2,56.5,0
2021,Social Sciences,Hospitality & Tourism Management,11,Pennsylvania State University - University Park,183.0,55.6,76.3,64,55,0
2021,Social Sciences,Hospitality & Tourism Management,12,Virginia Polytechnic Institute and State University,182.0,49.4,100,71.5,50.8,0
2021,Social Sciences,Hospitality & Tourism Management,13,Bournemouth University,181.7,53.1,89.8,81.2,49,0
2021,Social Sciences,Hospitality & Tourism Management,14,Florida State University,179.7,52.3,86.3,75.5,50.4,0
2021,Social Sciences,Hospitality & Tourism Management,15,Kyung Hee University,179.5,51.8,87.3,87.2,49.4,0
2021,Social Sciences,Hospitality & Tourism Management,16,University of Nevada-Las Vegas,175.2,49.9,90.7,52.3,49.7,0
2021,Social Sciences,Hospitality & Tourism Management,17,University of South Carolina - Columbia,167.6,46.5,87.8,69.9,46.9,0
2021,Social Sciences,Hospitality & Tourism Management,18,University of Johannesburg,164.9,48.8,80.8,93.9,41.9,0
2021,Social Sciences,Hospitality & Tourism Management,19,University of Houston,162.5,44.1,87.5,60.8,46.5,0
2021,Social Sciences,Hospitality & Tourism Management,20,University of Massachusetts Amherst,154.3,42.2,78.4,76,44.3,0
2021,Social Sciences,Hospitality & Tourism Management,21,University of Florida,150.8,42.2,79.3,63.5,41.5,0
2021,Social Sciences,Hospitality & Tourism Management,22,Oklahoma State University,149.1,39.9,84.1,78.8,39.3,0
2021,Social Sciences,Hospitality & Tourism Management,23,University of Waterloo,147.7,35.5,85.1,77,24.2,100
2021,Social Sciences,Hospitality & Tourism Management,24,University of Otago,144.6,41.5,76.5,83.6,35.7,0
2021,Social Sciences,Hospitality & Tourism Management,25,University of Macau,142.0,37.4,85,63.3,37.1,0
2021,Social Sciences,Hospitality & Tourism Management,26,Oxford Brookes University,140.6,31.8,73.2,84.4,30.5,86.6
2021,Social Sciences,Hospitality & Tourism Management,27,Texas A&M University,140.4,37.7,78.2,71.9,37.5,0
2021,Social Sciences,Hospitality & Tourism Management,28,Zhejiang University,138.7,36.6,84.1,90.6,32.6,0
2021,Social Sciences,Hospitality & Tourism Management,29,California State Polytechnic University-Pomona,137.4,34.7,86.7,68.5,35.2,0
2021,Social Sciences,Hospitality & Tourism Management,30,Xiamen University,137.3,32.3,95.6,79.5,33.2,0
2021,Social Sciences,Hospitality & Tourism Management,31,Middlesex University,134.7,32.3,95.3,71,31.6,0
2021,Social Sciences,Hospitality & Tourism Management,31,Universidad de Las Palmas de Gran Canaria,134.7,36.6,79.8,56.2,34.2,0
2021,Social Sciences,Hospitality & Tourism Management,33,University of Strathclyde,133.0,26.2,81,76.6,25.6,100
2021,Social Sciences,Hospitality & Tourism Management,34,University of Canterbury,132.9,35.9,91.2,92.6,24.2,0
2021,Social Sciences,Hospitality & Tourism Management,35,Iowa State University,131.5,35.1,76.5,69.3,33.7,0
2021,Social Sciences,Hospitality & Tourism Management,36,University of Alicante,130.0,32.7,94.4,50.4,28.7,0
2021,Social Sciences,Hospitality & Tourism Management,37,University of Valencia,129.3,29.6,71.6,71.2,21.9,100
2021,Social Sciences,Hospitality & Tourism Management,38,Eastern Mediterranean University,128.5,31.4,100,58.7,25.6,0
2021,Social Sciences,Hospitality & Tourism Management,39,Michigan State University,126.7,39.2,64.3,65.1,29.3,0
2021,Social Sciences,Hospitality & Tourism Management,40,The University of Georgia,126.1,33.1,78.1,81,29.3,0
2021,Social Sciences,Hospitality & Tourism Management,41,Dong-A University,125.7,29.6,100,78,23.4,0
2021,Social Sciences,Hospitality & Tourism Management,42,Curtin University,125.5,35.1,77.2,87,25.6,0
2021,Social Sciences,Hospitality & Tourism Management,43,University of South Australia,125.2,35.5,65.8,85.9,30.5,0
2021,Social Sciences,Hospitality & Tourism Management,44,Ming Chuan University,124.8,31.8,78.8,60.7,31.6,0
2021,Social Sciences,Hospitality & Tourism Management,45,Macao Institute for Tourism Studies,124.7,33.5,72.9,63.7,31.6,0
2021,Social Sciences,Hospitality & Tourism Management,45,University of Applied Sciences and Arts Western Switzerland,124.7,27.7,89.7,89.6,29.3,0
2021,Social Sciences,Hospitality & Tourism Management,47,Florida Atlantic University,124.0,26.2,100,60.7,28.7,0
2021,Social Sciences,Hospitality & Tourism Management,48,Linnaeus University,123.4,32.3,87.4,86.3,22.7,0
2021,Social Sciences,Hospitality & Tourism Management,49,University of Malaga,120.8,32.3,79.3,52.2,27.5,0
2021,Social Sciences,Hospitality & Tourism Management,50,University of Hawaii at Manoa,120.6,24.6,73.2,64.4,23.4,86.6
2021,Social Sciences,Hospitality & Tourism Management,51-75,Boston University,,22.8,88.6,42.6,25.6,0
2021,Social Sciences,Hospitality & Tourism Management,51-75,City University of Macau,,28.2,76.6,62.2,26.9,0
2021,Social Sciences,Hospitality & Tourism Management,51-75,Edith Cowan University,,33.1,70.2,84,26.9,0
2021,Social Sciences,Hospitality & Tourism Management,51-75,Fudan University,,24.6,100,76.6,25.6,0
2021,Social Sciences,Hospitality & Tourism Management,51-75,Hanyang University,,28.2,92.6,73.7,23.4,0
2021,Social Sciences,Hospitality & Tourism Management,51-75,Heriot-Watt University,,22.8,96.5,51.1,22.7,0
2021,Social Sciences,Hospitality & Tourism Management,51-75,Instituto Universitario de Lisboa,,27.2,80.7,69.8,21.1,0
2021,Social Sciences,Hospitality & Tourism Management,51-75,Leeds Beckett University,,36.3,62.2,60.4,22.7,0
2021,Social Sciences,Hospitality & Tourism Management,51-75,Libera Università di lingue e comunicazione IULM MILANO,,22.2,95.4,93.6,21.9,0
2021,Social Sciences,Hospitality & Tourism Management,51-75,Macau University of Science and Technology,,28.2,81.8,71.5,25.6,0
2021,Social Sciences,Hospitality & Tourism Management,51-75,Nankai University,,24.6,85.2,83.1,24.9,0
2021,Social Sciences,Hospitality & Tourism Management,51-75,National Chiayi University,,30.1,74.5,67.4,28.7,0
2021,Social Sciences,Hospitality & Tourism Management,51-75,The Hebrew University of Jerusalem,,17.4,100,64.8,17.6,100
2021,Social Sciences,Hospitality & Tourism Management,51-75,The Ohio State University - Columbus,,27.2,86.2,49.7,26.2,0
2021,Social Sciences,Hospitality & Tourism Management,51-75,The University of New South Wales,,29.6,65,78,25.6,0
2021,Social Sciences,Hospitality & Tourism Management,51-75,The University of Waikato,,32.3,68.1,84,29.3,0
2021,Social Sciences,Hospitality & Tourism Management,51-75,University of Birmingham,,29.6,99.1,70.2,13.1,0
2021,Social Sciences,Hospitality & Tourism Management,51-75,University of Denver,,25.6,86.3,69,26.9,0
2021,Social Sciences,Hospitality & Tourism Management,51-75,University of Granada,,28.2,78.1,61.9,21.9,0
2021,Social Sciences,Hospitality & Tourism Management,51-75,University of Innsbruck,,25.6,80.8,75.8,21.9,0
2021,Social Sciences,Hospitality & Tourism Management,51-75,University of Ljubljana,,28.2,76.5,87.1,21.9,0
2021,Social Sciences,Hospitality & Tourism Management,51-75,University of Nottingham,,25.1,79.2,78.8,24.2,0
2021,Social Sciences,Hospitality & Tourism Management,51-75,"University of Science, Malaysia",,22.8,100,78.7,19.4,0
2021,Social Sciences,Hospitality & Tourism Management,51-75,University of the Balearic Islands,,26.7,83.2,64.2,21.9,0
2021,Social Sciences,Hospitality & Tourism Management,51-75,University Putra Malaysia,,19.6,100,100,19.4,0
2021,Social Sciences,Hospitality & Tourism Management,76-100,AUT University,,28.2,60.7,79.9,25.6,0
2021,Social Sciences,Hospitality & Tourism Management,76-100,Breda University of Applied Sciences,,27.7,78.2,74.4,19.4,0
2021,Social Sciences,Hospitality & Tourism Management,76-100,Colorado State University,,23.4,83.6,69.3,19.4,0
2021,Social Sciences,Hospitality & Tourism Management,76-100,Complutense University of Madrid,,20.9,93.5,68.2,16.6,0
2021,Social Sciences,Hospitality & Tourism Management,76-100,Cornell University,,30.5,52.5,51.3,24.2,0
2021,Social Sciences,Hospitality & Tourism Management,76-100,Deakin University,,25.1,75.5,79,23.4,0
2021,Social Sciences,Hospitality & Tourism Management,76-100,Dongseo University,,18.9,100,59,17.6,0
2021,Social Sciences,Hospitality & Tourism Management,76-100,Edinburgh Napier University,,22.2,76.4,72,22.7,0
2021,Social Sciences,Hospitality & Tourism Management,76-100,James Cook University,,29.1,56.8,76.7,23.4,0
2021,Social Sciences,Hospitality & Tourism Management,76-100,Jinan University,,24,79.6,83.4,24.2,0
2021,Social Sciences,Hospitality & Tourism Management,76-100,Monash University,,27.2,71.8,75.4,17.6,0
2021,Social Sciences,Hospitality & Tourism Management,76-100,Nanjing University,,23.4,86.5,72.6,21.9,0
2021,Social Sciences,Hospitality & Tourism Management,76-100,National Cheng Kung University,,21.6,90.9,80.2,16.6,0
2021,Social Sciences,Hospitality & Tourism Management,76-100,Queensland University of Technology,,25.1,72.5,88.2,20.3,0
2021,Social Sciences,Hospitality & Tourism Management,76-100,Ryerson University,,20.9,99.1,77,17.6,0
2021,Social Sciences,Hospitality & Tourism Management,76-100,Taylor's University,,25.6,76.5,80.1,21.9,0
2021,Social Sciences,Hospitality & Tourism Management,76-100,The George Washington University,,18.1,64.8,82.6,18.5,86.6
2021,Social Sciences,Hospitality & Tourism Management,76-100,The University of Sheffield,,22.2,86.5,70.9,19.4,0
2021,Social Sciences,Hospitality & Tourism Management,76-100,Universidade do Algarve,,24.6,73,78.6,24.9,0
2021,Social Sciences,Hospitality & Tourism Management,76-100,University of Eastern Finland,,18.9,99.3,70.2,16.6,0
2021,Social Sciences,Hospitality & Tourism Management,76-100,University of Guelph,,24.6,86.9,59.7,21.9,0
2021,Social Sciences,Hospitality & Tourism Management,76-100,University of Portsmouth,,24.6,78,70.5,21.9,0
2021,Social Sciences,Hospitality & Tourism Management,76-100,University of Seville,,24,80.7,74.1,19.4,0
2021,Social Sciences,Hospitality & Tourism Management,76-100,University of Technology Sydney,,29.1,54.1,74.1,24.9,0
2021,Social Sciences,Hospitality & Tourism Management,76-100,Wageningen University & Research,,25.1,81.8,81.3,17.6,0
2021,Social Sciences,Hospitality & Tourism Management,101-150,Akdeniz University,,20.9,72.5,48.3,19.4,0
2021,Social Sciences,Hospitality & Tourism Management,101-150,Auburn University,,22.2,66.5,59,20.3,0
2021,Social Sciences,Hospitality & Tourism Management,101-150,Autonomous University of Madrid,,22.2,89.3,81.1,14.4,0
2021,Social Sciences,Hospitality & Tourism Management,101-150,Beijing International Studies University,,20.3,76.7,94.3,19.4,0
2021,Social Sciences,Hospitality & Tourism Management,101-150,Beijing Union University,,17.4,75.7,89.3,18.5,0
2021,Social Sciences,Hospitality & Tourism Management,101-150,Ben-Gurion University of the Negev,,22.2,68,75.4,21.1,0
2021,Social Sciences,Hospitality & Tourism Management,101-150,College of Charleston,,19.6,83.1,55.2,18.5,0
2021,Social Sciences,Hospitality & Tourism Management,101-150,Coventry University,,20.9,67.3,64.6,20.3,0
2021,Social Sciences,Hospitality & Tourism Management,101-150,Cyprus University of Technology,,20.9,79.7,64.9,20.3,0
2021,Social Sciences,Hospitality & Tourism Management,101-150,Dokuz Eylul University,,19.6,84.5,83.4,18.5,0
2021,Social Sciences,Hospitality & Tourism Management,101-150,East Carolina University,,21.6,75.7,56.6,21.9,0
2021,Social Sciences,Hospitality & Tourism Management,101-150,Harbin Institute of Technology,,16.6,100,64.8,18.5,0
2021,Social Sciences,Hospitality & Tourism Management,101-150,Indiana University Bloomington,,23.4,59.1,63,21.9,0
2021,Social Sciences,Hospitality & Tourism Management,101-150,La Trobe University,,25.6,60.9,53.8,21.9,0
2021,Social Sciences,Hospitality & Tourism Management,101-150,Lund University,,22.2,77.8,75.2,14.4,0
2021,Social Sciences,Hospitality & Tourism Management,101-150,Manchester Metropolitan University,,24,71.3,56.2,21.9,0
2021,Social Sciences,Hospitality & Tourism Management,101-150,National Chi Nan University,,25.1,60.8,64.6,20.3,0
2021,Social Sciences,Hospitality & Tourism Management,101-150,National Dong Hwa University,,17.4,83.9,79.4,15.5,0
2021,Social Sciences,Hospitality & Tourism Management,101-150,Newcastle University,,19.6,76.8,67.8,16.6,0
2021,Social Sciences,Hospitality & Tourism Management,101-150,Peking University,,17.4,84,96,16.6,0
2021,Social Sciences,Hospitality & Tourism Management,101-150,Pusan National University,,20.9,79.1,69.3,14.4,0
2021,Social Sciences,Hospitality & Tourism Management,101-150,Seoul National University,,20.9,67.5,84.6,19.4,0
2021,Social Sciences,Hospitality & Tourism Management,101-150,Sheffield Hallam University,,24,62.8,64.5,18.5,0
2021,Social Sciences,Hospitality & Tourism Management,101-150,Southern Cross University,,26.7,66.5,71.6,18.5,0
2021,Social Sciences,Hospitality & Tourism Management,101-150,Swansea University,,22.2,74.2,69.5,17.6,0
2021,Social Sciences,Hospitality & Tourism Management,101-150,Texas Tech University,,24.6,62,54.1,24.2,0
2021,Social Sciences,Hospitality & Tourism Management,101-150,"The University of Newcastle, Australia",,20.9,81.1,70.4,15.5,0
2021,Social Sciences,Hospitality & Tourism Management,101-150,The University of Western Australia,,25.6,70.7,69.8,16.6,0
2021,Social Sciences,Hospitality & Tourism Management,101-150,Universiti Teknologi Malaysia,,16.6,90.9,97.8,13.1,0
2021,Social Sciences,Hospitality & Tourism Management,101-150,University of Bologna,,23.4,72.9,54.6,23.4,0
2021,Social Sciences,Hospitality & Tourism Management,101-150,University of Castilla–La Mancha,,22.2,76.3,75.8,20.3,0
2021,Social Sciences,Hospitality & Tourism Management,101-150,University of Delaware,,22.8,74.2,48.3,21.1,0
