Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Life Sciences,Human Biological Sciences,1,Harvard University,353.6,100,95.6,73.5,100,43.3
2021,Life Sciences,Human Biological Sciences,2,University College London,304.0,66.4,88.6,85.4,45.3,86.6
2021,Life Sciences,Human Biological Sciences,3,Columbia University,298.6,51,90.9,68.9,52.8,90.1
2021,Life Sciences,Human Biological Sciences,4,Massachusetts Institute of Technology (MIT),290.3,46.3,100,75.7,67.7,61.2
2021,Life Sciences,Human Biological Sciences,5,Rockefeller University,274.8,25.7,100,76.3,33.9,100
2021,Life Sciences,Human Biological Sciences,6,"University of California, Los Angeles",243.9,50.3,85.8,66,44.6,50
2021,Life Sciences,Human Biological Sciences,7,The University of Texas M. D. Anderson Cancer Center,243.3,36.9,97.2,68.8,34.2,61.2
2021,Life Sciences,Human Biological Sciences,8,The University of Texas Southwestern Medical Center at Dallas,239.3,33.4,85.6,62.9,32.7,75
2021,Life Sciences,Human Biological Sciences,9,University of Zurich,238.8,41.6,85.4,86.1,33.3,61.2
2021,Life Sciences,Human Biological Sciences,10,University of Cambridge,229.9,46.7,90.8,85.1,40,35.4
2021,Life Sciences,Human Biological Sciences,11,"University of California, San Francisco",229.2,59.6,97.5,71.4,57.9,0
2021,Life Sciences,Human Biological Sciences,12,Stanford University,227.8,55.3,100,69.2,58.7,0
2021,Life Sciences,Human Biological Sciences,13,Kyoto University,219.4,29,71.1,57.1,21.3,86.6
2021,Life Sciences,Human Biological Sciences,14,University of Pennsylvania,217.1,57.4,94.8,65.1,51.9,0
2021,Life Sciences,Human Biological Sciences,15,Johns Hopkins University,214.8,66.1,90.1,69.6,44.6,0
2021,Life Sciences,Human Biological Sciences,16,"University of California, San Diego",213.8,51,92.7,68.7,56.4,0
2021,Life Sciences,Human Biological Sciences,17,Norwegian University of Science and Technology - NTNU,209.4,18.2,73.1,75.7,16.3,86.6
2021,Life Sciences,Human Biological Sciences,18,University of Oxford,209.0,57.9,89.3,87.3,44.4,0
2021,Life Sciences,Human Biological Sciences,19,Yale University,207.0,51.1,92.2,71.1,49.4,0
2021,Life Sciences,Human Biological Sciences,20,Washington University in St. Louis,205.0,47.9,98.9,63.5,45.5,0
2021,Life Sciences,Human Biological Sciences,21,Icahn School of Medicine at Mount Sinai,200.0,43.5,95.8,69.7,46.7,0
2021,Life Sciences,Human Biological Sciences,22,University of Gothenburg,199.7,29.1,85.9,85.9,17.6,50
2021,Life Sciences,Human Biological Sciences,23,Cornell University,198.3,42.8,94,67.9,48,0
2021,Life Sciences,Human Biological Sciences,24,Karolinska Institute,198.2,52.4,85.6,88.4,42.5,0
2021,Life Sciences,Human Biological Sciences,25,University of Toronto,197.3,57.6,83.5,78.3,40.5,0
2021,Life Sciences,Human Biological Sciences,26,University of Washington,196.6,52.2,89.3,67.6,41.5,0
2021,Life Sciences,Human Biological Sciences,27,University of Strasbourg,195.1,22,80.3,79.2,15.7,61.2
2021,Life Sciences,Human Biological Sciences,28,The University of Texas Health Science Center at Houston,194.3,30.5,79.5,67.4,20.8,50
2021,Life Sciences,Human Biological Sciences,29,California Institute of Technology,193.4,17.7,98,70.7,20.3,43.3
2021,Life Sciences,Human Biological Sciences,30,The University of Melbourne,193.1,49.9,86.6,77.9,41,0
2021,Life Sciences,Human Biological Sciences,31,New York University,192.3,42.7,91.3,68,44.6,0
2021,Life Sciences,Human Biological Sciences,32,Imperial College London,190.8,48.4,90,86.6,35.1,0
2021,Life Sciences,Human Biological Sciences,33,King's College London,190.3,47.4,90.7,85.4,35.1,0
2021,Life Sciences,Human Biological Sciences,34,University of Pittsburgh,188.9,51.7,87.1,61.9,37.6,0
2021,Life Sciences,Human Biological Sciences,35,University of Munich,187.8,43.5,88.9,81,39.2,0
2021,Life Sciences,Human Biological Sciences,36,University of North Carolina at Chapel Hill,186.4,44.9,91.1,65.5,37.4,0
2021,Life Sciences,Human Biological Sciences,37,McGill University,184.9,48.9,83.6,81.1,36.3,0
2021,Life Sciences,Human Biological Sciences,38,The University of Western Australia,184.4,25.1,76.5,77.2,14.3,53
2021,Life Sciences,Human Biological Sciences,39,Duke University,183.6,45,85.6,65.1,40,0
2021,Life Sciences,Human Biological Sciences,40,Free University Berlin,182.8,47.6,86.8,77.6,33,0
2021,Life Sciences,Human Biological Sciences,41,Sorbonne University,182.2,48.3,84,79.8,33.9,0
2021,Life Sciences,Human Biological Sciences,42,Humboldt University of Berlin,182.0,46.6,86.6,77.4,33.3,0
2021,Life Sciences,Human Biological Sciences,43,Charite - Universitats Medizin Berlin,181.3,44.7,88.5,77.7,32.7,0
2021,Life Sciences,Human Biological Sciences,44,University of Paris,180.6,45.4,84.3,77.3,35.4,0
2021,Life Sciences,Human Biological Sciences,45,University of Michigan-Ann Arbor,179.9,46.5,87.6,59.7,33.9,0
2021,Life Sciences,Human Biological Sciences,46,Emory University,179.6,46.9,86.1,63.5,33.9,0
2021,Life Sciences,Human Biological Sciences,47,University of Basel,177.3,36.8,88.6,88.2,34.2,0
2021,Life Sciences,Human Biological Sciences,48,"University of California, Berkeley",176.3,32.6,96.9,70.2,32.7,0
2021,Life Sciences,Human Biological Sciences,49,Heidelberg University,175.7,42.7,85,78.1,32.4,0
2021,Life Sciences,Human Biological Sciences,50,Technical University of Munich,175.2,33.6,93.2,79.7,32.4,0
2021,Life Sciences,Human Biological Sciences,50,University of Amsterdam,175.2,43.4,86.7,80.4,29,0
2021,Life Sciences,Human Biological Sciences,51-75,Baylor College of Medicine,,40.4,83.9,66.9,34.8,0
2021,Life Sciences,Human Biological Sciences,51-75,Boston University,,34.9,86.2,63.6,31.1,0
2021,Life Sciences,Human Biological Sciences,51-75,Erasmus University Rotterdam,,37.1,87.5,83.2,24,0
2021,Life Sciences,Human Biological Sciences,51-75,ETH Zurich,,29.7,90.8,86.4,33,0
2021,Life Sciences,Human Biological Sciences,51-75,KU Leuven,,37.7,85.1,87,24,0
2021,Life Sciences,Human Biological Sciences,51-75,Leiden University,,36.5,85,79.6,25.6,0
2021,Life Sciences,Human Biological Sciences,51-75,Mayo Clinic Alix School of Medicine,,42.9,87.4,63.4,29,0
2021,Life Sciences,Human Biological Sciences,51-75,Monash University,,40.7,82,78.1,31.4,0
2021,Life Sciences,Human Biological Sciences,51-75,Northwestern University,,42.3,85.9,61.1,29,0
2021,Life Sciences,Human Biological Sciences,51-75,Radboud University Nijmegen,,40,81.9,82.1,27.2,0
2021,Life Sciences,Human Biological Sciences,51-75,The University of Edinburgh,,36.9,88.7,82.2,32,0
2021,Life Sciences,Human Biological Sciences,51-75,The University of Manchester,,33.4,90.3,81.7,24.4,0
2021,Life Sciences,Human Biological Sciences,51-75,The University of Queensland,,38,83,78.3,29.4,0
2021,Life Sciences,Human Biological Sciences,51-75,University of Bonn,,31.4,92.2,79.7,31.1,0
2021,Life Sciences,Human Biological Sciences,51-75,University of Chicago,,33.3,91.5,64.3,33.6,0
2021,Life Sciences,Human Biological Sciences,51-75,University of Copenhagen,,44.5,81.4,80,29,0
2021,Life Sciences,Human Biological Sciences,51-75,University of Freiburg,,31.1,91.1,81.8,33.6,0
2021,Life Sciences,Human Biological Sciences,51-75,University of Lausanne,,32.5,89.2,85.4,26.4,0
2021,Life Sciences,Human Biological Sciences,51-75,University of Massachusetts Medical School - Worcester,,27.1,94.5,68.7,34.5,0
2021,Life Sciences,Human Biological Sciences,51-75,"University of Minnesota, Twin Cities",,38.1,82.5,63.7,32.7,0
2021,Life Sciences,Human Biological Sciences,51-75,University of Southern California,,35,86.6,67.1,31.4,0
2021,Life Sciences,Human Biological Sciences,51-75,Utrecht University,,40.2,87.1,79.4,25.6,0
2021,Life Sciences,Human Biological Sciences,51-75,Vanderbilt University,,41.6,87.5,62.8,31.1,0
2021,Life Sciences,Human Biological Sciences,51-75,Weizmann Institute of Science,,19.8,96.5,80,32,0
2021,Life Sciences,Human Biological Sciences,76-100,Aix Marseille University,,36.5,75.4,76.8,29.4,0
2021,Life Sciences,Human Biological Sciences,76-100,Cardiff University,,29.1,87.6,82.4,25.2,0
2021,Life Sciences,Human Biological Sciences,76-100,Case Western Reserve University,,32.9,84.3,65.4,24.8,0
2021,Life Sciences,Human Biological Sciences,76-100,Ghent University,,30.8,83.6,86.3,26.4,0
2021,Life Sciences,Human Biological Sciences,76-100,Medical University of Vienna,,32.8,83.9,84.5,25.6,0
2021,Life Sciences,Human Biological Sciences,76-100,National University of Singapore,,34.1,83.1,85.6,28.3,0
2021,Life Sciences,Human Biological Sciences,76-100,Oregon Health and Science University,,31.9,86.4,59.8,25.2,0
2021,Life Sciences,Human Biological Sciences,76-100,Paris-Saclay University,,31.6,83.8,77,26,0
2021,Life Sciences,Human Biological Sciences,76-100,Princeton University,,19.2,97.1,68.5,24.4,0
2021,Life Sciences,Human Biological Sciences,76-100,Queen Mary University of London,,23.9,89.7,85.4,23.1,0
2021,Life Sciences,Human Biological Sciences,76-100,Swiss Federal Institute of Technology Lausanne,,24.6,98.1,88.1,21.7,0
2021,Life Sciences,Human Biological Sciences,76-100,The University of Tokyo,,36.1,71.7,55.9,34.5,0
2021,Life Sciences,Human Biological Sciences,76-100,Trinity College Dublin,,22.8,95,83.7,20.3,0
2021,Life Sciences,Human Biological Sciences,76-100,University of Alabama at Birmingham,,32.6,85.2,60.8,26.4,0
2021,Life Sciences,Human Biological Sciences,76-100,University of Barcelona,,41.9,79.9,80.5,21.3,0
2021,Life Sciences,Human Biological Sciences,76-100,University of British Columbia,,40,80.4,78.1,18.7,0
2021,Life Sciences,Human Biological Sciences,76-100,"University of California, Irvine",,31.8,85.4,67,23.5,0
2021,Life Sciences,Human Biological Sciences,76-100,University of Colorado Health Science Center,,34.6,84.3,60.6,23.1,0
2021,Life Sciences,Human Biological Sciences,76-100,University of Geneva,,32.5,81.3,85.3,27.9,0
2021,Life Sciences,Human Biological Sciences,76-100,University of Goettingen,,28.8,89.2,80,20.8,0
2021,Life Sciences,Human Biological Sciences,76-100,University of Hamburg,,33.6,82.5,79.1,22.7,0
2021,Life Sciences,Human Biological Sciences,76-100,University of Oslo,,31.8,82.1,81.9,23.1,0
2021,Life Sciences,Human Biological Sciences,76-100,University of Sydney,,39.4,82.6,75,20.3,0
2021,Life Sciences,Human Biological Sciences,76-100,University of Tuebingen,,38.3,81.8,80.1,24,0
2021,Life Sciences,Human Biological Sciences,76-100,University of Virginia,,28.9,92.1,63.7,26.8,0
2021,Life Sciences,Human Biological Sciences,76-100,Vrije Universiteit Amsterdam,,40.2,83.6,78.8,21.3,0
