Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Engineering,Instruments Science & Technology,1,Harbin Institute of Technology,282.8,100,71.8,55.1,,
2021,Engineering,Instruments Science & Technology,2,Beihang University,258.9,92.6,64,49.2,,
2021,Engineering,Instruments Science & Technology,3,Zhejiang University,255.4,87.8,69.3,52.5,,
2021,Engineering,Instruments Science & Technology,4,Tsinghua University,251.0,88.4,63.5,53.1,,
2021,Engineering,Instruments Science & Technology,5,Jilin University,239.3,76.6,78.5,38.4,,
2021,Engineering,Instruments Science & Technology,6,Nanyang Technological University,233.5,68.6,79.2,85.7,,
2021,Engineering,Instruments Science & Technology,7,Southeast University,233.2,75.3,72.1,52,,
2021,Engineering,Instruments Science & Technology,8,Huazhong University of Science and Technology,232.1,76.6,69.2,48,,
2021,Engineering,Instruments Science & Technology,9,Xi'an Jiaotong University,222.8,74.5,64.3,47.8,,
2021,Engineering,Instruments Science & Technology,10,Dalian University of Technology,220.9,72.2,65.2,56.6,,
2021,Engineering,Instruments Science & Technology,11,Northwestern Polytechnical University,217.4,66,73.7,59,,
2021,Engineering,Instruments Science & Technology,12,Northeastern University (Shenyang),216.3,69.2,69.3,43.2,,
2021,Engineering,Instruments Science & Technology,13,Tianjin University,215.6,71.2,64.2,45.7,,
2021,Engineering,Instruments Science & Technology,14,Chongqing University,214.5,66.1,72,52.2,,
2021,Engineering,Instruments Science & Technology,15,Shanghai Jiao Tong University,213.5,71.1,60.7,53.2,,
2021,Engineering,Instruments Science & Technology,16,Wuhan University,212.7,71.1,61.2,46.8,,
2021,Engineering,Instruments Science & Technology,17,Beijing Institute of Technology,209.5,67.6,64.5,49.3,,
2021,Engineering,Instruments Science & Technology,18,University of Electronic Science and Technology of China,209.3,64.4,67.7,63.6,,
2021,Engineering,Instruments Science & Technology,19,Nanjing University of Aeronautics and Astronautics,208.6,65.4,68.3,47.6,,
2021,Engineering,Instruments Science & Technology,20,Aalborg University,206.8,44.8,99.8,86.8,,
2021,Engineering,Instruments Science & Technology,21,King Abdulaziz University,198.4,39.3,100,98.9,,
2021,Engineering,Instruments Science & Technology,22,Hanyang University,196.1,54.1,76.5,56.4,,
2021,Engineering,Instruments Science & Technology,22,National University of Singapore,196.1,54.7,70.5,80.8,,
2021,Engineering,Instruments Science & Technology,24,Massachusetts Institute of Technology (MIT),193.3,50.9,75.8,78.5,,
2021,Engineering,Instruments Science & Technology,25,Central South University,192.7,55,72.9,48.5,,
2021,Engineering,Instruments Science & Technology,26,South China University of Technology,190.6,52,75.6,54.6,,
2021,Engineering,Instruments Science & Technology,27,Hunan University,190.1,51,76.9,55.6,,
2021,Engineering,Instruments Science & Technology,28,Seoul National University,189.4,55.2,66.6,62.6,,
2021,Engineering,Instruments Science & Technology,29,The Hong Kong Polytechnic University,188.6,54.7,69.3,49.3,,
2021,Engineering,Instruments Science & Technology,30,University of Science and Technology of China,187.2,58.8,59.2,52.5,,
2021,Engineering,Instruments Science & Technology,31,Tongji University,186.8,52.7,70.4,54.5,,
2021,Engineering,Instruments Science & Technology,32,The University of New South Wales,186.5,46.3,76.9,85.1,,
2021,Engineering,Instruments Science & Technology,33,City University of Hong Kong,186.0,46.7,80.7,59.4,,
2021,Engineering,Instruments Science & Technology,34,University of Jinan,185.9,45.1,89.8,29.7,,
2021,Engineering,Instruments Science & Technology,35,Korea University,185.7,50.1,72.8,63.6,,
2021,Engineering,Instruments Science & Technology,36,University of Malaya,185.6,40,88.5,85.7,,
2021,Engineering,Instruments Science & Technology,37,National University of Defense Technology,185.4,61.5,54.6,39.1,,
2021,Engineering,Instruments Science & Technology,38,Beijing Jiaotong University,182.8,50.9,69.3,58,,
2021,Engineering,Instruments Science & Technology,39,University of Technology Sydney,182.6,40,84.4,91.4,,
2021,Engineering,Instruments Science & Technology,40,Harvard University,182.5,44.5,77.3,80.9,,
2021,Engineering,Instruments Science & Technology,41,Korea Advanced Institute of Science and Technology,182.1,55.3,61.2,52,,
2021,Engineering,Instruments Science & Technology,42,ETH Zurich,181.5,41.9,81.3,81.7,,
2021,Engineering,Instruments Science & Technology,43,The University of Auckland,180.6,32,100,83.1,,
2021,Engineering,Instruments Science & Technology,43,University of Alberta,180.6,47.4,69.5,81.6,,
2021,Engineering,Instruments Science & Technology,45,Polytechnic University of Catalonia,180.5,51.5,62.8,73.3,,
2021,Engineering,Instruments Science & Technology,46,INHA University,179.3,47.5,71.7,63.1,,
2021,Engineering,Instruments Science & Technology,47,Southwest University,179.2,47.2,76.6,40.7,,
2021,Engineering,Instruments Science & Technology,48,Polytechnic University of Madrid,179.0,54.9,55.5,68,,
2021,Engineering,Instruments Science & Technology,49,Hefei University of Technology,178.3,50.6,67.9,46.4,,
2021,Engineering,Instruments Science & Technology,50,University of Houston,178.2,41.5,76.7,92.6,,
2021,Engineering,Instruments Science & Technology,51-75,Beijing University of Chemical Technology,,41.3,81.4,46.2,,
2021,Engineering,Instruments Science & Technology,51-75,Chonnam National University,,32.2,97.4,61.9,,
2021,Engineering,Instruments Science & Technology,51-75,Harbin Engineering University,,54.4,56.2,48.3,,
2021,Engineering,Instruments Science & Technology,51-75,Imperial College London,,40.3,76,87.5,,
2021,Engineering,Instruments Science & Technology,51-75,Isfahan University of Technology,,38.2,91,52.5,,
2021,Engineering,Instruments Science & Technology,51-75,Islamic Azad University,,41.9,81.5,58.5,,
2021,Engineering,Instruments Science & Technology,51-75,Jiangnan University,,41.6,74.1,62.5,,
2021,Engineering,Instruments Science & Technology,51-75,Jiangsu University,,41.6,81.1,37.9,,
2021,Engineering,Instruments Science & Technology,51-75,Kyungpook National University,,44.8,70.8,60.6,,
2021,Engineering,Instruments Science & Technology,51-75,Nanjing University of Science and Technology,,52.5,62.7,50.3,,
2021,Engineering,Instruments Science & Technology,51-75,National Taiwan University,,43.8,71.2,60.5,,
2021,Engineering,Instruments Science & Technology,51-75,Polytechnic University of Milan,,47.4,65.4,71.1,,
2021,Engineering,Instruments Science & Technology,51-75,Purdue University - West Lafayette,,40.3,77.1,67.9,,
2021,Engineering,Instruments Science & Technology,51-75,Shandong University,,50.1,64.4,48.7,,
2021,Engineering,Instruments Science & Technology,51-75,Shenzhen University,,47.9,70.9,52.7,,
2021,Engineering,Instruments Science & Technology,51-75,Southwest Jiaotong University,,45.1,75.3,55.6,,
2021,Engineering,Instruments Science & Technology,51-75,The Ohio State University - Columbus,,35.8,83.7,75.4,,
2021,Engineering,Instruments Science & Technology,51-75,The University of Adelaide,,32,93.8,82.3,,
2021,Engineering,Instruments Science & Technology,51-75,The University of Manchester,,41,73.7,83.7,,
2021,Engineering,Instruments Science & Technology,51-75,University of Antwerp,,29.3,100,86.8,,
2021,Engineering,Instruments Science & Technology,51-75,"University of California, San Diego",,35.5,85.4,76.1,,
2021,Engineering,Instruments Science & Technology,51-75,"University of Maryland, College Park",,37.9,85,72.2,,
2021,Engineering,Instruments Science & Technology,51-75,University of Science and Technology Beijing,,46.2,70.6,56.6,,
2021,Engineering,Instruments Science & Technology,51-75,University of Seville,,39,82.9,80.5,,
2021,Engineering,Instruments Science & Technology,51-75,University of Tehran,,40.1,77.9,58.8,,
2021,Engineering,Instruments Science & Technology,51-75,University of Wollongong,,34.4,83.8,91.1,,
2021,Engineering,Instruments Science & Technology,76-100,Georgia Institute of Technology,,44.8,66.2,61.7,,
2021,Engineering,Instruments Science & Technology,76-100,Ghent University,,38,74.9,87.7,,
2021,Engineering,Instruments Science & Technology,76-100,Johns Hopkins University,,25.5,99.4,76.4,,
2021,Engineering,Instruments Science & Technology,76-100,Monash University,,37.9,74.3,77.8,,
2021,Engineering,Instruments Science & Technology,76-100,Paris-Saclay University,,40.7,70.3,80.7,,
2021,Engineering,Instruments Science & Technology,76-100,Qatar University,,32.6,83.6,96.2,,
2021,Engineering,Instruments Science & Technology,76-100,Qingdao University of Science and Technology,,36.4,88.7,40,,
2021,Engineering,Instruments Science & Technology,76-100,Rice University,,23.7,100,91.8,,
2021,Engineering,Instruments Science & Technology,76-100,RMIT University,,39.5,72.5,78.7,,
2021,Engineering,Instruments Science & Technology,76-100,Shandong University of Science and Technology,,37,81.7,53.9,,
2021,Engineering,Instruments Science & Technology,76-100,Shanghai University,,41.6,70.1,57.1,,
2021,Engineering,Instruments Science & Technology,76-100,Shanxi University,,38.5,79.3,49.4,,
2021,Engineering,Instruments Science & Technology,76-100,Stanford University,,39.3,71.4,81,,
2021,Engineering,Instruments Science & Technology,76-100,Sungkyunkwan University,,40.9,71.8,59.9,,
2021,Engineering,Instruments Science & Technology,76-100,Swiss Federal Institute of Technology Lausanne,,44.1,61,83.4,,
2021,Engineering,Instruments Science & Technology,76-100,The University of Tokyo,,50.4,55.4,64.7,,
2021,Engineering,Instruments Science & Technology,76-100,Universiti Teknologi Malaysia,,36.9,75.1,82.4,,
2021,Engineering,Instruments Science & Technology,76-100,University of Bologna,,35.3,80.6,80.5,,
2021,Engineering,Instruments Science & Technology,76-100,"University of California, Berkeley",,40.7,71.8,82.5,,
2021,Engineering,Instruments Science & Technology,76-100,University of L'Aquila,,27.6,95.4,70.8,,
2021,Engineering,Instruments Science & Technology,76-100,University of Michigan-Ann Arbor,,44.9,61.6,68.4,,
2021,Engineering,Instruments Science & Technology,76-100,University of Nebraska - Lincoln,,25.5,100,78.7,,
2021,Engineering,Instruments Science & Technology,76-100,University of Southampton,,35,83.1,78.1,,
2021,Engineering,Instruments Science & Technology,76-100,Xidian University,,51.7,54,43.6,,
2021,Engineering,Instruments Science & Technology,101-150,Carnegie Mellon University,,25.7,96.4,73.4,,
2021,Engineering,Instruments Science & Technology,101-150,China University of Petroleum (Huadong),,33.3,87.4,46.4,,
2021,Engineering,Instruments Science & Technology,101-150,COMSATS University Islamabad,,33.1,78,96,,
2021,Engineering,Instruments Science & Technology,101-150,Concordia University,,30.6,83.5,80.6,,
2021,Engineering,Instruments Science & Technology,101-150,Delft University of Technology,,42.7,61,79.9,,
2021,Engineering,Instruments Science & Technology,101-150,East China University of Science and Technology,,36.5,81.1,51.1,,
2021,Engineering,Instruments Science & Technology,101-150,Hangzhou Dianzi University,,45.1,63.4,54.2,,
2021,Engineering,Instruments Science & Technology,101-150,Indian Institute of Technology Delhi,,37.2,71.6,52.4,,
2021,Engineering,Instruments Science & Technology,101-150,Jeonbuk National University,,25.5,100,68.3,,
2021,Engineering,Instruments Science & Technology,101-150,King Saud University,,34.1,71.8,93.3,,
2021,Engineering,Instruments Science & Technology,101-150,Nanjing University,,41.6,63.2,58.1,,
2021,Engineering,Instruments Science & Technology,101-150,Nankai University,,36.5,75.5,41,,
2021,Engineering,Instruments Science & Technology,101-150,National Central University,,26.2,93.4,63,,
2021,Engineering,Instruments Science & Technology,101-150,National Polytechnic Institute,,27.6,92.4,71.6,,
2021,Engineering,Instruments Science & Technology,101-150,Northwestern University,,24.5,95.1,78.8,,
2021,Engineering,Instruments Science & Technology,101-150,Peking University,,43.4,66.2,57.2,,
2021,Engineering,Instruments Science & Technology,101-150,Pohang University of Science and Technology,,43.5,63.4,53.4,,
2021,Engineering,Instruments Science & Technology,101-150,Politecnico di Bari,,27.1,94,70.6,,
2021,Engineering,Instruments Science & Technology,101-150,Polytechnic University of Valencia,,44.7,61,67.2,,
2021,Engineering,Instruments Science & Technology,101-150,Qufu Normal University,,33.7,83.7,41.6,,
2021,Engineering,Instruments Science & Technology,101-150,Soochow University (China),,34.6,76.9,52.6,,
2021,Engineering,Instruments Science & Technology,101-150,Sun Yat-sen University,,42.2,66.6,53.6,,
2021,Engineering,Instruments Science & Technology,101-150,Texas A&M University,,37.2,73.2,74.8,,
2021,Engineering,Instruments Science & Technology,101-150,Texas Tech University,,22.1,97.7,76.2,,
2021,Engineering,Instruments Science & Technology,101-150,The University of Hong Kong,,32,79.2,70.9,,
2021,Engineering,Instruments Science & Technology,101-150,The University of Sheffield,,40,68.3,80.9,,
2021,Engineering,Instruments Science & Technology,101-150,UNESP,,30.8,85.4,64.2,,
2021,Engineering,Instruments Science & Technology,101-150,Université Grenoble Alpes,,41,62.5,76.3,,
2021,Engineering,Instruments Science & Technology,101-150,University of Bristol,,33.5,80.7,83.7,,
2021,Engineering,Instruments Science & Technology,101-150,University of British Columbia,,36.9,70.9,79.2,,
2021,Engineering,Instruments Science & Technology,101-150,"University of California, Los Angeles",,32.9,76.9,76.4,,
2021,Engineering,Instruments Science & Technology,101-150,University of Campinas,,31,86.2,68.7,,
2021,Engineering,Instruments Science & Technology,101-150,University of Duisburg-Essen,,24.7,92.6,74.4,,
2021,Engineering,Instruments Science & Technology,101-150,University of Illinois at Chicago,,22.6,100,72.4,,
2021,Engineering,Instruments Science & Technology,101-150,University of Nottingham,,35.8,71.1,87.6,,
2021,Engineering,Instruments Science & Technology,101-150,University of Oviedo,,28.7,91.3,69.8,,
2021,Engineering,Instruments Science & Technology,101-150,University of Oxford,,37.7,65.5,88,,
2021,Engineering,Instruments Science & Technology,101-150,University of Padua,,35.1,76.6,78.9,,
2021,Engineering,Instruments Science & Technology,101-150,University of Sydney,,34.2,74.6,87,,
2021,Engineering,Instruments Science & Technology,101-150,University of Tabriz,,30.6,88.1,63.1,,
2021,Engineering,Instruments Science & Technology,101-150,University of Toronto,,41.8,64.7,76.3,,
2021,Engineering,Instruments Science & Technology,101-150,University of Trento,,26.4,89,84.8,,
2021,Engineering,Instruments Science & Technology,101-150,University of Ulsan,,37.7,75,51.7,,
2021,Engineering,Instruments Science & Technology,101-150,University of Wisconsin - Madison,,30.2,80.4,79.1,,
2021,Engineering,Instruments Science & Technology,101-150,Vienna University of Technology,,35.3,69.9,86,,
2021,Engineering,Instruments Science & Technology,101-150,Virginia Polytechnic Institute and State University,,39.5,66.7,64.1,,
2021,Engineering,Instruments Science & Technology,101-150,Wuhan University of Technology,,43.4,59.5,56.8,,
2021,Engineering,Instruments Science & Technology,101-150,Yanshan University,,36.9,79.1,46.3,,
