Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Social Sciences,Law,1,Yale University,292.7,93.1,100,30.3,100,
2021,Social Sciences,Law,2,Harvard University,269.6,100,100,39.1,65.7,
2021,Social Sciences,Law,3,University of Chicago,259.9,99.6,100,32.2,57.2,
2021,Social Sciences,Law,4,Columbia University,235.5,93.1,90.9,30.3,47.3,
2021,Social Sciences,Law,5,New York University,234.9,97.1,85.2,30.4,43.5,
2021,Social Sciences,Law,6,University of Pennsylvania,229.8,91.9,99,30.7,39.4,
2021,Social Sciences,Law,7,Stanford University,209.2,77.8,95.7,30.5,41.5,
2021,Social Sciences,Law,8,"University of California, Berkeley",200.2,82.8,93.1,32.5,26.3,
2021,Social Sciences,Law,9,University of Virginia,199.3,73.6,94.2,23.6,39.4,
2021,Social Sciences,Law,10,Duke University,197.1,74.9,99.6,28.8,32.2,
2021,Social Sciences,Law,11,"University of California, Los Angeles",194.8,68.3,100,30.2,39.4,
2021,Social Sciences,Law,12,University of Michigan-Ann Arbor,194.1,77.4,85,34.4,32.2,
2021,Social Sciences,Law,13,Georgetown University,187.4,66.6,100,27.7,34.7,
2021,Social Sciences,Law,14,Vanderbilt University,176.9,68.3,99.4,20.9,22.7,
2021,Social Sciences,Law,15,"University of California, Irvine",162.3,72.3,100,38.5,0,
2021,Social Sciences,Law,16,"University of Maryland, College Park",161.6,63.4,100,34.2,13.1,
2021,Social Sciences,Law,17,Cornell University,160.2,58.4,85.6,35,26.3,
2021,Social Sciences,Law,18,Northwestern University,157.0,61.2,86.9,31.5,18.6,
2021,Social Sciences,Law,19,"University of Minnesota, Twin Cities",153.6,63.1,84.6,35.7,13.1,
2021,Social Sciences,Law,20,The University of Texas at Austin,151.5,54.4,88.2,30.6,22.7,
2021,Social Sciences,Law,21,University of Cambridge,149.3,69.9,77.9,54.8,0,
2021,Social Sciences,Law,22,Florida State University,149.2,64.3,97.4,41.2,0,
2021,Social Sciences,Law,23,University of Southern California,147.7,56.7,80.7,37.1,18.6,
2021,Social Sciences,Law,24,Fordham University,144.4,46.9,91.1,22.8,26.3,
2021,Social Sciences,Law,25,University at Albany (State University of New York),144.3,62.2,95.8,31.4,0,
2021,Social Sciences,Law,26,"Rutgers, The State University of New Jersey - New Brunswick",143.4,57.1,82.6,33,13.1,
2021,Social Sciences,Law,27,University of Cincinnati,141.6,62.2,89.4,36.8,0,
2021,Social Sciences,Law,28,University of Washington,141.0,54,87.1,33.4,13.1,
2021,Social Sciences,Law,29,Vrije Universiteit Amsterdam,138.5,61.5,81,56.9,0,
2021,Social Sciences,Law,30,The Hebrew University of Jerusalem,137.7,50.4,86.2,59.1,13.1,
2021,Social Sciences,Law,31,Boston University,137.1,51.5,88.7,24.1,13.1,
2021,Social Sciences,Law,32,University of South Carolina - Columbia,137.0,46.9,100,35.5,13.1,
2021,Social Sciences,Law,33,Michigan State University,136.4,54.7,75.7,33.9,13.1,
2021,Social Sciences,Law,34,Temple University,136.3,55.7,98.4,34.9,0,
2021,Social Sciences,Law,35,George Mason University,136.1,55,98.8,41.1,0,
2021,Social Sciences,Law,36,Simon Fraser University,135.3,57.1,85.4,69.9,0,
2021,Social Sciences,Law,37,University of Toronto,134.0,52.2,74.6,51.7,13.1,
2021,Social Sciences,Law,38,Sam Houston State University,133.8,58.4,85.2,36,0,
2021,Social Sciences,Law,39,The University of Texas at Dallas,133.5,53.7,96.6,47.4,0,
2021,Social Sciences,Law,40,University of Oxford,132.5,51.1,66.2,41.1,18.6,
2021,Social Sciences,Law,41,The University of Georgia,132.4,41.3,100,18.8,18.6,
2021,Social Sciences,Law,42,Georgia State University,131.6,51.5,76.7,28.4,13.1,
2021,Social Sciences,Law,43,University College London,131.4,48.1,82.2,51.3,13.1,
2021,Social Sciences,Law,44,Northeastern University (Boston),129.7,55,86.7,37.7,0,
2021,Social Sciences,Law,45,Iowa State University,127.6,49.6,96,51.3,0,
2021,Social Sciences,Law,46,Rutgers University-Newark,126.9,53.7,86.8,29.8,0,
2021,Social Sciences,Law,47,Washington University in St. Louis,126.8,41.3,84.4,41.2,18.6,
2021,Social Sciences,Law,48,University of Colorado at Boulder,125.9,38.9,93,24.5,18.6,
2021,Social Sciences,Law,49,University of Florida,124.5,46.1,78,32.6,13.1,
2021,Social Sciences,Law,50,Arizona State University,123.8,50.8,88.9,32.4,0,
2021,Social Sciences,Law,51-75,American University,,39.9,73.8,30.4,18.6,
2021,Social Sciences,Law,51-75,Carleton University,,40.8,83.8,51.2,0,
2021,Social Sciences,Law,51-75,College of William and Mary,,34.8,100,18.7,18.6,
2021,Social Sciences,Law,51-75,Emory University,,40.4,78.2,29.4,18.6,
2021,Social Sciences,Law,51-75,Griffith University,,50,70.2,60.3,0,
2021,Social Sciences,Law,51-75,Indiana University Bloomington,,47.7,68.9,24,13.1,
2021,Social Sciences,Law,51-75,John Jay College of Criminal Justice (CUNY),,42.6,84.2,41,0,
2021,Social Sciences,Law,51-75,Johns Hopkins University,,44,80.8,42.3,0,
2021,Social Sciences,Law,51-75,London School of Economics and Political Science,,46.5,75.5,48.4,0,
2021,Social Sciences,Law,51-75,Pennsylvania State University - University Park,,47.3,91.1,41.7,0,
2021,Social Sciences,Law,51-75,Princeton University,,28.9,100,28,13.1,
2021,Social Sciences,Law,51-75,The George Washington University,,51.9,79,27.2,0,
2021,Social Sciences,Law,51-75,The Ohio State University - Columbus,,43.1,99.5,38.5,0,
2021,Social Sciences,Law,51-75,The University of Texas at San Antonio,,41.3,84.8,53.3,0,
2021,Social Sciences,Law,51-75,University of Amsterdam,,50,77.9,48.9,0,
2021,Social Sciences,Law,51-75,University of Arizona,,43.1,84.6,34.9,13.1,
2021,Social Sciences,Law,51-75,"University of California, Davis",,37.9,93.2,32.7,13.1,
2021,Social Sciences,Law,51-75,University of Denver,,38.4,87.5,20.3,13.1,
2021,Social Sciences,Law,51-75,University of Houston,,37.4,81.6,22.6,13.1,
2021,Social Sciences,Law,51-75,University of Illinois at Chicago,,39.9,75.1,32.7,13.1,
2021,Social Sciences,Law,51-75,University of Kentucky,,35.4,94.5,30.3,13.1,
2021,Social Sciences,Law,51-75,University of Missouri-St Louis,,47.3,100,25.6,0,
2021,Social Sciences,Law,51-75,University of New Hampshire,,43.1,100,24.4,0,
2021,Social Sciences,Law,51-75,University of South Florida,,46.1,93.9,50.6,0,
2021,Social Sciences,Law,51-75,University of Wisconsin - Madison,,35.4,78.9,28.1,13.1,
2021,Social Sciences,Law,76-100,Boston College,,30.2,81.4,37.4,13.1,
2021,Social Sciences,Law,76-100,Bowling Green State University,,36.4,88.8,19.7,0,
2021,Social Sciences,Law,76-100,Brigham Young University,,26.1,100,17.4,13.1,
2021,Social Sciences,Law,76-100,Florida International University,,37.4,80.5,46.1,0,
2021,Social Sciences,Law,76-100,Kutztown University,,34.8,93.5,15.3,0,
2021,Social Sciences,Law,76-100,Leiden University,,42.6,60.2,51.6,0,
2021,Social Sciences,Law,76-100,Monash University,,40.8,61.8,51.6,0,
2021,Social Sciences,Law,76-100,Tel Aviv University,,38.4,69.6,51.4,0,
2021,Social Sciences,Law,76-100,Texas State University-San Marcos,,34.8,80.3,46.9,0,
2021,Social Sciences,Law,76-100,The University of Alabama - Tuscaloosa,,36.9,85.7,31.6,0,
2021,Social Sciences,Law,76-100,Tilburg University,,36.9,77.4,53.5,0,
2021,Social Sciences,Law,76-100,"University of California, San Francisco",,37.4,77.8,33.3,0,
2021,Social Sciences,Law,76-100,University of Central Florida,,39.4,82.2,44.6,0,
2021,Social Sciences,Law,76-100,University of Louisville,,35.4,97.3,29,0,
2021,Social Sciences,Law,76-100,University of Massachusetts Lowell,,39.4,86.4,32.2,0,
2021,Social Sciences,Law,76-100,University of Nebraska - Lincoln,,39.4,77.2,37.8,0,
2021,Social Sciences,Law,76-100,University of North Carolina at Chapel Hill,,41.3,78.8,24.4,0,
2021,Social Sciences,Law,76-100,University of Oslo,,39.4,71.9,52.9,0,
2021,Social Sciences,Law,76-100,University of Ottawa,,43.1,72.8,43.7,0,
2021,Social Sciences,Law,76-100,University of Portsmouth,,39.9,78.2,62,0,
2021,Social Sciences,Law,76-100,University of Richmond,,30.2,85.3,13.4,13.1,
2021,Social Sciences,Law,76-100,University of San Diego,,32,95.6,31.2,0,
2021,Social Sciences,Law,76-100,University of Tennessee - Knoxville,,29.5,79.1,30.9,13.1,
2021,Social Sciences,Law,76-100,University of Texas at El Paso,,28.9,100,39.6,0,
2021,Social Sciences,Law,76-100,Wayne State University,,37.4,80.1,63.1,0,
2021,Social Sciences,Law,101-150,Bar-Ilan University,,36.4,73.8,52.1,0,
