Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Social Sciences,Management,1,National University of Singapore,245.1,84.8,79.2,90.4,69.3,
2021,Social Sciences,Management,2,Harvard University,244.0,74.7,74.2,57,89.2,
2021,Social Sciences,Management,2,University of Pennsylvania,244.0,64.4,82.1,63.4,100,
2021,Social Sciences,Management,4,Erasmus University Rotterdam,239.4,86,84.3,83.2,59.9,
2021,Social Sciences,Management,5,The Hong Kong Polytechnic University,233.8,100,83.7,70,34.9,
2021,Social Sciences,Management,6,INSEAD,231.6,61,83.8,90.5,89.2,
2021,Social Sciences,Management,7,Arizona State University,222.4,74.2,83.6,67.9,62.5,
2021,Social Sciences,Management,8,University of Michigan-Ann Arbor,220.8,68.4,75.1,64.1,74.2,
2021,Social Sciences,Management,9,Massachusetts Institute of Technology (MIT),220.3,73.5,71.9,66.5,67.5,
2021,Social Sciences,Management,10,"University of Minnesota, Twin Cities",217.2,64.2,82.5,67.7,72.9,
2021,Social Sciences,Management,11,University of Toronto,212.0,62.3,68.2,81.2,76.4,
2021,Social Sciences,Management,12,Pennsylvania State University - University Park,211.4,68.8,81,62.5,61.5,
2021,Social Sciences,Management,13,University of Montreal,210.6,88.5,69.7,81.1,34.9,
2021,Social Sciences,Management,14,New York University,210.5,58.6,74.6,77.5,77.6,
2021,Social Sciences,Management,15,Georgia Institute of Technology,208.4,74.8,75.4,72.5,51.3,
2021,Social Sciences,Management,15,University of Warwick,208.4,72.5,77.2,74.1,53.7,
2021,Social Sciences,Management,17,Texas A&M University,205.1,66.5,77.2,63.1,60.4,
2021,Social Sciences,Management,18,Michigan State University,204.6,68.4,87.6,63.4,51.9,
2021,Social Sciences,Management,19,"University of Maryland, College Park",199.4,62.2,68.7,63.3,65.5,
2021,Social Sciences,Management,20,Stanford University,198.9,52.7,76.2,61.8,75.5,
2021,Social Sciences,Management,21,University of Cambridge,197.8,62.4,81.6,84.2,54.9,
2021,Social Sciences,Management,22,City University of Hong Kong,197.4,73.2,77.2,73.6,41.6,
2021,Social Sciences,Management,23,Bocconi University,196.2,54.4,85.7,86.8,63,
2021,Social Sciences,Management,24,University of Washington,194.6,55.7,82.8,65.5,63,
2021,Social Sciences,Management,25,Copenhagen Business School,192.7,63.6,75.1,84.9,51.3,
2021,Social Sciences,Management,26,Purdue University - West Lafayette,192.4,65,75.7,63.9,50.6,
2021,Social Sciences,Management,27,Northwestern University,192.0,56,70.8,64.8,66,
2021,Social Sciences,Management,27,The Hong Kong University of Science and Technology,192.0,60.2,77.6,79.6,54.9,
2021,Social Sciences,Management,29,London Business School,191.2,45.2,96.4,92.1,66,
2021,Social Sciences,Management,30,The University of Texas at Dallas,189.4,55.2,74.1,74.8,62,
2021,Social Sciences,Management,31,Aalto University,188.5,66.2,79.2,79.5,41.6,
2021,Social Sciences,Management,32,"University of California, Berkeley",187.3,57.6,75.4,70.5,56,
2021,Social Sciences,Management,33,Imperial College London,185.7,54.9,83.3,86.2,53.1,
2021,Social Sciences,Management,34,Indiana University Bloomington,185.4,54.2,90.6,61.9,52.5,
2021,Social Sciences,Management,35,Cornell University,185.1,55.2,69.6,64.4,61,
2021,Social Sciences,Management,36,Singapore Management University,185.0,48.1,81.2,93.2,63,
2021,Social Sciences,Management,37,Carnegie Mellon University,184.3,53.2,69.7,70.7,62.5,
2021,Social Sciences,Management,38,"City, University of London",184.0,53.9,88,85.3,50.6,
2021,Social Sciences,Management,39,The Ohio State University - Columbus,183.8,58.7,78,61.1,50.6,
2021,Social Sciences,Management,40,University of Florida,183.6,62.6,77.6,70.9,43.9,
2021,Social Sciences,Management,41,University of Illinois at Urbana-Champaign,182.7,60.4,70.4,63.4,50.6,
2021,Social Sciences,Management,42,Tilburg University,182.5,55.6,80.4,83,50.6,
2021,Social Sciences,Management,43,The University of Georgia,180.6,50.8,88,55.2,54.9,
2021,Social Sciences,Management,44,University of Southern California,179.9,49.4,72.1,53.1,64.5,
2021,Social Sciences,Management,45,Columbia University,179.0,47.7,65.9,66,67.9,
2021,Social Sciences,Management,45,KU Leuven,179.0,69.9,75.8,84.9,27.7,
2021,Social Sciences,Management,47,Shanghai Jiao Tong University,178.9,69.7,72.7,69.7,31,
2021,Social Sciences,Management,48,Nanyang Technological University,177.6,61.9,75.2,88.3,38.4,
2021,Social Sciences,Management,49,The University of Texas at Austin,177.4,54.4,66.3,60.3,56.6,
2021,Social Sciences,Management,50,Tsinghua University,177.3,70.3,67.4,71.1,31,
2021,Social Sciences,Management,51-75,Boston University,,41.4,86.6,61.6,58.3,
2021,Social Sciences,Management,51-75,Duke University,,46,72.3,65,63.5,
2021,Social Sciences,Management,51-75,ETH Zurich,,57,86.3,84.7,30,
2021,Social Sciences,Management,51-75,Huazhong University of Science and Technology,,69.2,82.6,69.2,11.3,
2021,Social Sciences,Management,51-75,Lancaster University,,67.2,77.9,77.8,28.9,
2021,Social Sciences,Management,51-75,Northeastern University (Boston),,50.1,80,67.5,45.3,
2021,Social Sciences,Management,51-75,Peking University,,50.3,79.2,79.3,38.4,
2021,Social Sciences,Management,51-75,Polytechnic University of Milan,,65.4,76.3,79.7,17.9,
2021,Social Sciences,Management,51-75,"Rutgers, The State University of New Jersey - New Brunswick",,59.6,72.6,67.7,34.9,
2021,Social Sciences,Management,51-75,Sun Yat-sen University,,63.2,82.4,71.2,27.7,
2021,Social Sciences,Management,51-75,Temple University,,52.2,86.6,74.1,37.6,
2021,Social Sciences,Management,51-75,The Chinese University of Hong Kong,,49,76.1,78.7,41.6,
