Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Engineering,Marine/Ocean Engineering,1,Shanghai Jiao Tong University,285,100,72.6,61.8,100,0
2021,Engineering,Marine/Ocean Engineering,2,Norwegian University of Science and Technology - NTNU,258.5,79.2,70,67.1,79.5,81.6
2021,Engineering,Marine/Ocean Engineering,3,Harbin Engineering University,251.8,81.7,75.8,53.6,83.5,0
2021,Engineering,Marine/Ocean Engineering,4,University of Strathclyde,247.7,73.6,86.7,85.9,70.2,0
2021,Engineering,Marine/Ocean Engineering,5,Dalian University of Technology,244.6,82.3,66.8,61.5,83.2,0
2021,Engineering,Marine/Ocean Engineering,6,University of Lisbon,243.2,68.9,80.3,73.7,67.7,57.7
2021,Engineering,Marine/Ocean Engineering,7,Wuhan University of Technology,210.3,61.1,76.5,74.6,57.7,0
2021,Engineering,Marine/Ocean Engineering,8,Delft University of Technology,210,66.1,82.6,83.2,44.7,0
2021,Engineering,Marine/Ocean Engineering,9,Tianjin University,201.7,57.9,68.9,56.9,63.4,0
2021,Engineering,Marine/Ocean Engineering,10,The University of Western Australia,199.9,56.1,71.8,93.6,53.2,0
2021,Engineering,Marine/Ocean Engineering,11,Zhejiang University,197.4,63.5,65.4,63.5,55.8,0
2021,Engineering,Marine/Ocean Engineering,12,National University of Singapore,196.7,54.6,75.4,92.9,48,0
2021,Engineering,Marine/Ocean Engineering,13,Dalian Maritime University,195,49.1,88.7,44.6,48.3,0
2021,Engineering,Marine/Ocean Engineering,14,Ocean University of China,193.9,61.9,66.7,61.7,53,0
2021,Engineering,Marine/Ocean Engineering,15,University College London,189.3,50.4,76.4,94.6,43.6,0
2021,Engineering,Marine/Ocean Engineering,16,Jiangsu University of Science and Technology,188.5,51.1,74.4,78.5,47.4,0
2021,Engineering,Marine/Ocean Engineering,17,Hohai University,184.4,51.7,70.7,76,46.7,0
2021,Engineering,Marine/Ocean Engineering,18,Huazhong University of Science and Technology,183.5,48.7,82.2,54.5,41.8,0
2021,Engineering,Marine/Ocean Engineering,19,Griffith University,178.6,34.4,92.1,100,32.1,0
2021,Engineering,Marine/Ocean Engineering,20,University of Plymouth,175.3,42,86.3,89.7,29,0
2021,Engineering,Marine/Ocean Engineering,21,Harbin Institute of Technology,174.1,41.2,80.6,74.3,37.4,0
2021,Engineering,Marine/Ocean Engineering,22,Newcastle University,172,43.2,70.2,94.2,39.9,0
2021,Engineering,Marine/Ocean Engineering,23,Northwestern Polytechnical University,171.5,37.7,85.6,64.3,35.3,0
2021,Engineering,Marine/Ocean Engineering,24,University of Southampton,171,45.8,65.6,90.8,41.4,0
2021,Engineering,Marine/Ocean Engineering,25,Nanyang Technological University,166.2,38.2,73,96.5,35.7,0
2021,Engineering,Marine/Ocean Engineering,26,Tsinghua University,165.4,36.4,84.3,51.8,34.4,0
2021,Engineering,Marine/Ocean Engineering,27,Federal University of Rio de Janeiro,165.2,40.3,64.8,71.8,45.7,0
2021,Engineering,Marine/Ocean Engineering,27,University of Tasmania,165.2,41.6,64,83.9,42.9,0
2021,Engineering,Marine/Ocean Engineering,29,Technical University of Denmark,163.1,41.6,74.8,75.8,31.6,0
2021,Engineering,Marine/Ocean Engineering,30,Seoul National University,162.4,48.4,57.7,48,46.7,0
2021,Engineering,Marine/Ocean Engineering,31,University of Michigan-Ann Arbor,161.7,39.5,71,70.8,37,0
2021,Engineering,Marine/Ocean Engineering,32,The University of New South Wales,159.2,34.9,87.8,89.5,18.5,0
2021,Engineering,Marine/Ocean Engineering,33,The University of Edinburgh,158.9,38.2,70.4,86.6,33,0
2021,Engineering,Marine/Ocean Engineering,34,Istanbul Technical University,157.8,42.4,66.7,52.5,38.3,0
2021,Engineering,Marine/Ocean Engineering,35,Massachusetts Institute of Technology (MIT),157.6,31.9,66.8,73,24.3,100
2021,Engineering,Marine/Ocean Engineering,35,Pusan National University,157.6,42.8,62.1,78.5,37,0
2021,Engineering,Marine/Ocean Engineering,37,Memorial University of Newfoundland,157.2,38.6,65.4,62.7,40.6,0
2021,Engineering,Marine/Ocean Engineering,38,Kyoto University,156.8,25.4,100,78.2,15.8,0
2021,Engineering,Marine/Ocean Engineering,39,Aalto University,155.8,34.4,77.3,86.4,26.8,0
2021,Engineering,Marine/Ocean Engineering,40,University of Genoa,154.9,34.4,76.1,52,34,0
2021,Engineering,Marine/Ocean Engineering,41,National Technical University of Athens,151.2,36.4,64.6,63.9,37.4,0
2021,Engineering,Marine/Ocean Engineering,42,Chalmers University of Technology,148.4,32.4,71.4,72.3,30.1,0
2021,Engineering,Marine/Ocean Engineering,43,University of Zagreb,148.3,31.9,73.3,82,26.8,0
2021,Engineering,Marine/Ocean Engineering,44,Shanghai Maritime University,144.4,30.3,73.2,68.3,27.3,0
2021,Engineering,Marine/Ocean Engineering,45,Indian Institute of Technology Madras,142.4,35.9,64.8,46.1,32.5,0
2021,Engineering,Marine/Ocean Engineering,46,Oregon State University,142.3,33.9,77.2,67.6,17.7,0
2021,Engineering,Marine/Ocean Engineering,46,The University of Tokyo,142.3,34.9,64.6,71.4,28.5,0
2021,Engineering,Marine/Ocean Engineering,48,Indian Institute of Technology Kharagpur,141.9,31.4,61.6,53.7,38.3,0
2021,Engineering,Marine/Ocean Engineering,48,Wuhan University,141.9,33.4,73.4,63.4,22.3,0
2021,Engineering,Marine/Ocean Engineering,50,Tongji University,139.2,31.9,63.7,70.8,29.5,0
