Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Engineering,Materials Science & Engineering,1,Massachusetts Institute of Technology (MIT),355.4,71.5,95.1,80.1,82,90.8
2021,Engineering,Materials Science & Engineering,2,Georgia Institute of Technology,342.1,70.4,97.1,80.3,78.7,79.8
2021,Engineering,Materials Science & Engineering,3,"University of California, Berkeley",340.9,63.9,92.3,80.2,73.7,94.9
2021,Engineering,Materials Science & Engineering,4,Harvard University,334.4,55.6,97.1,84.2,80.3,84.4
2021,Engineering,Materials Science & Engineering,5,Northwestern University,331.4,62.3,89.4,75.1,64.7,100
2021,Engineering,Materials Science & Engineering,6,University of Cambridge,322.9,63.2,87.2,88.8,70.3,84.4
2021,Engineering,Materials Science & Engineering,7,Stanford University,316.1,63.2,100,78.1,76,61.2
2021,Engineering,Materials Science & Engineering,8,Tsinghua University,296.4,100,86.2,56,99.1,0
2021,Engineering,Materials Science & Engineering,9,Nanyang Technological University,296.2,81.1,97.7,86.9,100,0
2021,Engineering,Materials Science & Engineering,10,"University of California, Los Angeles",293.7,49.9,95.8,80,59.6,72.5
2021,Engineering,Materials Science & Engineering,11,University of Illinois at Urbana-Champaign,281.5,53.1,77.2,70,46.4,90.8
2021,Engineering,Materials Science & Engineering,12,Peking University,278.7,81.3,90.7,57,95.4,0
2021,Engineering,Materials Science & Engineering,13,University of Science and Technology of China,277.5,88.4,89.2,53.3,89.2,0
2021,Engineering,Materials Science & Engineering,14,Pennsylvania State University - University Park,268.4,56,85.9,74.4,50.3,61.2
2021,Engineering,Materials Science & Engineering,15,National University of Singapore,264.5,73.4,90.6,84.5,83.6,0
2021,Engineering,Materials Science & Engineering,16,Soochow University (China),260.6,78.4,92.9,58.3,77.7,0
2021,Engineering,Materials Science & Engineering,17,Imperial College London,255.6,60.2,82.9,84.1,57,38.7
2021,Engineering,Materials Science & Engineering,18,Zhejiang University,249.3,80.5,84.6,60,72.2,0
2021,Engineering,Materials Science & Engineering,19,University of Michigan-Ann Arbor,243.9,54.6,85,72.2,45.1,44.7
2021,Engineering,Materials Science & Engineering,20,Shanghai Jiao Tong University,242.1,83.4,80.8,58.6,66.2,0
2021,Engineering,Materials Science & Engineering,21,Huazhong University of Science and Technology,238.6,78.2,88,53.6,61.7,0
2021,Engineering,Materials Science & Engineering,22,Tianjin University,238.1,76.9,81.2,51.2,69.8,0
2021,Engineering,Materials Science & Engineering,23,Nanjing University,234.9,69.8,85.7,55.9,68.1,0
2021,Engineering,Materials Science & Engineering,24,"University of California, San Diego",234.7,45.2,84.7,71,47.2,43.3
2021,Engineering,Materials Science & Engineering,25,Fudan University,233.7,68.9,90.6,57.5,62.6,0
2021,Engineering,Materials Science & Engineering,26,King Abdullah University of Science and Technology,232.7,50.6,100,88.2,64.4,0
2021,Engineering,Materials Science & Engineering,27,University of Oxford,231.7,53.1,89.1,85,45.1,27.4
2021,Engineering,Materials Science & Engineering,28,South China University of Technology,230.1,81.6,84.6,49.6,53.9,0
2021,Engineering,Materials Science & Engineering,29,Cornell University,230.0,42.6,84.8,68.9,45.6,43.3
2021,Engineering,Materials Science & Engineering,30,The University of Texas at Austin,229.8,49.3,91.3,71,47.6,27.4
2021,Engineering,Materials Science & Engineering,30,University of Chicago,229.8,68.4,83.8,73.4,62.9,0
2021,Engineering,Materials Science & Engineering,32,Jilin University,229.7,77.6,81.3,48.2,61.1,0
2021,Engineering,Materials Science & Engineering,33,Ulsan National Institute of Science and Technology,228.2,53.2,98,60.1,65,0
2021,Engineering,Materials Science & Engineering,34,Beihang University,228.0,67,77.9,51.7,72.7,0
2021,Engineering,Materials Science & Engineering,35,Xi'an Jiaotong University,226.8,77.4,81.4,58.8,56.3,0
2021,Engineering,Materials Science & Engineering,36,Princeton University,225.1,33.4,79.1,75,36.3,61.2
2021,Engineering,Materials Science & Engineering,37,Seoul National University,224.5,69.1,75.8,56.5,68.4,0
