Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Natural Sciences,Mathematics,1,Paris-Saclay University,328.5,89.4,71,73.8,88.9,100
2021,Natural Sciences,Mathematics,2,Princeton University,311.2,72.8,88.1,65.8,100,81.2
2021,Natural Sciences,Mathematics,3,Sorbonne University,269.1,100,70.4,72.9,93.2,26.1
2021,Natural Sciences,Mathematics,4,University of Cambridge,262.9,64.5,88.7,79.7,77.8,60.3
2021,Natural Sciences,Mathematics,5,University of Oxford,256.2,80.5,73.2,76.9,76.1,47.7
2021,Natural Sciences,Mathematics,6,Stanford University,251.3,64.9,86.6,65.2,87.4,42.6
2021,Natural Sciences,Mathematics,7,Massachusetts Institute of Technology (MIT),243.5,80.1,83.6,64,82.7,26.1
2021,Natural Sciences,Mathematics,8,New York University,243.1,61.9,93.2,67.8,60.7,60.3
2021,Natural Sciences,Mathematics,9,ETH Zurich,234.1,72.3,76.7,79.5,64.9,42.6
2021,Natural Sciences,Mathematics,10,The University of Texas at Austin,227.2,67.3,82.8,67.3,48.7,56.4
2021,Natural Sciences,Mathematics,11,"University of California, Los Angeles",219.7,63.7,82.3,65.4,64.9,36.9
2021,Natural Sciences,Mathematics,12,"University of California, Berkeley",218.4,71.5,77.2,63.2,74.3,21.3
2021,Natural Sciences,Mathematics,13,PSL University,214.4,71.5,79.5,72.8,58.5,30.2
2021,Natural Sciences,Mathematics,14,University of Bonn,212.8,65.8,76.6,73.7,51.3,42.6
2021,Natural Sciences,Mathematics,15,University of Wisconsin - Madison,209.3,58.6,77.5,64.9,68.8,30.2
2021,Natural Sciences,Mathematics,16,Harvard University,200.6,48.5,80.6,64.3,68.8,30.2
2021,Natural Sciences,Mathematics,17,Imperial College London,199.5,71.8,81.3,81.9,70.7,0
2021,Natural Sciences,Mathematics,18,University of Warwick,198.1,59.1,69.7,78,45.9,42.6
2021,Natural Sciences,Mathematics,19,Stony Brook University,197.6,44.7,76.5,67.5,58.5,42.6
2021,Natural Sciences,Mathematics,20,University of Chicago,196.5,63.8,78.2,62.5,81.1,0
2021,Natural Sciences,Mathematics,21,"Rutgers, The State University of New Jersey - New Brunswick",195.6,59.4,70,74.5,56.2,30.2
2021,Natural Sciences,Mathematics,22,University of Paris,189.1,67.7,68.7,72.6,72.5,0
2021,Natural Sciences,Mathematics,23,Kyoto University,187.6,58.1,66.5,60.2,62.8,21.3
2021,Natural Sciences,Mathematics,24,The Hebrew University of Jerusalem,181.2,44,60.7,79,64.9,26.1
2021,Natural Sciences,Mathematics,25,Columbia University,178.9,56.7,83.3,68.6,66.9,0
2021,Natural Sciences,Mathematics,26,University of Toronto,176.6,59.7,64.5,79.4,68.8,0
2021,Natural Sciences,Mathematics,27,University of Illinois at Urbana-Champaign,175.5,59.5,64.6,68.5,48.7,21.3
2021,Natural Sciences,Mathematics,27,University of Michigan-Ann Arbor,175.5,66.4,68,61.3,62.8,0
2021,Natural Sciences,Mathematics,29,Georgia Institute of Technology,169.8,67.7,73.3,70.5,51.3,0
2021,Natural Sciences,Mathematics,30,Northwestern University,169.3,47.3,86.2,60.2,66.9,0
2021,Natural Sciences,Mathematics,31,Institut Polytechnique de Paris,168.2,66,72,74.6,51.3,0
2021,Natural Sciences,Mathematics,32,KTH Royal Institute of Technology,168,48.3,68.7,80.1,32.4,36.9
2021,Natural Sciences,Mathematics,33,University of Vienna,167.3,70.4,70.6,78.8,45.9,0
2021,Natural Sciences,Mathematics,34,"University of Maryland, College Park",165.5,57.5,75.8,69.5,56.2,0
2021,Natural Sciences,Mathematics,35,The University of Edinburgh,164.6,51.2,78.2,78.9,32.4,26.1
2021,Natural Sciences,Mathematics,36,Ecole Normale Superieure - Lyon,163.2,39.3,69.1,72.6,48.7,26.1
2021,Natural Sciences,Mathematics,37,Tel Aviv University,160.6,56.9,64.4,76.6,56.2,0
2021,Natural Sciences,Mathematics,38,Brown University,159.9,59.9,81.9,65.5,45.9,0
2021,Natural Sciences,Mathematics,39,California Institute of Technology,158.5,47.3,74.9,65.3,60.7,0
2021,Natural Sciences,Mathematics,39,University of Zurich,158.5,44.5,82.5,82.4,56.2,0
