Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Engineering,Mechanical Engineering,1,Xi'an Jiaotong University,282.5,100,76.6,46.4,96.6,0
2021,Engineering,Mechanical Engineering,2,University of Cambridge,278.1,42.7,68.6,75.8,90.5,61.2
2021,Engineering,Mechanical Engineering,3,Texas A&M University,271.9,39.1,71.8,65.5,64.9,82.9
2021,Engineering,Mechanical Engineering,4,Tsinghua University,268.3,87.5,70.1,53.3,100,0
2021,Engineering,Mechanical Engineering,5,Shanghai Jiao Tong University,263.7,93.1,68.1,49.2,92.7,0
2021,Engineering,Mechanical Engineering,6,Stanford University,259.7,32.6,76.7,61.8,67.3,70.7
2021,Engineering,Mechanical Engineering,7,California Institute of Technology,249.9,21.5,70.8,71.3,49.8,93.5
2021,Engineering,Mechanical Engineering,8,"University of California, San Diego",249.3,23.8,68.9,76.6,47.8,93.5
2021,Engineering,Mechanical Engineering,9,Massachusetts Institute of Technology (MIT),248.0,38.3,75,70.7,70.5,50
2021,Engineering,Mechanical Engineering,10,Northwestern University,247.4,26.4,72.4,87,31.2,100
2021,Engineering,Mechanical Engineering,11,Harbin Institute of Technology,241.4,84.5,69.7,49.3,77.2,0
2021,Engineering,Mechanical Engineering,12,Imperial College London,230.9,52.6,78.7,75.4,84.5,0
2021,Engineering,Mechanical Engineering,13,Huazhong University of Science and Technology,225.1,72.5,75.1,47.5,68,0
2021,Engineering,Mechanical Engineering,14,"University of Minnesota, Twin Cities",223.4,28.7,68.5,69.4,51.1,61.2
2021,Engineering,Mechanical Engineering,15,Beihang University,223.1,72.6,70.3,46.7,70.9,0
2021,Engineering,Mechanical Engineering,16,Harvard University,222.1,17.4,73,70.8,31,86.6
2021,Engineering,Mechanical Engineering,17,University of Science and Technology of China,220.8,60.5,80.5,53.6,69,0
2021,Engineering,Mechanical Engineering,18,Technical University of Denmark,220.4,45.8,65,71.4,45.3,50
2021,Engineering,Mechanical Engineering,19,The University of Texas at Austin,218.4,24.3,67,60.4,40,75
2021,Engineering,Mechanical Engineering,20,University of Michigan-Ann Arbor,215.8,45.1,70.7,69.4,61.1,25
2021,Engineering,Mechanical Engineering,21,University of Illinois at Urbana-Champaign,210.4,44,67.7,66.7,60.3,25
2021,Engineering,Mechanical Engineering,22,Purdue University - West Lafayette,208.6,53.4,67.9,62.4,74.7,0
2021,Engineering,Mechanical Engineering,23,Tianjin University,206.3,68.8,69.1,55.1,57.4,0
2021,Engineering,Mechanical Engineering,23,"University of California, Berkeley",206.3,30.2,71.2,79.1,45.8,43.3
2021,Engineering,Mechanical Engineering,25,The Hong Kong Polytechnic University,206.1,58.2,86.7,57.5,49.8,0
2021,Engineering,Mechanical Engineering,26,Zhejiang University,206.0,61.1,65.7,53.3,68.5,0
2021,Engineering,Mechanical Engineering,27,Northwestern Polytechnical University,203.4,65.7,72.9,50.1,54.8,0
2021,Engineering,Mechanical Engineering,28,Korea Advanced Institute of Science and Technology,203.1,39.1,61.5,47.8,49.6,43.3
2021,Engineering,Mechanical Engineering,29,Dalian University of Technology,200.9,63.1,65.8,52.3,61.5,0
2021,Engineering,Mechanical Engineering,30,King Abdullah University of Science and Technology,200.4,39.1,79.2,89.1,64.3,0
2021,Engineering,Mechanical Engineering,31,Georgia Institute of Technology,198.0,49.7,69.2,68.2,65.4,0
2021,Engineering,Mechanical Engineering,32,Nanyang Technological University,196.2,49.6,80.4,78.9,50.5,0
