Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Medical Sciences,Medical Technology,1,Harvard University,301.6,100,79.2,71.7,100,40.1
2021,Medical Sciences,Medical Technology,2,Stanford University,257.3,62,81.3,69.7,80.1,100
2021,Medical Sciences,Medical Technology,3,Johns Hopkins University,254.4,68.7,78,70.8,76.9,82.9
2021,Medical Sciences,Medical Technology,4,King's College London,235.8,55.4,88,86.3,75.1,0
2021,Medical Sciences,Medical Technology,5,University of Oxford,228.3,52.4,85.3,84.9,65.6,40.1
2021,Medical Sciences,Medical Technology,6,University College London,223.9,64.8,82.1,87.4,59.5,0
2021,Medical Sciences,Medical Technology,7,New York University,222.8,50.5,78.9,62.8,66.9,69.4
2021,Medical Sciences,Medical Technology,8,University of Toronto,218.5,65.9,76.8,78,51,46.3
2021,Medical Sciences,Medical Technology,9,Utrecht University,215.5,54,80.3,73.7,66.5,0
2021,Medical Sciences,Medical Technology,10,"University of California, San Francisco",213.6,51.7,82.7,62.8,54.1,62.7
2021,Medical Sciences,Medical Technology,11,Mayo Clinic Alix School of Medicine,207.5,57.6,80.5,57.4,44.6,66.8
2021,Medical Sciences,Medical Technology,12,"University of California, Los Angeles",206.2,54.3,78.6,66.8,59.9,0
2021,Medical Sciences,Medical Technology,13,University of Pennsylvania,204.5,56.7,74.9,62,48.2,62
2021,Medical Sciences,Medical Technology,14,"University of Minnesota, Twin Cities",203.7,38.9,77.8,62.2,62.2,61.2
2021,Medical Sciences,Medical Technology,15,ETH Zurich,202.3,36.6,80.4,82.6,59.9,44.3
2021,Medical Sciences,Medical Technology,16,Duke University,201.6,50.5,81.4,63.1,46.4,53.5
2021,Medical Sciences,Medical Technology,17,Heidelberg University,199.4,52.5,83.2,71.7,49.3,0
2021,Medical Sciences,Medical Technology,18,University of Wisconsin - Madison,195.8,46.7,76.3,57.4,61.3,0
2021,Medical Sciences,Medical Technology,19,University of Zurich,195.5,48,74.5,79.6,57.1,0
2021,Medical Sciences,Medical Technology,20,Radboud University Nijmegen,194.9,47.8,94.5,88.5,34.9,0
2021,Medical Sciences,Medical Technology,21,Technical University of Munich,192.3,48.8,85.1,75.1,43.3,0
2021,Medical Sciences,Medical Technology,22,Massachusetts Institute of Technology (MIT),191.8,33.7,88.9,80.1,53.1,0
2021,Medical Sciences,Medical Technology,23,Vanderbilt University,191.5,41.4,75.1,55.8,63.9,0
2021,Medical Sciences,Medical Technology,24,"University of California, San Diego",190.3,42.9,74.4,66,48.2,58.2
2021,Medical Sciences,Medical Technology,25,Leiden University,187.7,46.7,79.4,82.3,45.2,0
2021,Medical Sciences,Medical Technology,26,The University of Texas Southwestern Medical Center at Dallas,186.1,40.4,73.3,63.2,50.4,46.3
2021,Medical Sciences,Medical Technology,27,Imperial College London,183.0,43.4,95.4,82.2,27.8,0
2021,Medical Sciences,Medical Technology,28,Case Western Reserve University,182.4,32.5,80.7,67.7,46.4,46.3
2021,Medical Sciences,Medical Technology,29,University of Cambridge,181.7,37.7,83.7,85.3,34.1,46.3
2021,Medical Sciences,Medical Technology,30,University of Lausanne,179.9,36.6,74.5,89.1,51,0
2021,Medical Sciences,Medical Technology,31,University of Freiburg,179.7,35.3,78,82.8,45.2,23.1
2021,Medical Sciences,Medical Technology,32,University of Tuebingen,179.0,44.8,68.9,71.5,51,0
2021,Medical Sciences,Medical Technology,33,Yale University,178.9,45.9,79.7,65.3,35.6,23.1
2021,Medical Sciences,Medical Technology,34,Medical University of Vienna,178.7,45.6,79.7,85.1,36.4,0
2021,Medical Sciences,Medical Technology,35,"University of California, Berkeley",178.5,28.6,86,71.6,42,37.8
2021,Medical Sciences,Medical Technology,36,McGill University,176.6,41.3,85.1,84.8,33.2,0
2021,Medical Sciences,Medical Technology,37,Humboldt University of Berlin,176.4,47.9,74.4,73.6,39.3,0
2021,Medical Sciences,Medical Technology,38,Free University Berlin,176.2,47.4,74.8,73.4,39.3,0
2021,Medical Sciences,Medical Technology,39,Aarhus University,175.9,39.5,80.5,86.6,38.6,0
2021,Medical Sciences,Medical Technology,40,University of Washington,175.0,46.1,76.5,62.1,40,0
2021,Medical Sciences,Medical Technology,41,Cornell University,174.6,44.9,76.6,65.1,40,0
2021,Medical Sciences,Medical Technology,42,Northwestern University,174.2,40.3,74.9,62.4,46.4,0
2021,Medical Sciences,Medical Technology,43,Charite - Universitats Medizin Berlin,173.4,45.5,74.7,72.7,38.6,0
2021,Medical Sciences,Medical Technology,43,University of Amsterdam,173.4,46.9,79.8,75.7,31.5,0
2021,Medical Sciences,Medical Technology,45,University of Munich,173.3,49,81.1,77.4,27.8,0
2021,Medical Sciences,Medical Technology,46,University of Southern California,172.5,38.8,74,66.3,46.4,0
2021,Medical Sciences,Medical Technology,47,University of Copenhagen,171.8,43.8,82.8,82.4,28.8,0
2021,Medical Sciences,Medical Technology,48,Washington University in St. Louis,171.5,47.2,79.8,56.1,33.2,0
2021,Medical Sciences,Medical Technology,49,Swiss Federal Institute of Technology Lausanne,170.9,27.6,80.7,89.9,44.6,0
2021,Medical Sciences,Medical Technology,50,Maastricht University,170.1,42.4,79.6,87.7,30.6,0
2021,Medical Sciences,Medical Technology,51-75,Emory University,,49.5,73.2,56,21,37.8
2021,Medical Sciences,Medical Technology,51-75,Erasmus University Rotterdam,,46.2,79.9,79.4,19.7,0
2021,Medical Sciences,Medical Technology,51-75,Icahn School of Medicine at Mount Sinai,,39.3,83.3,70.2,30.6,0
2021,Medical Sciences,Medical Technology,51-75,KU Leuven,,43.3,84.9,90.4,14.9,0
2021,Medical Sciences,Medical Technology,51-75,RWTH Aachen University,,33.9,82.6,76,24.7,46.3
2021,Medical Sciences,Medical Technology,51-75,Seoul National University,,49.4,67.5,47.7,28.8,0
2021,Medical Sciences,Medical Technology,51-75,Technical University of Denmark,,20.5,90.3,87.4,31.5,0
