Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Engineering,Metallurgical Engineering,1,University of Science and Technology Beijing,268.9,96,63.2,48.6,100,
2021,Engineering,Metallurgical Engineering,2,Central South University,239.8,100,67.4,40.2,64.3,
2021,Engineering,Metallurgical Engineering,3,Northeastern University (Shenyang),235.6,84.2,63.9,50.7,77.4,
2021,Engineering,Metallurgical Engineering,4,Northwestern Polytechnical University,231.7,87.6,72.1,43.8,63.2,
2021,Engineering,Metallurgical Engineering,5,Shanghai Jiao Tong University,230.8,74.7,71.1,58.6,73.2,
2021,Engineering,Metallurgical Engineering,6,University of Tennessee - Knoxville,222.1,46.3,100,81.5,59.5,
2021,Engineering,Metallurgical Engineering,7,The University of Manchester,211.9,44.5,89.1,80.8,62.1,
2021,Engineering,Metallurgical Engineering,8,Harbin Institute of Technology,211.8,83.5,69.9,42.4,49.9,
2021,Engineering,Metallurgical Engineering,9,Tohoku University,207.4,59.1,64.3,66.6,70.7,
2021,Engineering,Metallurgical Engineering,10,Monash University,204.3,39.5,94,90.1,52.8,
2021,Engineering,Metallurgical Engineering,11,Chongqing University,203.1,66,73.7,44.8,54.4,
2021,Engineering,Metallurgical Engineering,12,Pohang University of Science and Technology,198.7,50.5,75.2,61.3,60.8,
2021,Engineering,Metallurgical Engineering,13,The Ohio State University - Columbus,197.5,42.5,79.2,74.6,61,
2021,Engineering,Metallurgical Engineering,14,Tsinghua University,195.1,62.8,66.9,51.7,55.2,
2021,Engineering,Metallurgical Engineering,14,Xi'an Jiaotong University,195.1,60.2,71,51.9,53.5,
2021,Engineering,Metallurgical Engineering,16,University of Oxford,192.2,35.5,87.1,81.3,53.3,
2021,Engineering,Metallurgical Engineering,17,Northwestern University,190.5,37.9,81.4,79,55.3,
2021,Engineering,Metallurgical Engineering,18,Massachusetts Institute of Technology (MIT),190.1,29.8,95.4,83.1,48.3,
2021,Engineering,Metallurgical Engineering,19,University of Chicago,189.8,38.2,81.5,83.7,53.3,
2021,Engineering,Metallurgical Engineering,20,University of Leoben,189.0,45.5,73.9,81,53.3,
2021,Engineering,Metallurgical Engineering,21,Huazhong University of Science and Technology,188.3,54.6,78.4,46.4,46,
2021,Engineering,Metallurgical Engineering,22,Shanghai University,188.2,56.3,64.3,58.2,55.9,
2021,Engineering,Metallurgical Engineering,23,Karlsruhe Institute of Technology (KIT),186.6,41.5,78.4,85.8,49.5,
2021,Engineering,Metallurgical Engineering,24,The University of Queensland,185.5,35.1,81.9,89.2,50.7,
2021,Engineering,Metallurgical Engineering,25,University of Science and Technology of China,184.4,57.2,73.2,35.9,46.8,
2021,Engineering,Metallurgical Engineering,26,City University of Hong Kong,183.4,40.1,91.8,67.6,38,
2021,Engineering,Metallurgical Engineering,27,Nanjing University of Science and Technology,181.4,42.7,84.8,68.3,40.3,
2021,Engineering,Metallurgical Engineering,27,University of Cambridge,181.4,36.9,77.5,79.7,51.1,
2021,Engineering,Metallurgical Engineering,29,Beihang University,181.1,58.5,67.9,46.1,45.6,
2021,Engineering,Metallurgical Engineering,30,Université Grenoble Alpes,180.2,44,67.9,87,50.9,
2021,Engineering,Metallurgical Engineering,31,Texas A&M University,179.9,33,85.4,76.6,46.2,
2021,Engineering,Metallurgical Engineering,32,University of Bochum,179.5,30.8,93.6,73.3,40.5,
2021,Engineering,Metallurgical Engineering,33,Imperial College London,178.8,36.6,80,77.9,46.6,
2021,Engineering,Metallurgical Engineering,34,University of Illinois at Urbana-Champaign,178.5,31.2,85,79.9,46.4,
2021,Engineering,Metallurgical Engineering,35,Swiss Federal Institute of Technology Lausanne,177.9,31.4,86,88,42.9,
2021,Engineering,Metallurgical Engineering,36,RWTH Aachen University,177.5,42.2,74.9,73.3,45.8,
2021,Engineering,Metallurgical Engineering,37,Pennsylvania State University - University Park,177.3,35.8,83.6,73.8,43.1,
2021,Engineering,Metallurgical Engineering,38,"University of California, Santa Barbara",176.5,28.6,92,62.8,43.3,
2021,Engineering,Metallurgical Engineering,39,PSL University,176.3,35.4,79.5,71,47.3,
2021,Engineering,Metallurgical Engineering,40,Norwegian University of Science and Technology - NTNU,175.3,37.6,71.9,85.6,48.7,
2021,Engineering,Metallurgical Engineering,41,University of Michigan-Ann Arbor,174.7,34.1,79.8,72.5,46.2,
2021,Engineering,Metallurgical Engineering,42,Indian Institute of Science,174.5,40.6,74.8,59.1,47.3,
2021,Engineering,Metallurgical Engineering,43,Deakin University,174.3,34,81.4,82.2,42.4,
2021,Engineering,Metallurgical Engineering,44,North Carolina State University - Raleigh,173.1,32,86.9,77.5,38.8,
2021,Engineering,Metallurgical Engineering,45,Tianjin University,173.0,56.8,75.8,46.1,31.1,
2021,Engineering,Metallurgical Engineering,46,Nanyang Technological University,172.5,32.5,91.3,90.9,30.5,
