Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Engineering,Nanoscience & Nanotechnology,1,Nanyang Technological University,301.1,91.1,95.1,89.3,97,
2021,Engineering,Nanoscience & Nanotechnology,2,Tsinghua University,300.5,100,88.4,60.8,100,
2021,Engineering,Nanoscience & Nanotechnology,3,Peking University,289.1,93.7,86.7,58.2,97,
2021,Engineering,Nanoscience & Nanotechnology,4,University of Science and Technology of China,285.2,92.8,88.7,57.8,92.2,
2021,Engineering,Nanoscience & Nanotechnology,5,Soochow University (China),280.2,86.8,92.6,62,88.4,
2021,Engineering,Nanoscience & Nanotechnology,6,Georgia Institute of Technology,272.1,78.9,90.4,84.5,85.9,
2021,Engineering,Nanoscience & Nanotechnology,7,National University of Singapore,271.8,81.6,85.2,85.9,87.9,
2021,Engineering,Nanoscience & Nanotechnology,8,Stanford University,266.4,72.7,93.4,79.1,84.5,
2021,Engineering,Nanoscience & Nanotechnology,9,Massachusetts Institute of Technology (MIT),263.3,77.2,81.2,81.3,88.6,
2021,Engineering,Nanoscience & Nanotechnology,10,Harvard University,255.6,69.6,85.4,86.6,83.4,
2021,Engineering,Nanoscience & Nanotechnology,11,Zhejiang University,253.1,79.8,83.3,66.4,76.8,
2021,Engineering,Nanoscience & Nanotechnology,12,Fudan University,251.1,77.6,84.9,58.1,77,
2021,Engineering,Nanoscience & Nanotechnology,13,Huazhong University of Science and Technology,248.2,76.8,86.4,59.5,73,
2021,Engineering,Nanoscience & Nanotechnology,13,"University of California, Berkeley",248.2,68.3,82.4,79.9,81.5,
2021,Engineering,Nanoscience & Nanotechnology,15,Nanjing University,243.7,78.4,81.4,59.1,72.1,
2021,Engineering,Nanoscience & Nanotechnology,16,Tianjin University,239.4,71.3,87.9,58.1,68.7,
2021,Engineering,Nanoscience & Nanotechnology,17,Northwestern University,238.1,65.8,78.9,74.7,78.5,
2021,Engineering,Nanoscience & Nanotechnology,18,"University of California, Los Angeles",236.7,58.9,89.2,82.1,72.2,
2021,Engineering,Nanoscience & Nanotechnology,19,University of Cambridge,233.8,64.3,80.1,92.3,70.9,
2021,Engineering,Nanoscience & Nanotechnology,20,Shanghai Jiao Tong University,232.8,74.9,77.6,59.9,68.3,
2021,Engineering,Nanoscience & Nanotechnology,21,Jilin University,231.5,75.6,81.1,54.9,63.8,
2021,Engineering,Nanoscience & Nanotechnology,21,Korea Advanced Institute of Science and Technology,231.5,73.3,71.4,56.1,75.6,
2021,Engineering,Nanoscience & Nanotechnology,23,King Abdullah University of Science and Technology,229.6,57.4,93.3,87.8,61.3,
2021,Engineering,Nanoscience & Nanotechnology,24,University of Chicago,228.3,67.1,75.1,75.2,71,
2021,Engineering,Nanoscience & Nanotechnology,25,Nankai University,227.4,62.8,95.6,54.2,58.1,
2021,Engineering,Nanoscience & Nanotechnology,26,Seoul National University,226.5,72.5,70,55.1,73,
2021,Engineering,Nanoscience & Nanotechnology,27,South China University of Technology,225.7,65.7,90.1,59.8,57.9,
2021,Engineering,Nanoscience & Nanotechnology,28,ETH Zurich,223.9,59.4,80.7,83.9,67.1,
2021,Engineering,Nanoscience & Nanotechnology,28,Ulsan National Institute of Science and Technology,223.9,59.6,84.6,63.4,67.1,
2021,Engineering,Nanoscience & Nanotechnology,30,Wuhan University,223.7,65.6,84.8,53.1,62.6,
2021,Engineering,Nanoscience & Nanotechnology,31,Beihang University,223.4,60.2,82.6,62.4,68.1,
2021,Engineering,Nanoscience & Nanotechnology,32,Rice University,222.9,53.6,88.4,81.1,64.7,
2021,Engineering,Nanoscience & Nanotechnology,33,Sungkyunkwan University,222.8,70.8,68,54.3,73.2,
2021,Engineering,Nanoscience & Nanotechnology,34,City University of Hong Kong,220.4,57.6,92.7,61.8,57.7,
2021,Engineering,Nanoscience & Nanotechnology,35,The University of Texas at Austin,218.4,53.3,90.3,72.9,60.2,
2021,Engineering,Nanoscience & Nanotechnology,36,Xi'an Jiaotong University,217.7,64.3,80.7,66.9,59.4,
2021,Engineering,Nanoscience & Nanotechnology,37,Swiss Federal Institute of Technology Lausanne,215.0,57.3,77.8,87.8,62.4,
2021,Engineering,Nanoscience & Nanotechnology,38,Sun Yat-sen University,213.8,62.4,85.1,55,55.3,
2021,Engineering,Nanoscience & Nanotechnology,39,Shenzhen University,213.5,57.4,87.7,67.9,54.8,
2021,Engineering,Nanoscience & Nanotechnology,40,Beijing University of Chemical Technology,211.1,58,91.1,57.7,50.4,
