Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Medical Sciences,Nursing,1,University of Pennsylvania,296.9,90.6,78,44.9,100,96.8
2021,Medical Sciences,Nursing,2,Griffith University,278.3,100,80,65.4,80.2,25.2
2021,Medical Sciences,Nursing,3,Johns Hopkins University,265.6,82,70.2,55.5,82.4,100
2021,Medical Sciences,Nursing,4,Karolinska Institute,264.1,97.4,79.8,68.5,73.2,0
2021,Medical Sciences,Nursing,5,The University of Queensland,260.3,92.5,79.4,64.1,75.6,0
2021,Medical Sciences,Nursing,6,Monash University,252.0,93.8,77.4,63,68.1,0
2021,Medical Sciences,Nursing,7,University of North Carolina at Chapel Hill,251.1,75.6,73.6,47.3,82.4,50.4
2021,Medical Sciences,Nursing,8,"University of California, San Francisco",246.7,77.7,76.3,61,70.7,48.8
2021,Medical Sciences,Nursing,9,University of Southampton,245.4,55.5,96.2,90.3,75.6,0
2021,Medical Sciences,Nursing,10,University of Sydney,243.3,91.7,74,60.7,65.5,0
2021,Medical Sciences,Nursing,11,University of Technology Sydney,242.4,91,75.1,72.5,56.7,25.2
2021,Medical Sciences,Nursing,12,Ghent University,239.7,71.6,79,80,68.1,25.2
2021,Medical Sciences,Nursing,13,Queensland University of Technology,235.2,69,78.4,68.2,65.5,43.6
2021,Medical Sciences,Nursing,14,King's College London,234.5,67.5,84.7,72.8,62.7,25.2
2021,Medical Sciences,Nursing,15,The University of Manchester,232.6,63.9,80.3,64.4,75.6,0
2021,Medical Sciences,Nursing,16,KU Leuven,231.8,63.9,93.1,90.7,56.7,0
2021,Medical Sciences,Nursing,17,University of Toronto,227.5,78.5,69.8,71.6,59.8,25.2
2021,Medical Sciences,Nursing,18,Australian Catholic University,226.4,68.4,74,67.1,65.5,25.2
2021,Medical Sciences,Nursing,19,University of Wisconsin - Madison,225.7,59,72.8,50.1,75.6,41.8
2021,Medical Sciences,Nursing,20,Emory University,224.0,66,70.1,42.2,68.1,56.3
2021,Medical Sciences,Nursing,21,Radboud University Nijmegen,223.5,56.6,77.5,81.2,73.2,0
2021,Medical Sciences,Nursing,22,Maastricht University,222.3,55.9,81.2,85.8,68.1,0
2021,Medical Sciences,Nursing,23,Yale University,221.4,70.7,72.6,56.4,56.7,50.4
2021,Medical Sciences,Nursing,24,University of Washington,219.2,67.2,71.6,54.4,56.7,64.2
2021,Medical Sciences,Nursing,25,University of Leeds,219.0,55.1,77.2,67.3,73.2,0
2021,Medical Sciences,Nursing,26,"The University of Newcastle, Australia",218.2,71,82.7,72.1,50,0
2021,Medical Sciences,Nursing,27,Uppsala University,218.0,76.2,77.8,70.3,50,0
2021,Medical Sciences,Nursing,28,Duke University,217.5,73.8,64.7,46,59.8,50.4
2021,Medical Sciences,Nursing,29,New York University,217.2,62.6,71,48.2,62.7,56.3
2021,Medical Sciences,Nursing,30,Deakin University,213.9,72.1,74.6,60.7,46.3,43.6
2021,Medical Sciences,Nursing,30,Flinders University,213.9,75.9,78.9,64.2,46.3,0
2021,Medical Sciences,Nursing,32,Lund University,213.0,61.3,77.9,59.9,56.7,25.2
2021,Medical Sciences,Nursing,33,National Taiwan University,212.9,60.3,74.8,50.5,62.7,25.2
2021,Medical Sciences,Nursing,34,National University of Singapore,211.6,66,75.5,83.2,46.3,35.6
2021,Medical Sciences,Nursing,35,University of Turku,211.4,62.6,87,77.6,46.3,0
