Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Natural Sciences,Oceanography,1,University of Washington,299.8,99.7,86.7,68.9,,
2021,Natural Sciences,Oceanography,2,"University of California, San Diego",296.9,100,82.8,70.5,,
2021,Natural Sciences,Oceanography,3,Sorbonne University,280.2,91,80.3,89.3,,
2021,Natural Sciences,Oceanography,4,University of Southampton,260.9,78.6,86.1,88.2,,
2021,Natural Sciences,Oceanography,5,Oregon State University,256.9,80.8,82,66.2,,
2021,Natural Sciences,Oceanography,6,Utrecht University,247.3,75.2,79.1,88.3,,
2021,Natural Sciences,Oceanography,7,University of Bremen,236.0,68.2,82.1,87.2,,
2021,Natural Sciences,Oceanography,8,University of Tasmania,233.7,68.2,81,81.3,,
2021,Natural Sciences,Oceanography,9,Columbia University,229.6,64,85.7,79.9,,
2021,Natural Sciences,Oceanography,10,University of Bergen,228.8,65.4,81.2,84.7,,
2021,Natural Sciences,Oceanography,11,University of Miami,227.2,65.9,80.6,74.4,,
2021,Natural Sciences,Oceanography,12,Massachusetts Institute of Technology (MIT),226.8,63.1,85.9,73.5,,
2021,Natural Sciences,Oceanography,13,University of Western Brittany,223.9,61.9,83,86.4,,
2021,Natural Sciences,Oceanography,14,California Institute of Technology,222.0,54.8,97.5,75.1,,
2021,Natural Sciences,Oceanography,15,Ocean University of China,221.4,78.6,53.8,52,,
2021,Natural Sciences,Oceanography,16,University of Hawaii at Manoa,220.8,61.7,82.3,76.1,,
2021,Natural Sciences,Oceanography,17,Technical University of Denmark,217.2,60,79.6,88,,
2021,Natural Sciences,Oceanography,18,"University of California, Santa Cruz",215.8,58.7,83.5,74.1,,
2021,Natural Sciences,Oceanography,19,Princeton University,211.5,52,92.4,75.2,,
2021,Natural Sciences,Oceanography,20,Aix Marseille University,211.2,55.6,82.5,87.8,,
2021,Natural Sciences,Oceanography,21,The University of Western Australia,209.8,56.2,80.7,84,,
2021,Natural Sciences,Oceanography,22,Paul Sabatier University (Toulouse 3),209.2,53.7,83.7,90.2,,
2021,Natural Sciences,Oceanography,23,Florida State University,209.0,55,84.1,75,,
2021,Natural Sciences,Oceanography,24,The University of New South Wales,208.1,55.8,79.9,83.6,,
2021,Natural Sciences,Oceanography,25,"University of California, Los Angeles",206.0,50.1,89.2,83.6,,
2021,Natural Sciences,Oceanography,26,Stanford University,203.2,52.2,84,73.1,,
2021,Natural Sciences,Oceanography,27,"University of California, Santa Barbara",201.2,53.3,82.7,59.4,,
2021,Natural Sciences,Oceanography,28,University of Alaska - Fairbanks,200.0,50.1,84.5,76.9,,
2021,Natural Sciences,Oceanography,29,Delft University of Technology,199.8,53.1,76.2,87,,
2021,Natural Sciences,Oceanography,30,University of Strathclyde,199.4,50.7,81.9,80.2,,
2021,Natural Sciences,Oceanography,31,Shanghai Jiao Tong University,199.2,56.4,74.8,58.3,,
