Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,1,Harvard University,296.5,100,82.1,71.9,100,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,2,"University of California, San Francisco",234.6,60.8,79.9,66.9,80.4,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,3,"University of California, San Diego",221.0,64.2,83,72,59.4,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,4,University of Oxford,220.4,62.7,86.1,86.8,54.2,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,5,University College London,219.5,72,82.6,81.9,48.5,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,6,University of Cambridge,218.7,55.5,86.8,84.7,59.4,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,7,Karolinska Institute,215.6,68.5,81,88.2,48.5,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,7,University of Copenhagen,215.6,81.9,75.6,80.8,42,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,9,University of North Carolina at Chapel Hill,214.6,75,78.9,61,48.5,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,10,University of Toronto,214.0,73.7,76,78.8,48.5,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,11,Massachusetts Institute of Technology (MIT),213.3,42.8,86.9,74.5,68.6,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,12,Yale University,212.4,56.6,78.2,67.2,64.2,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,13,University of Pennsylvania,210.0,55.5,78.1,61.2,64.2,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,14,University of Paris,208.7,70.5,69.6,71.5,54.2,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,15,Imperial College London,208.1,63.3,79.8,82.5,48.5,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,16,Johns Hopkins University,207.0,72.6,78.5,69.1,42,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,16,"University of California, Los Angeles",207.0,52.1,76.5,67.6,48.5,81.6
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,18,Monash University,206.3,73.3,82.5,81.4,34.3,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,19,Duke University,201.9,55.3,74.6,63.1,59.4,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,20,Utrecht University,201.1,70.7,80.4,78.4,34.3,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,21,King's College London,198.5,61.2,75.4,80.2,34.3,57.7
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,22,The University of Edinburgh,198.1,40.4,100,78.6,42,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,23,Icahn School of Medicine at Mount Sinai,196.8,50.5,84,69,48.5,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,24,University of Pittsburgh,195.5,61.6,73.4,60.4,48.5,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,25,Uppsala University,194.9,57.7,79,81.2,42,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,26,Sorbonne University,194.8,60.8,70.6,74.9,48.5,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,27,Stanford University,192.3,49.5,87.4,66.9,42,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,28,University of Washington,192.0,59.2,78.7,60.7,42,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,29,University of Michigan-Ann Arbor,191.7,66.7,78.8,59.5,34.3,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,30,Paris-Saclay University,191.0,59.5,74.5,74.9,42,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,31,Columbia University,189.3,52.4,81,69.5,42,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,32,KU Leuven,188.8,70.2,76.8,88.3,24.3,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,33,The University of Texas Southwestern Medical Center at Dallas,187.9,39.3,81.4,65.2,54.2,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,34,University of Groningen,186.9,56.6,72.6,78.6,42,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,35,Free University Berlin,185.7,63,73.5,74.6,34.3,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,36,Leiden University,185.2,55,80.2,78.7,34.3,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,37,McGill University,184.8,54.5,72.6,78,42,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,38,The University of Queensland,184.5,67.2,77.2,79.2,24.3,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,39,Sun Yat-sen University,183.0,75.4,74.5,44.4,24.3,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,40,"Rutgers, The State University of New Jersey - New Brunswick",182.8,59.4,76.1,64.7,34.3,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,41,Heidelberg University,182.7,52.5,72.6,78.2,42,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,42,Shanghai Jiao Tong University,181.3,77.2,70.6,46.1,24.3,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,43,"University of Minnesota, Twin Cities",180.7,60.8,74.4,56.3,34.3,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,44,University of Helsinki,179.9,50.8,78,84.2,34.3,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,45,The University of Calgary,179.0,36.8,77.3,82.2,48.5,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,46,ETH Zurich,178.7,41.9,85.8,83.3,34.3,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,47,University of Lausanne,178.1,45.2,82.8,79.2,34.3,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,48,University of Basel,177.4,59.5,76.9,83.8,24.3,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,49,The University of Dundee,176.7,35.7,100,83.8,24.3,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,50,University of Sydney,176.2,62.9,73.6,77.2,24.3,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,51-75,Baylor College of Medicine,,43.9,78,61.4,34.3,0
2021,Medical Sciences,Pharmacy & Pharmaceutical Sciences,51-75,Charite - Universitats Medizin Berlin,,50.5,73,73.6,34.3,0
