Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Natural Sciences,Physics,1,Massachusetts Institute of Technology (MIT),390.6,90.4,87.8,81.8,96,100
2021,Natural Sciences,Physics,2,Princeton University,352.6,74.6,85.5,81.2,76.2,100
2021,Natural Sciences,Physics,3,Stanford University,346.3,82.1,90.8,80.6,77.7,79.5
2021,Natural Sciences,Physics,4,The University of Tokyo,342.3,94.2,70.9,74.7,92.6,69.7
2021,Natural Sciences,Physics,5,California Institute of Technology,339,88.1,89.2,84.7,66.2,78.6
2021,Natural Sciences,Physics,6,Harvard University,335.3,95.8,87.1,85.4,72.2,63
2021,Natural Sciences,Physics,7,University of Chicago,334.8,82.1,87.4,82.1,89.6,59.4
2021,Natural Sciences,Physics,8,"University of California, Berkeley",334.1,88.2,85.9,83.4,76.9,66.4
2021,Natural Sciences,Physics,9,Paris-Saclay University,321.5,91.6,76.2,86.6,100,36.4
2021,Natural Sciences,Physics,10,PSL University,315.9,80.1,79.3,86.6,75,64.2
2021,Natural Sciences,Physics,11,University of Cambridge,298.2,91,84.4,87.7,75.6,29.7
2021,Natural Sciences,Physics,12,The University of Edinburgh,298.1,63.5,92.5,91.8,64.3,59.4
2021,Natural Sciences,Physics,13,"University of California, Santa Barbara",289.8,60.5,86.4,78.4,56.5,70.7
2021,Natural Sciences,Physics,14,University of Colorado at Boulder,289.4,58.7,78.2,77.5,59.9,77.2
2021,Natural Sciences,Physics,15,Sorbonne University,288.7,100,77.5,88.3,93.6,0
2021,Natural Sciences,Physics,16,The University of Manchester,284.3,60.7,78,90.5,54.8,72.8
2021,Natural Sciences,Physics,17,University of Washington,282.3,57,96.7,81.2,49.3,63
2021,Natural Sciences,Physics,18,University of Geneva,277.2,61.9,87.6,93.9,57.4,51.4
2021,Natural Sciences,Physics,19,Cornell University,271.6,54.8,85.6,79.1,51.2,64.2
2021,Natural Sciences,Physics,20,University of Michigan-Ann Arbor,261.2,71.3,81.6,80.1,62.6,29.7
2021,Natural Sciences,Physics,21,Columbia University,259.6,59.2,97.8,83.7,51.5,34.3
2021,Natural Sciences,Physics,22,"University of Maryland, College Park",258.4,73.2,86.4,80.1,82.8,0
2021,Natural Sciences,Physics,23,University of Illinois at Urbana-Champaign,257.9,61.2,87.2,78,51.9,42
2021,Natural Sciences,Physics,24,University of Oxford,257.2,81.3,80.6,89.3,77.5,0
2021,Natural Sciences,Physics,25,Université libre de Bruxelles (ULB),255.8,44.3,90.8,91.4,43.1,59.4
2021,Natural Sciences,Physics,26,Tsinghua University,251.8,85.6,75.2,66,77.8,0
2021,Natural Sciences,Physics,27,University of Paris,250.7,76.8,87.8,90.6,68,0
2021,Natural Sciences,Physics,28,The Australian National University,246.5,58.2,88.1,90.9,40.1,42
2021,Natural Sciences,Physics,29,University of Munich,244.8,61.7,84.8,87.7,55,25.7
2021,Natural Sciences,Physics,30,University of Science and Technology of China,240.3,84.1,67.4,62.9,76.2,0
2021,Natural Sciences,Physics,31,ETH Zurich,239.6,71.6,79.8,87.3,70.8,0
2021,Natural Sciences,Physics,31,Sapienza University of Rome,239.6,65.2,84.7,89.6,71.8,0
2021,Natural Sciences,Physics,33,Nagoya University,236.9,53,65.2,71.7,45,59.4
2021,Natural Sciences,Physics,34,"University of California, Irvine",236.5,49,83.7,82.4,45.3,42
2021,Natural Sciences,Physics,35,Peking University,236.1,83.8,71.1,68.9,67.5,0
2021,Natural Sciences,Physics,36,Johns Hopkins University,233.7,60.7,81,82.4,45.8,29.7
2021,Natural Sciences,Physics,37,University of Padua,232.8,65.8,88,92,60.6,0
2021,Natural Sciences,Physics,38,Imperial College London,232,70.5,76.1,86.2,68.1,0
2021,Natural Sciences,Physics,39,Université Grenoble Alpes,230.8,71.2,71.9,86.2,70.4,0
2021,Natural Sciences,Physics,40,Kyoto University,230.6,65.6,65.9,70.8,59.2,25.7
2021,Natural Sciences,Physics,41,University of Pennsylvania,228.7,48.6,86.1,80.4,41.5,36.4
2021,Natural Sciences,Physics,42,Institut Polytechnique de Paris,228.3,51.1,75.9,87.5,54.1,29.7
2021,Natural Sciences,Physics,43,Heidelberg University,227.4,65.2,87.5,91,56.5,0
