Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Social Sciences,Political Sciences,1,Harvard University,322.3,100,92.6,60.3,100,100
2021,Social Sciences,Political Sciences,2,Stanford University,290.1,84.6,100,56.3,93.1,72.5
2021,Social Sciences,Political Sciences,3,Princeton University,254.6,72.8,100,48.6,82.7,39.7
2021,Social Sciences,Political Sciences,4,London School of Economics and Political Science,246.6,87.9,82.3,65.9,67.1,0
2021,Social Sciences,Political Sciences,5,New York University,246.3,71.6,87.2,56.5,81.6,39.7
2021,Social Sciences,Political Sciences,6,University of Michigan-Ann Arbor,232.7,69.8,92.1,61.7,64.5,56.2
2021,Social Sciences,Political Sciences,7,Columbia University,228.9,67.6,76.2,54.5,71.9,60.7
2021,Social Sciences,Political Sciences,8,Yale University,228.7,66.1,96.6,50.1,67.1,45.9
2021,Social Sciences,Political Sciences,9,University of Oxford,227.0,87.5,79.1,61.7,50,0
2021,Social Sciences,Political Sciences,10,"University of California, Berkeley",216.9,66.3,83.2,59.6,57.7,60.7
2021,Social Sciences,Political Sciences,11,Aarhus University,212.5,72.4,90.8,68.8,51.6,0
2021,Social Sciences,Political Sciences,12,"University of California, San Diego",211.6,60.5,100,51.3,59.2,32.4
2021,Social Sciences,Political Sciences,13,Texas A&M University,203.4,60,92.6,50.9,61.9,0
2021,Social Sciences,Political Sciences,14,Duke University,202.5,61.9,95,59.2,56.3,0
2021,Social Sciences,Political Sciences,15,The George Washington University,202.3,66.3,81.4,44.6,57.7,0
2021,Social Sciences,Political Sciences,16,University of Pennsylvania,202.2,59.8,100,47.8,57.7,0
2021,Social Sciences,Political Sciences,17,Massachusetts Institute of Technology (MIT),201.7,54.4,100,55.8,64.5,0
2021,Social Sciences,Political Sciences,18,University of Chicago,200.6,54.9,85.1,50.4,70.7,0
2021,Social Sciences,Political Sciences,19,University of Amsterdam,195.6,78.7,95.8,72.6,22.4,0
2021,Social Sciences,Political Sciences,20,Vanderbilt University,191.6,50.9,93.1,41.2,64.5,0
