Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Social Sciences,Psychology,1,Harvard University,297.7,100,82.7,63.8,100,
2021,Social Sciences,Psychology,2,University College London,236.6,76.1,79.1,82.1,74.7,
2021,Social Sciences,Psychology,3,Stanford University,234.9,64.7,87.7,62.2,87.8,
2021,Social Sciences,Psychology,4,University of Pennsylvania,231.7,69.1,80.7,56.6,82,
2021,Social Sciences,Psychology,5,Yale University,227.3,69.2,78.7,62.7,77.9,
2021,Social Sciences,Psychology,6,Columbia University,223.5,69.1,78.3,60.6,74.7,
2021,Social Sciences,Psychology,7,Northwestern University,221.9,63.3,81.5,52.9,81,
2021,Social Sciences,Psychology,8,"University of California, Los Angeles",220.1,70,76.8,54.2,71.3,
2021,Social Sciences,Psychology,9,New York University,216.2,62,80.5,60.4,76.8,
2021,Social Sciences,Psychology,10,University of Oxford,213.9,59.8,86.5,85.2,72.4,
2021,Social Sciences,Psychology,11,University of Chicago,209.1,50.3,83.9,58,85.9,
2021,Social Sciences,Psychology,12,University of Toronto,207.0,75.3,73.6,77.1,49.6,
2021,Social Sciences,Psychology,13,University of Michigan-Ann Arbor,206.8,71.2,83.8,53,52.8,
2021,Social Sciences,Psychology,14,University of Amsterdam,198.1,65.2,89,78.7,47.9,
2021,Social Sciences,Psychology,15,King's College London,195.4,69.3,81.8,81.9,42.5,
2021,Social Sciences,Psychology,15,The University of Texas at Austin,195.4,57,85.7,56.4,61.4,
2021,Social Sciences,Psychology,17,University of Pittsburgh,194.2,64.9,80.5,53.6,51.2,
2021,Social Sciences,Psychology,18,The Ohio State University - Columbus,193.0,57.2,77.5,56.8,62.7,
2021,Social Sciences,Psychology,19,"University of Minnesota, Twin Cities",192.5,63.9,76.6,56.6,52.8,
2021,Social Sciences,Psychology,20,Duke University,192.4,59,83.4,63.1,55.8,
2021,Social Sciences,Psychology,21,"University of California, Berkeley",190.5,52.2,81.3,62.9,65.3,
2021,Social Sciences,Psychology,22,Vrije Universiteit Amsterdam,189.6,61.1,77.7,79.5,51.2,
2021,Social Sciences,Psychology,23,University of Wisconsin - Madison,188.1,55.6,79.7,48.3,60.1,
2021,Social Sciences,Psychology,24,"University of California, Davis",186.9,56.8,88.6,62.1,51.2,
2021,Social Sciences,Psychology,25,University of Illinois at Urbana-Champaign,182.8,51.6,77.2,53.1,61.4,
2021,Social Sciences,Psychology,26,"University of California, San Diego",181.9,57.4,74,60,52.8,
2021,Social Sciences,Psychology,27,The University of New South Wales,181.7,52.8,75.3,75.8,57.3,
2021,Social Sciences,Psychology,28,KU Leuven,180.5,56.6,84.1,91.3,44.4,
2021,Social Sciences,Psychology,29,University of Washington,178.2,61.8,79.8,51.4,40.5,
2021,Social Sciences,Psychology,30,University of Cambridge,177.9,52,80.2,85.9,51.2,
2021,Social Sciences,Psychology,31,"University of Maryland, College Park",177.4,54,75.9,55.9,52.8,
2021,Social Sciences,Psychology,32,University of North Carolina at Chapel Hill,177.3,64.2,78.8,54.5,36.2,
2021,Social Sciences,Psychology,33,Florida State University,177.2,54.2,82.2,52.7,49.6,
2021,Social Sciences,Psychology,34,Pennsylvania State University - University Park,176.7,61,74.8,52.8,42.5,
2021,Social Sciences,Psychology,35,Utrecht University,176.2,59.1,78.4,78.4,40.5,
2021,Social Sciences,Psychology,36,Vanderbilt University,175.7,52.3,78.1,53.3,52.8,
2021,Social Sciences,Psychology,37,Arizona State University,174.3,55.7,78.6,52.6,46.2,
2021,Social Sciences,Psychology,38,The University of Melbourne,172.7,54.2,75,77.5,46.2,
2021,Social Sciences,Psychology,39,Boston University,170.7,51.3,78.6,48.8,49.6,
2021,Social Sciences,Psychology,40,Cornell University,170.1,48.4,77.4,59.7,52.8,
2021,Social Sciences,Psychology,41,Radboud University Nijmegen,169.1,58.6,74.2,79.1,36.2,
2021,Social Sciences,Psychology,41,University of Groningen,169.1,56.9,79.1,80.1,36.2,
2021,Social Sciences,Psychology,43,University of Southern California,168.5,53.3,80.5,58.6,42.5,
2021,Social Sciences,Psychology,44,University of British Columbia,166.9,53.1,77.3,80.9,40.5,
2021,Social Sciences,Psychology,45,"University of California, Irvine",166.7,44.1,83.3,60.8,52.8,
2021,Social Sciences,Psychology,46,University of Virginia,166.4,46,89.2,49,47.9,
2021,Social Sciences,Psychology,46,University of Zurich,166.4,49,75.1,92.1,46.2,
2021,Social Sciences,Psychology,48,Brown University,166.3,54.2,71.6,49.4,44.4,
2021,Social Sciences,Psychology,48,The University of Queensland,166.3,51.1,71,80,46.2,
