Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Social Sciences,Public Administration,1,Aarhus University,305.8,100,97.8,68.8,100,
2021,Social Sciences,Public Administration,2,Utrecht University,263.4,91.6,95.3,82.5,70.1,
2021,Social Sciences,Public Administration,3,Erasmus University Rotterdam,257.0,88.4,94.8,69.6,70.1,
2021,Social Sciences,Public Administration,4,Cardiff University,248.2,78.8,95.6,71.6,75.1,
2021,Social Sciences,Public Administration,5,Indiana University Bloomington,246.2,78.1,83.6,64.4,80.9,
2021,Social Sciences,Public Administration,6,The University of Georgia,235.2,71.1,100,47.2,73.9,
2021,Social Sciences,Public Administration,7,Texas A&M University,232.9,74.3,92.1,53.5,70.1,
2021,Social Sciences,Public Administration,8,The Ohio State University - Columbus,226.0,69.5,86.1,61.4,72.6,
2021,Social Sciences,Public Administration,9,Leiden University,224.6,76.6,87.2,73.9,58.8,
2021,Social Sciences,Public Administration,10,Arizona State University,222.5,67,88.8,76.5,70.1,
2021,Social Sciences,Public Administration,11,London School of Economics and Political Science,212.9,80.9,89.1,64.3,40.5,
2021,Social Sciences,Public Administration,12,Harvard University,211.6,72.7,72.9,73.2,58.8,
2021,Social Sciences,Public Administration,13,Rutgers University-Newark,205.1,60.6,93.3,71.6,60.3,
2021,Social Sciences,Public Administration,14,Florida State University,203.9,58.7,95.1,64.9,61.8,
2021,Social Sciences,Public Administration,15,University College London,201.0,71.1,84,76.3,44.7,
2021,Social Sciences,Public Administration,16,Tilburg University,199.1,57.7,100,85.3,53.9,
2021,Social Sciences,Public Administration,17,University of Exeter,198.9,60.6,97.7,68.5,52.2,
2021,Social Sciences,Public Administration,18,University of Copenhagen,195.7,61.6,99.3,69.7,46.7,
2021,Social Sciences,Public Administration,19,American University,193.6,61.6,68.2,68.1,60.3,
2021,Social Sciences,Public Administration,20,University of Antwerp,190.8,64.3,87.8,77.8,42.6,
2021,Social Sciences,Public Administration,21,Syracuse University,189.7,56.7,88.2,49.5,55.6,
2021,Social Sciences,Public Administration,22,Bocconi University,189.2,57.7,87.6,83.3,50.5,
2021,Social Sciences,Public Administration,23,Radboud University Nijmegen,188.4,67,89.8,73.5,35.7,
2021,Social Sciences,Public Administration,24,University of Oslo,187.1,64.3,81.3,73.3,42.6,
2021,Social Sciences,Public Administration,25,University of Bern,183.5,58.7,97.5,61.8,40.5,
2021,Social Sciences,Public Administration,26,KU Leuven,183.2,60.6,71.4,78.6,48.6,
2021,Social Sciences,Public Administration,27,City University of Hong Kong,182.5,54.7,81.7,92.4,50.5,
2021,Social Sciences,Public Administration,28,University of Warwick,181.0,53.6,95.9,59.8,46.7,
2021,Social Sciences,Public Administration,29,University of Gothenburg,177.2,59.7,78.7,78.1,40.5,
2021,Social Sciences,Public Administration,30,University of Oxford,176.6,65.2,77.7,68.8,33,
2021,Social Sciences,Public Administration,31,University of Munich,176.1,64.3,100,62.2,23.4,
2021,Social Sciences,Public Administration,32,University of Amsterdam,172.3,60.6,100,79.9,23.4,
2021,Social Sciences,Public Administration,33,University of Wisconsin - Madison,171.2,50.3,72.3,56.5,53.9,
2021,Social Sciences,Public Administration,34,University of Southern California,171.0,49.1,69.3,53.9,57.2,
2021,Social Sciences,Public Administration,35,The George Washington University,170.2,52.5,66.8,57.6,52.2,
2021,Social Sciences,Public Administration,36,The Australian National University,169.9,66.1,69.3,59.2,30.2,
2021,Social Sciences,Public Administration,37,University at Albany (State University of New York),169.1,54.7,60.6,63.3,50.5,
2021,Social Sciences,Public Administration,38,University of Southern Denmark,167.8,49.1,95,84.3,38.1,
2021,Social Sciences,Public Administration,39,The University of Melbourne,166.5,57.7,75.7,64,35.7,
2021,Social Sciences,Public Administration,40,"University of Minnesota, Twin Cities",166.0,46.7,89.8,62.8,44.7,
