Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Medical Sciences,Public Health,1,Harvard University,284.3,100,70.4,69.3,100,
2021,Medical Sciences,Public Health,2,Johns Hopkins University,217.6,76.6,69.8,70.4,57.1,
2021,Medical Sciences,Public Health,3,London School of Hygiene & Tropical Medicine,211.0,60.7,73.5,92.3,58.4,
2021,Medical Sciences,Public Health,4,University of Washington,207.1,64.5,71.9,65.1,57.7,
2021,Medical Sciences,Public Health,5,University College London,203.3,59.7,73.3,79.6,54.3,
2021,Medical Sciences,Public Health,6,Imperial College London,202.2,50.9,79.9,85.5,54.3,
2021,Medical Sciences,Public Health,7,Karolinska Institute,201.6,49.5,70.5,85.1,64.6,
2021,Medical Sciences,Public Health,8,University of North Carolina at Chapel Hill,200.2,59.5,68.7,61.2,59.7,
2021,Medical Sciences,Public Health,9,University of Bristol,198.2,38.3,81.8,72,63.7,
2021,Medical Sciences,Public Health,10,University of Oxford,197.5,54.3,77.9,86.7,47.9,
2021,Medical Sciences,Public Health,11,University of Toronto,197.2,61.9,68.4,72.4,52.5,
2021,Medical Sciences,Public Health,12,Columbia University,189.6,54.9,70.5,64.2,51.4,
2021,Medical Sciences,Public Health,13,University of Copenhagen,187.5,47,70.9,80.2,53.6,
2021,Medical Sciences,Public Health,14,"University of California, San Francisco",184.7,64,70.1,64.8,37.7,
2021,Medical Sciences,Public Health,15,Emory University,182.8,48.7,74.5,62,47.1,
2021,Medical Sciences,Public Health,16,The University of Melbourne,182.0,47.7,72.7,74.7,46.7,
2021,Medical Sciences,Public Health,17,University of Michigan-Ann Arbor,181.3,54.5,66.4,54,49.5,
2021,Medical Sciences,Public Health,17,Utrecht University,181.3,42.3,72.3,78.2,51,
2021,Medical Sciences,Public Health,19,Erasmus University Rotterdam,180.5,44,79.3,78.1,41.5,
2021,Medical Sciences,Public Health,20,University of Cambridge,177.9,40,82.2,77.7,40.1,
2021,Medical Sciences,Public Health,21,McGill University,176.7,43.1,70.6,75.6,47.9,
2021,Medical Sciences,Public Health,22,Pompeu Fabra University,175.6,24.7,83,82.1,51.4,
2021,Medical Sciences,Public Health,23,Boston University,174.9,45.6,73.2,59.5,44.2,
2021,Medical Sciences,Public Health,24,The University of Queensland,173.9,43,73,72.8,43.3,
2021,Medical Sciences,Public Health,25,Yale University,173.8,50.7,72.7,61.4,38.2,
2021,Medical Sciences,Public Health,26,"University of California, Berkeley",173.7,37.1,69.7,66.6,53.6,
2021,Medical Sciences,Public Health,27,"University of California, Los Angeles",173.3,52,66.5,59.9,42.9,
2021,Medical Sciences,Public Health,28,King's College London,171.7,42.6,76.7,76.3,37.1,
2021,Medical Sciences,Public Health,29,The University of Edinburgh,171.3,33.8,88.5,75.6,33.9,
2021,Medical Sciences,Public Health,30,Stanford University,169.6,46.1,77.9,63.9,32.8,
2021,Medical Sciences,Public Health,31,Aarhus University,169.2,36.7,73.9,76.4,43.3,
2021,Medical Sciences,Public Health,32,Icahn School of Medicine at Mount Sinai,167.8,33.7,74.6,63.8,46.7,
2021,Medical Sciences,Public Health,32,University of Oslo,167.8,34.7,73.2,78.3,44.2,
2021,Medical Sciences,Public Health,34,University of Sydney,167.2,48.7,68.3,70.3,36.1,
2021,Medical Sciences,Public Health,35,University of Basel,167.0,33.5,77.8,87.7,38.2,
2021,Medical Sciences,Public Health,36,University of British Columbia,166.9,46.3,71.7,72,34.5,
2021,Medical Sciences,Public Health,37,Monash University,165.7,45.4,68.5,71,37.7,
2021,Medical Sciences,Public Health,38,University of Helsinki,161.8,31.9,79.8,77.9,34.5,
2021,Medical Sciences,Public Health,39,Duke University,161.3,43.7,69,62.4,36.1,
2021,Medical Sciences,Public Health,40,University of Groningen,160.9,34.9,78.4,74.5,32.8,
2021,Medical Sciences,Public Health,41,University of Southampton,160.8,33.1,80.7,77,31.6,
2021,Medical Sciences,Public Health,42,University of Ottawa,160.4,36.4,77.7,70.7,32.2,
2021,Medical Sciences,Public Health,43,The University of New South Wales,160.3,45.9,69.1,71.9,30.9,
2021,Medical Sciences,Public Health,44,Brown University,159.8,43.6,68.1,55,37.1,
2021,Medical Sciences,Public Health,45,University of Bergen,159.2,26.3,83.8,81.7,32.8,
2021,Medical Sciences,Public Health,46,University of Pittsburgh,158.6,44.4,71.7,51.7,32.2,
2021,Medical Sciences,Public Health,47,University of Pennsylvania,158.3,50.1,73.1,51.7,24.8,
2021,Medical Sciences,Public Health,48,Lund University,157.8,30.1,75.2,74.6,37.7,
2021,Medical Sciences,Public Health,49,Heidelberg University,157.7,28.8,85.6,81.2,27,
2021,Medical Sciences,Public Health,50,University of Southern California,156.5,38.1,65.7,53.8,42,
2021,Medical Sciences,Public Health,51-75,Dartmouth College,,27.6,81.8,55.6,29.7,
2021,Medical Sciences,Public Health,51-75,Fudan University,,25.7,81.1,71.8,26.3,
2021,Medical Sciences,Public Health,51-75,National University of Singapore,,33.8,70.7,85.3,27.7,
2021,Medical Sciences,Public Health,51-75,New York University,,38.5,71.6,54,32.2,
2021,Medical Sciences,Public Health,51-75,Peking Union Medical College,,21.3,87.6,68.6,24.8,
2021,Medical Sciences,Public Health,51-75,Seoul National University,,29.8,76.3,56.5,36.1,
2021,Medical Sciences,Public Health,51-75,Shanghai Jiao Tong University,,23.6,89,67.4,27.7,
2021,Medical Sciences,Public Health,51-75,The University of Auckland,,30.1,80,81.2,24.8,
2021,Medical Sciences,Public Health,51-75,The University of Hong Kong,,30.3,85.7,73.2,22.3,
2021,Medical Sciences,Public Health,51-75,The University of Western Australia,,29.1,81.8,68.2,29,
2021,Medical Sciences,Public Health,51-75,University of Barcelona,,38.2,74.7,74.7,20.5,
2021,Medical Sciences,Public Health,51-75,"University of California, Davis",,35,68.8,65.1,33.9,
2021,Medical Sciences,Public Health,51-75,"University of California, Irvine",,23.3,92,60,27.7,
2021,Medical Sciences,Public Health,51-75,"University of California, San Diego",,43.9,73.8,63.6,23.2,
2021,Medical Sciences,Public Health,51-75,University of Cape Town,,35.6,80,89.7,19.6,
2021,Medical Sciences,Public Health,51-75,University of Crete,,12.9,100,92.9,19.6,
2021,Medical Sciences,Public Health,51-75,University of Leicester,,19.3,98.5,69.7,21.4,
2021,Medical Sciences,Public Health,51-75,University of Liverpool,,35.3,76,85.1,24,
2021,Medical Sciences,Public Health,51-75,"University of Minnesota, Twin Cities",,43.6,63.8,53.1,29.7,
2021,Medical Sciences,Public Health,51-75,University of Montreal,,33.5,72.9,70.5,35.6,
2021,Medical Sciences,Public Health,51-75,University of Otago,,28.7,80.3,76,23.2,
2021,Medical Sciences,Public Health,51-75,University of Southern Denmark,,31.4,65.6,76.5,40.1,
2021,Medical Sciences,Public Health,51-75,University of Tromso,,21.1,83,81.6,27.7,
2021,Medical Sciences,Public Health,51-75,University of Ulm,,16.5,100,75.4,19.6,
2021,Medical Sciences,Public Health,51-75,University of Valencia,,24.1,89.2,66.2,28.4,
2021,Medical Sciences,Public Health,51-75,Uppsala University,,27.7,83.5,78.8,29,
2021,Medical Sciences,Public Health,76-100,Aga Khan University,,17,100,92.9,10.7,
2021,Medical Sciences,Public Health,76-100,KU Leuven,,29.7,65.7,85.2,30.3,
2021,Medical Sciences,Public Health,76-100,Kwame Nkrumah University Science & Technology,,14.9,100,92,12.4,
2021,Medical Sciences,Public Health,76-100,Maastricht University,,36.3,63.8,79,27,
2021,Medical Sciences,Public Health,76-100,McMaster University,,33.3,80.2,72.5,18.6,
2021,Medical Sciences,Public Health,76-100,Muhimbili University of Health and Allied Sciences,,15,100,94.9,10.7,
2021,Medical Sciences,Public Health,76-100,National Taiwan University,,29.4,74.8,56.8,29,
2021,Medical Sciences,Public Health,76-100,Northeastern University (Boston),,19.8,100,56.9,12.4,
2021,Medical Sciences,Public Health,76-100,Northwestern University,,40.7,76.5,50.7,19.6,
2021,Medical Sciences,Public Health,76-100,Queen Mary University of London,,24,86.4,74.7,20.5,
2021,Medical Sciences,Public Health,76-100,The Australian National University,,25.4,83.4,73.9,20.5,
2021,Medical Sciences,Public Health,76-100,The George Washington University,,31.2,73.5,56.2,29,
2021,Medical Sciences,Public Health,76-100,Umea University,,27,65,82.2,36.1,
2021,Medical Sciences,Public Health,76-100,University at Albany (State University of New York),,18.7,95.2,54.3,18.6,
2021,Medical Sciences,Public Health,76-100,University of Alabama at Birmingham,,36.7,77.7,52,18.6,
2021,Medical Sciences,Public Health,76-100,University of Amsterdam,,42.8,62.3,78.1,26.3,
2021,Medical Sciences,Public Health,76-100,University of KwaZulu-Natal,,25.1,82.9,86.6,18.6,
2021,Medical Sciences,Public Health,76-100,University of Paris,,37.4,63.8,71,30.9,
2021,Medical Sciences,Public Health,76-100,University of Sao Paulo,,35,68.3,63.1,30.3,
2021,Medical Sciences,Public Health,76-100,University of the Witwatersrand,,35.7,70.2,90,20.5,
2021,Medical Sciences,Public Health,76-100,University of Virginia,,25.9,84.2,61.6,20.5,
2021,Medical Sciences,Public Health,76-100,University of Zambia,,17.9,100,98.1,8.8,
2021,Medical Sciences,Public Health,76-100,Vanderbilt University,,36.9,68.2,58.1,29,
2021,Medical Sciences,Public Health,76-100,Washington University in St. Louis,,34.3,79,56.5,20.5,
2021,Medical Sciences,Public Health,101-150,Aalborg University,,20.4,85.9,66.3,17.5,
2021,Medical Sciences,Public Health,101-150,Addis Ababa University,,17.4,93.9,83.5,8.8,
2021,Medical Sciences,Public Health,101-150,Albert Einstein College of Medicine,,26,85.1,51.7,16.4,
2021,Medical Sciences,Public Health,101-150,"All India Institute of Medical Sciences, New Delhi",,13,100,64.6,8.8,
2021,Medical Sciences,Public Health,101-150,Aristotle University of Thessaloniki,,14.9,100,78.5,6.2,
2021,Medical Sciences,Public Health,101-150,AUT University,,14.2,100,80.5,6.2,
2021,Medical Sciences,Public Health,101-150,Autonomous University of Madrid,,18.7,88.1,72.5,15.2,
2021,Medical Sciences,Public Health,101-150,Cairo University,,11.9,100,74.2,10.7,
2021,Medical Sciences,Public Health,101-150,Case Western Reserve University,,29.2,80.5,54.8,13.8,
2021,Medical Sciences,Public Health,101-150,Curtin University,,28,77.5,67.9,18.6,
2021,Medical Sciences,Public Health,101-150,Free University Berlin,,27.8,80.7,76.4,12.4,
2021,Medical Sciences,Public Health,101-150,Ghent University,,34.1,70,85.6,21.4,
