Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Engineering,Remote Sensing,1,Wuhan University,281.0,100,70.3,53.5,100,
2021,Engineering,Remote Sensing,2,"University of Maryland, College Park",233.5,65.1,75.2,81.1,77,
2021,Engineering,Remote Sensing,3,California Institute of Technology,225.7,62,71.5,72.9,77.7,
2021,Engineering,Remote Sensing,4,Beijing Normal University,212.5,66.5,65.3,70.5,66.6,
2021,Engineering,Remote Sensing,5,Technical University of Munich,207.8,48.6,91.4,75.5,52.7,
2021,Engineering,Remote Sensing,6,Paul Sabatier University (Toulouse 3),202.6,50.1,79.2,84.9,56.3,
2021,Engineering,Remote Sensing,7,University of Iceland,198.9,34.2,100,97.8,45.2,
2021,Engineering,Remote Sensing,8,Xidian University,194.8,50.7,64.9,52.1,68.8,
2021,Engineering,Remote Sensing,9,University of Twente,194.0,50.2,72.1,89.7,53.8,
2021,Engineering,Remote Sensing,10,University of Valencia,186.9,36.9,88.3,87.2,44.2,
2021,Engineering,Remote Sensing,11,Northwestern Polytechnical University,183.8,31.2,100,64.9,39.6,
2021,Engineering,Remote Sensing,12,The University of New South Wales,180.7,39.7,76.7,89.7,46.4,
2021,Engineering,Remote Sensing,13,University of Zurich,178.7,30.5,92.5,87.4,38.2,
2021,Engineering,Remote Sensing,14,ETH Zurich,177.9,36,83,90.9,40.7,
2021,Engineering,Remote Sensing,15,Boston University,177.4,29.9,96.3,80.2,35.2,
2021,Engineering,Remote Sensing,16,Hunan University,177.2,26.4,100,76,35.6,
2021,Engineering,Remote Sensing,17,Nanjing University,176.6,43.2,68,73.8,50.6,
2021,Engineering,Remote Sensing,18,Tsinghua University,176.4,42.7,71.9,68.6,48.1,
2021,Engineering,Remote Sensing,19,South Dakota State University,175.0,31.8,94.5,65.6,35.6,
2021,Engineering,Remote Sensing,19,Sun Yat-sen University,175.0,36.9,80.5,74.3,42.6,
2021,Engineering,Remote Sensing,21,Université Grenoble Alpes,174.5,32,83.6,94.7,40,
2021,Engineering,Remote Sensing,22,University of Colorado at Boulder,174.2,34.7,84.2,73.2,40.7,
2021,Engineering,Remote Sensing,23,University of Extremadura,173.0,26.1,94.1,92.1,34.4,
2021,Engineering,Remote Sensing,24,University of Trento,172.9,31.2,80.6,84.3,44.2,
2021,Engineering,Remote Sensing,25,Humboldt University of Berlin,172.4,27.1,100,80.1,29.2,
2021,Engineering,Remote Sensing,26,University of Massachusetts Boston,171.7,24,99.3,84.4,31.5,
2021,Engineering,Remote Sensing,27,Wageningen University & Research,171.0,32.6,87.6,92.2,32.4,
2021,Engineering,Remote Sensing,28,University of British Columbia,170.5,32.4,82.5,76.5,40.3,
2021,Engineering,Remote Sensing,29,University of Oklahoma - Norman,168.5,36.2,74,84.4,41.3,
2021,Engineering,Remote Sensing,30,Peking University,168.2,41.9,68.3,65.6,44.8,
2021,Engineering,Remote Sensing,31,Nanjing University of Information Science & Technology,165.5,40.3,66.3,76.6,43.6,
2021,Engineering,Remote Sensing,32,The Ohio State University - Columbus,163.8,32.8,70.2,81.2,44.5,
2021,Engineering,Remote Sensing,33,Monash University,163.6,24.8,87.7,89.5,33.2,
2021,Engineering,Remote Sensing,34,The University of Texas at Austin,163.2,25.1,91.7,74.4,31.5,
2021,Engineering,Remote Sensing,35,Mississippi State University,163.0,24.6,89.8,97,29.2,
2021,Engineering,Remote Sensing,36,The Hong Kong Polytechnic University,162.7,39,69.4,62.9,41.7,
2021,Engineering,Remote Sensing,37,Vienna University of Technology,162.6,29.4,85.8,90.8,29.2,
2021,Engineering,Remote Sensing,38,University of Electronic Science and Technology of China,162.1,38.3,63.9,65.7,46.7,
2021,Engineering,Remote Sensing,39,University of Wisconsin - Madison,161.9,35.5,71.6,75.8,39.6,
2021,Engineering,Remote Sensing,40,Delft University of Technology,161.4,39.2,64.8,88.8,39.6,
2021,Engineering,Remote Sensing,41,University of Nebraska - Lincoln,161.0,26.6,85.8,89.8,30.6,
2021,Engineering,Remote Sensing,42,University of Helsinki,160.0,31.8,76.6,81.6,35.2,
2021,Engineering,Remote Sensing,43,Michigan State University,158.3,27.6,83.7,84.2,30.2,
2021,Engineering,Remote Sensing,44,Xiamen University,157.2,26.4,75.3,95.6,36.4,
2021,Engineering,Remote Sensing,45,Karlsruhe Institute of Technology (KIT),157.1,31.8,73.9,87,34,
2021,Engineering,Remote Sensing,46,University of Idaho,155.4,22.6,91.5,67.2,27.8,
2021,Engineering,Remote Sensing,47,Fudan University,155.3,28.8,78.8,70.9,33.6,
2021,Engineering,Remote Sensing,48,Beihang University,155.0,34.9,68.6,63,38.9,
2021,Engineering,Remote Sensing,49,"University of California, Berkeley",154.6,24.8,85.3,88.3,26.8,
2021,Engineering,Remote Sensing,50,University of Lisbon,154.0,27.4,77.5,87.9,31.5,
2021,Engineering,Remote Sensing,51-75,Beijing University of Chemical Technology,,17.4,97.4,80.8,20.3,
2021,Engineering,Remote Sensing,51-75,China University of Geosciences (Wuhan),,39.2,67.6,55.9,35.2,
