Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Social Sciences,Sociology,1,Harvard University,279.7,86.2,97.6,54.5,96.2,
2021,Social Sciences,Sociology,2,Stanford University,262.3,72.6,96.8,49.5,100,
2021,Social Sciences,Sociology,3,University of Michigan-Ann Arbor,257.2,89.3,91.6,54.8,72,
2021,Social Sciences,Sociology,4,University of Oxford,254.6,100,84.8,77.1,54.4,
2021,Social Sciences,Sociology,5,"University of California, Berkeley",251.8,74.7,86.5,42.2,92.3,
2021,Social Sciences,Sociology,6,University of Toronto,244.1,79.1,74.2,67.2,81.6,
2021,Social Sciences,Sociology,7,The Ohio State University - Columbus,240.9,86.5,84.8,49.3,63.8,
2021,Social Sciences,Sociology,8,Pennsylvania State University - University Park,236.8,86.9,81.8,47.8,60.9,
2021,Social Sciences,Sociology,9,Cornell University,235.9,87.6,82.7,54.3,57.7,
2021,Social Sciences,Sociology,10,University of Wisconsin - Madison,229.0,77.9,81.8,45.4,66.7,
2021,Social Sciences,Sociology,11,University of Amsterdam,224.8,85.1,93.4,73.7,43,
2021,Social Sciences,Sociology,12,The University of Texas at Austin,223.8,79.5,86,38.3,57.7,
2021,Social Sciences,Sociology,13,Duke University,223.4,63.1,97.1,56.3,74.5,
2021,Social Sciences,Sociology,14,"University of California, Los Angeles",221.9,73.1,87.1,49.7,63.8,
2021,Social Sciences,Sociology,15,Columbia University,219.2,57,84.1,55,86.1,
2021,Social Sciences,Sociology,16,Princeton University,215.7,60.7,100,52.8,69.4,
2021,Social Sciences,Sociology,17,University of North Carolina at Chapel Hill,212.7,70.5,84,41,60.9,
2021,Social Sciences,Sociology,18,University of Chicago,212.1,62.2,80,43.2,74.5,
2021,Social Sciences,Sociology,19,Indiana University Bloomington,209.4,67.8,84.3,46.8,60.9,
2021,Social Sciences,Sociology,20,Northwestern University,209.2,61.7,86.2,42.1,69.4,
2021,Social Sciences,Sociology,21,New York University,203.7,61.7,81.7,36.7,66.7,
2021,Social Sciences,Sociology,22,"University of California, Irvine",193.0,64.1,76.1,43.9,54.4,
