Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Social Sciences,Statistics,1,Harvard University,399.3,100,85.3,66.3,100,100
2021,Social Sciences,Statistics,2,Stanford University,307.0,79.4,91.9,59.4,87.5,48.5
2021,Social Sciences,Statistics,3,"University of California, Berkeley",301.4,71.1,82,64.7,83.2,64.2
2021,Social Sciences,Statistics,4,University of Pennsylvania,290.4,74.3,73.9,52.8,94.7,42
2021,Social Sciences,Statistics,5,Columbia University,281.5,71.1,92,67.1,73.6,48.5
2021,Social Sciences,Statistics,6,University of Cambridge,276.2,74.2,87.9,76.8,64.9,48.5
2021,Social Sciences,Statistics,7,Duke University,272.8,70.3,70.6,57.4,84.3,42
2021,Social Sciences,Statistics,8,University of Chicago,265.6,65.9,84,60,76.7,42
2021,Social Sciences,Statistics,9,University of North Carolina at Chapel Hill,264.8,68.7,67,58.4,88.1,34.3
2021,Social Sciences,Statistics,10,Princeton University,263.7,59,93.2,70.8,73,48.5
2021,Social Sciences,Statistics,11,University of Toronto,259.6,62.1,91,83.8,48.3,64.2
2021,Social Sciences,Statistics,12,University of Wisconsin - Madison,251.4,56.5,100,62.3,61.9,48.5
2021,Social Sciences,Statistics,13,Carnegie Mellon University,247.2,55.3,74.8,62.5,66.3,54.2
2021,Social Sciences,Statistics,14,Johns Hopkins University,243.9,62.6,82.7,54,61.1,42
2021,Social Sciences,Statistics,15,"University of California, Los Angeles",237.1,63,78.7,64.3,48.3,48.5
2021,Social Sciences,Statistics,16,University of Michigan-Ann Arbor,232.4,75.9,73.7,61.1,75.5,0
2021,Social Sciences,Statistics,17,ETH Zurich,228.1,55.3,100,79.7,38.7,48.5
2021,Social Sciences,Statistics,18,Texas A&M University,225.5,61,60.4,71.7,72.3,24.3
2021,Social Sciences,Statistics,19,University of Washington,217.8,69.8,72.5,63.6,70.4,0
2021,Social Sciences,Statistics,20,Massachusetts Institute of Technology (MIT),216.9,66.8,100,71.4,59.6,0
2021,Social Sciences,Statistics,21,University of Oxford,202.0,70.9,78.6,79.2,48.3,0
2021,Social Sciences,Statistics,22,"University of Minnesota, Twin Cities",199.9,60.5,67.3,57.7,69.7,0
2021,Social Sciences,Statistics,23,National University of Singapore,199.6,63,65.8,95.1,62.7,0
2021,Social Sciences,Statistics,24,North Carolina State University - Raleigh,195.2,55.3,61.4,54,76.1,0
2021,Social Sciences,Statistics,25,"University of California, Davis",193.9,52.6,73.5,64.9,71.7,0
2021,Social Sciences,Statistics,26,University College London,193.5,66.6,84.7,80.2,43.2,0
2021,Social Sciences,Statistics,27,The University of Texas at Austin,190.7,47.1,64,65.6,57.2,24.3
2021,Social Sciences,Statistics,28,Purdue University - West Lafayette,189.3,47.6,71,62,52.1,24.3
2021,Social Sciences,Statistics,29,Paris-Saclay University,188.8,56.7,61.8,64.9,32.1,34.3
2021,Social Sciences,Statistics,30,Yale University,186.4,58.6,72.5,66.4,55.5,0
2021,Social Sciences,Statistics,31,University of Warwick,183.7,59,67.8,83.4,53,0
2021,Social Sciences,Statistics,32,Pennsylvania State University - University Park,177.4,49.6,64.4,66.3,64.1,0
2021,Social Sciences,Statistics,33,The University of Texas M. D. Anderson Cancer Center,174.1,56.7,60.9,56.4,53,0
2021,Social Sciences,Statistics,34,University of Southern California,171.9,50.5,75.2,65,52.1,0
2021,Social Sciences,Statistics,35,University of Bristol,170.0,50.9,91,70.8,41,0
2021,Social Sciences,Statistics,36,University of Illinois at Urbana-Champaign,167.2,48.5,67.4,60.8,54.7,0
2021,Social Sciences,Statistics,37,"University of California, San Diego",165.8,53.3,73.8,68.2,42.1,0
2021,Social Sciences,Statistics,38,Peking University,164.0,46.1,69.1,81.5,52.1,0
2021,Social Sciences,Statistics,39,Imperial College London,163.8,55.3,75.4,82.7,34.9,0
2021,Social Sciences,Statistics,40,PSL University,162.0,49.6,90.5,75,34.9,0
2021,Social Sciences,Statistics,41,Cornell University,161.5,50.3,63.7,69.4,47.4,0
2021,Social Sciences,Statistics,42,The University of Hong Kong,161.2,47.6,69.3,68.5,48.3,0
2021,Social Sciences,Statistics,42,University of Florida,161.2,50.5,59.2,65.3,49.3,0
2021,Social Sciences,Statistics,44,London School of Economics and Political Science,159.2,44.4,65.9,85.1,51.2,0
2021,Social Sciences,Statistics,45,The University of Melbourne,159.1,48.3,66,83.4,45.3,0
