Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Engineering,Telecommunication Engineering,1,Xidian University,283.0,100,71.2,58.9,,
2021,Engineering,Telecommunication Engineering,2,Tsinghua University,281.8,94.3,80,65.6,,
2021,Engineering,Telecommunication Engineering,3,Southeast University,281.2,95.1,78.4,63.1,,
2021,Engineering,Telecommunication Engineering,4,University of Electronic Science and Technology of China,271.7,93.5,72.8,60.2,,
2021,Engineering,Telecommunication Engineering,5,Beijing University of Posts and Telecommunications,270.5,95.5,67.7,59,,
2021,Engineering,Telecommunication Engineering,6,Nanyang Technological University,246.8,73.1,82.9,88.9,,
2021,Engineering,Telecommunication Engineering,7,Shanghai Jiao Tong University,245.4,80.4,71.8,63.8,,
2021,Engineering,Telecommunication Engineering,8,University of British Columbia,237.5,62.4,94.6,90,,
2021,Engineering,Telecommunication Engineering,9,Huazhong University of Science and Technology,234.5,72.3,75.8,70,,
2021,Engineering,Telecommunication Engineering,10,National University of Singapore,230.3,56.8,100,83.6,,
2021,Engineering,Telecommunication Engineering,11,University of Waterloo,228.6,57.2,96.4,89,,
2021,Engineering,Telecommunication Engineering,12,University of Southampton,227.2,61.1,88.2,84.1,,
2021,Engineering,Telecommunication Engineering,13,Zhejiang University,226.9,68.7,76.1,66.5,,
2021,Engineering,Telecommunication Engineering,14,Dalian University of Technology,221.4,60.3,87.8,64.9,,
2021,Engineering,Telecommunication Engineering,15,City University of Hong Kong,218.5,64.3,77.5,61.9,,
2021,Engineering,Telecommunication Engineering,16,University of Technology Sydney,217.3,57.5,84,91.4,,
2021,Engineering,Telecommunication Engineering,17,University of Houston,212.9,49.3,95.5,94.4,,
2021,Engineering,Telecommunication Engineering,18,The Hong Kong University of Science and Technology,211.7,53,91.9,68.4,,
2021,Engineering,Telecommunication Engineering,19,Carleton University,211.0,46.9,100,85.3,,
2021,Engineering,Telecommunication Engineering,20,Georgia Institute of Technology,210.0,52.7,88.6,80,,
2021,Engineering,Telecommunication Engineering,21,University of Sydney,209.2,48.6,93.5,91.9,,
2021,Engineering,Telecommunication Engineering,22,Beijing Jiaotong University,207.9,61.7,70.9,67.8,,
2021,Engineering,Telecommunication Engineering,23,South China University of Technology,207.5,58.7,79.3,53.4,,
2021,Engineering,Telecommunication Engineering,24,Nanjing University of Posts and Telecommunications,205.9,60.6,73.2,57.4,,
2021,Engineering,Telecommunication Engineering,25,Singapore University of Technology & Design,205.8,48.5,90,93.7,,
2021,Engineering,Telecommunication Engineering,26,Queen Mary University of London,205.5,45.2,97.1,89.9,,
2021,Engineering,Telecommunication Engineering,27,Beihang University,205.4,62.9,68.1,57.8,,
2021,Engineering,Telecommunication Engineering,27,The University of New South Wales,205.4,47.8,92.6,86.2,,
2021,Engineering,Telecommunication Engineering,29,Paris-Saclay University,205.3,48.5,91.3,84.3,,
2021,Engineering,Telecommunication Engineering,30,Shenzhen University,203.9,58.2,74.9,63.4,,
2021,Engineering,Telecommunication Engineering,31,Princeton University,203.7,42.4,100,94.3,,
2021,Engineering,Telecommunication Engineering,32,Beijing Institute of Technology,203.0,59,72.6,62.4,,
2021,Engineering,Telecommunication Engineering,32,Lancaster University,203.0,42.3,100,91.8,,
2021,Engineering,Telecommunication Engineering,34,Harbin Institute of Technology,200.8,61.6,65.7,59.1,,
2021,Engineering,Telecommunication Engineering,35,The University of Texas at Austin,200.0,42.8,100,72.3,,
2021,Engineering,Telecommunication Engineering,36,Peking University,199.5,53.3,78.4,72.5,,
2021,Engineering,Telecommunication Engineering,37,KTH Royal Institute of Technology,198.8,53.2,74.8,87.8,,
2021,Engineering,Telecommunication Engineering,38,King Saud University,197.6,50.5,79,87.5,,
2021,Engineering,Telecommunication Engineering,39,King Abdullah University of Science and Technology,197.0,49.5,80.6,86.4,,
2021,Engineering,Telecommunication Engineering,40,Aalto University,196.6,49.3,81.2,84.3,,
2021,Engineering,Telecommunication Engineering,41,Virginia Polytechnic Institute and State University,196.5,45.2,91.5,73.2,,
2021,Engineering,Telecommunication Engineering,42,University of Science and Technology of China,195.8,57.4,68.2,63.9,,
2021,Engineering,Telecommunication Engineering,43,Xi'an Jiaotong University,193.8,54.4,72.6,62.1,,
2021,Engineering,Telecommunication Engineering,44,The Hong Kong Polytechnic University,191.7,50.3,77.8,66.6,,
2021,Engineering,Telecommunication Engineering,44,The University of Edinburgh,191.7,39.6,96.7,78.9,,
2021,Engineering,Telecommunication Engineering,46,University College London,191.1,46.2,82.5,81.3,,
2021,Engineering,Telecommunication Engineering,46,University of Oulu,191.1,43.3,86.5,90.3,,
2021,Engineering,Telecommunication Engineering,48,Kyung Hee University,188.7,42.6,86.5,84.4,,
