Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Engineering,Transportation Science & Technology,1,Southeast University,293.1,97.9,81.4,79.5,,
2021,Engineering,Transportation Science & Technology,2,Tsinghua University,291.6,95.9,84.8,74.7,,
2021,Engineering,Transportation Science & Technology,3,Beijing Jiaotong University,290.0,100,75,75.1,,
2021,Engineering,Transportation Science & Technology,4,The Hong Kong Polytechnic University,254.8,79.2,81,77.4,,
2021,Engineering,Transportation Science & Technology,5,Xidian University,251.6,74.7,86.3,79.4,,
2021,Engineering,Transportation Science & Technology,6,Delft University of Technology,251.4,82.6,71,75.5,,
2021,Engineering,Transportation Science & Technology,7,Tongji University,249.2,81.6,70.5,77.3,,
2021,Engineering,Transportation Science & Technology,8,Nanyang Technological University,243.8,72.7,80.6,88.7,,
2021,Engineering,Transportation Science & Technology,9,Beihang University,238.0,68.8,86.2,71.1,,
2021,Engineering,Transportation Science & Technology,10,Shanghai Jiao Tong University,237.5,74.9,73.5,70.9,,
2021,Engineering,Transportation Science & Technology,11,University of Waterloo,235.4,67.8,82.3,86.8,,
2021,Engineering,Transportation Science & Technology,12,Beijing University of Posts and Telecommunications,234.3,64.4,88.5,84.7,,
2021,Engineering,Transportation Science & Technology,13,University of British Columbia,233.5,67.3,81.8,86.2,,
2021,Engineering,Transportation Science & Technology,14,University of Sydney,232.9,72.6,72.7,75.2,,
2021,Engineering,Transportation Science & Technology,15,National University of Singapore,228.8,64.7,82.2,86.2,,
2021,Engineering,Transportation Science & Technology,16,University of Electronic Science and Technology of China,226.8,61.9,86.4,82.7,,
2021,Engineering,Transportation Science & Technology,17,Massachusetts Institute of Technology (MIT),226.4,66.9,77,78,,
2021,Engineering,Transportation Science & Technology,18,University of Leeds,223.3,65.5,76.8,78.2,,
2021,Engineering,Transportation Science & Technology,19,"University of California, Berkeley",218.6,66.3,71.1,74.9,,
2021,Engineering,Transportation Science & Technology,20,Southwest Jiaotong University,218.4,65.5,72.8,73.4,,
2021,Engineering,Transportation Science & Technology,21,Zhejiang University,216.0,60.2,79.5,80.4,,
2021,Engineering,Transportation Science & Technology,22,The Hong Kong University of Science and Technology,213.2,60.2,76.9,79.7,,
2021,Engineering,Transportation Science & Technology,23,Georgia Institute of Technology,213.1,60.2,77.8,74.6,,
2021,Engineering,Transportation Science & Technology,24,University of Southampton,212.9,63.2,70.3,80.5,,
2021,Engineering,Transportation Science & Technology,25,Dalian University of Technology,212.8,57.3,83.2,75.3,,
2021,Engineering,Transportation Science & Technology,26,Harbin Institute of Technology,210.7,56.3,81.2,84,,
2021,Engineering,Transportation Science & Technology,27,Beijing Institute of Technology,210.5,55.6,84.8,72.2,,
2021,Engineering,Transportation Science & Technology,28,The University of Hong Kong,209.4,58.4,80,62.6,,
2021,Engineering,Transportation Science & Technology,29,University of Michigan-Ann Arbor,209.1,61.1,73.3,68.1,,
2021,Engineering,Transportation Science & Technology,30,Huazhong University of Science and Technology,208.9,55.4,82.2,79.6,,
2021,Engineering,Transportation Science & Technology,31,Sun Yat-sen University,206.9,53,87.4,68,,
2021,Engineering,Transportation Science & Technology,32,The University of Texas at Austin,206.8,55.6,82,67.6,,
2021,Engineering,Transportation Science & Technology,33,University of Central Florida,205.5,51.2,88.9,71,,
2021,Engineering,Transportation Science & Technology,34,Carleton University,205.2,44.5,98,90.3,,
2021,Engineering,Transportation Science & Technology,35,KTH Royal Institute of Technology,204.7,59.5,70,77.9,,
2021,Engineering,Transportation Science & Technology,36,Shenzhen University,203.7,49.3,90,75,,
2021,Engineering,Transportation Science & Technology,37,Nanjing University of Posts and Telecommunications,202.8,43,100,83.6,,
2021,Engineering,Transportation Science & Technology,38,University of Science and Technology of China,201.4,48.2,90.3,72.6,,
2021,Engineering,Transportation Science & Technology,39,University of Montreal,199.8,56.8,70.4,78.9,,
2021,Engineering,Transportation Science & Technology,40,The University of New South Wales,199.3,59.8,65.2,72.8,,
2021,Engineering,Transportation Science & Technology,41,Lancaster University,198.7,41.1,100,82.1,,
2021,Engineering,Transportation Science & Technology,42,Chalmers University of Technology,196.0,54.2,72.6,75.3,,
2021,Engineering,Transportation Science & Technology,43,Peking University,195.1,42.1,95.3,78.5,,
2021,Engineering,Transportation Science & Technology,44,University of Technology Sydney,194.6,43.9,87.7,94.8,,
2021,Engineering,Transportation Science & Technology,45,Monash University,194.1,55.9,67.2,75.8,,
2021,Engineering,Transportation Science & Technology,46,"University of Maryland, College Park",193.6,56.3,67.7,65.9,,
2021,Engineering,Transportation Science & Technology,47,Purdue University - West Lafayette,193.5,56.3,69,59.4,,
2021,Engineering,Transportation Science & Technology,48,Central South University,192.9,47.4,84.5,67.6,,
2021,Engineering,Transportation Science & Technology,49,Université Gustave Eiffel,192.5,57.3,64,69.7,,
2021,Engineering,Transportation Science & Technology,50,University College London,192.2,55.4,67.6,68.7,,
2021,Engineering,Transportation Science & Technology,51-75,Arizona State University,,47.1,71.8,67.3,,
2021,Engineering,Transportation Science & Technology,51-75,Carnegie Mellon University,,44.2,80.9,65.8,,
