Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Life Sciences,Veterinary Sciences,1,Ghent University,282.5,91.9,75.6,74.8,100,
2021,Life Sciences,Veterinary Sciences,2,Nanjing Agricultural University,252.2,68.8,84.6,44.9,89.8,
2021,Life Sciences,Veterinary Sciences,3,University of Veterinary Medicine Hannover,242.7,80.3,69.9,66.6,79.2,
2021,Life Sciences,Veterinary Sciences,4,University of Copenhagen,241.9,78.3,84.8,78.7,63.1,
2021,Life Sciences,Veterinary Sciences,5,The Royal Veterinary College,241.7,96.3,85.1,75.6,45.3,
2021,Life Sciences,Veterinary Sciences,6,The University of Edinburgh,241.1,82.6,77.5,75.6,65.9,
2021,Life Sciences,Veterinary Sciences,7,Autonomous University of Barcelona,240.0,73.5,80.9,81.1,69.4,
2021,Life Sciences,Veterinary Sciences,8,University of Veterinary Medicine Vienna,234.9,77.9,73.2,80.6,67.7,
2021,Life Sciences,Veterinary Sciences,9,"University of California, Davis",233.6,100,71.4,59.4,50.3,
2021,Life Sciences,Veterinary Sciences,10,University of Bern,232.0,77.9,75.9,80.6,62.1,
2021,Life Sciences,Veterinary Sciences,11,Wageningen University & Research,228.7,67.7,86.9,85,57,
2021,Life Sciences,Veterinary Sciences,12,Complutense University of Madrid,228.0,67,84.2,78.1,61.1,
2021,Life Sciences,Veterinary Sciences,13,Technical University of Denmark,227.4,57.8,90,77.9,64,
2021,Life Sciences,Veterinary Sciences,14,Utrecht University,224.9,78.9,77.7,84,51.5,
2021,Life Sciences,Veterinary Sciences,15,University of Sydney,224.8,73.9,80.2,73.6,56,
2021,Life Sciences,Veterinary Sciences,16,China Agricultural University,223.3,54.8,81.8,56.9,75.3,
2021,Life Sciences,Veterinary Sciences,17,Iowa State University,223.0,65.2,80.3,62.8,64.9,
2021,Life Sciences,Veterinary Sciences,18,University of Guelph,222.9,83.6,75.3,74.3,49.1,
2021,Life Sciences,Veterinary Sciences,19,Northwest A&F University,220.9,58.6,87.5,44.5,65.9,
2021,Life Sciences,Veterinary Sciences,20,"University of Minnesota, Twin Cities",219.3,71.5,79.5,67.1,54.9,
2021,Life Sciences,Veterinary Sciences,21,The University of Melbourne,219.2,64.1,81.5,72.5,59.1,
2021,Life Sciences,Veterinary Sciences,22,Leibniz University Hannover,218.3,68.5,68.5,63.8,68.5,
2021,Life Sciences,Veterinary Sciences,23,The Ohio State University - Columbus,216.9,68.4,77.2,60.6,59.1,
2021,Life Sciences,Veterinary Sciences,24,Swedish University of Agricultural Sciences,216.1,74.6,84.7,86.5,39.6,
2021,Life Sciences,Veterinary Sciences,25,Yangzhou University,215.6,51.5,77.7,51.6,76,
2021,Life Sciences,Veterinary Sciences,26,University of Zurich,213.1,77.3,73.8,77.3,46.6,
2021,Life Sciences,Veterinary Sciences,27,South China Agricultural University,212.4,56,90.6,38.8,58.1,
2021,Life Sciences,Veterinary Sciences,28,University of Liverpool,210.7,73,77.5,74.3,45.3,
2021,Life Sciences,Veterinary Sciences,29,Cornell University,207.9,76.5,74.5,65.1,43.9,
2021,Life Sciences,Veterinary Sciences,30,The University of Georgia,205.9,70.8,69.2,55.2,54.9,
2021,Life Sciences,Veterinary Sciences,31,Huazhong Agricultural University,204.4,57.4,86.8,61.9,47.8,
2021,Life Sciences,Veterinary Sciences,32,University of Murcia,202.2,63.9,87.5,80.4,34.7,
2021,Life Sciences,Veterinary Sciences,33,University of Sao Paulo,199.6,80.7,62.1,51,46.6,
2021,Life Sciences,Veterinary Sciences,34,The University of Glasgow,199.0,57.5,76.9,77.6,49.1,
2021,Life Sciences,Veterinary Sciences,35,University of Milan,196.6,67.9,80.6,66.7,34.7,
2021,Life Sciences,Veterinary Sciences,36,Massey University,196.4,64.8,73.5,77.9,42.5,
2021,Life Sciences,Veterinary Sciences,37,Texas A&M University,195.7,74.8,75.5,62.4,32.9,
2021,Life Sciences,Veterinary Sciences,38,Sun Yat-sen University,195.2,52.6,93.4,33.8,42.5,
2021,Life Sciences,Veterinary Sciences,39,University of Montreal,194.3,54.5,77.1,74.6,47.8,
2021,Life Sciences,Veterinary Sciences,40,Free University Berlin,193.3,51.8,66,66.7,62.1,
2021,Life Sciences,Veterinary Sciences,40,University of Padua,193.3,65.1,85.1,70.5,29,
2021,Life Sciences,Veterinary Sciences,42,Norwegian University of Life Sciences,193.2,56.4,88,79.3,32.9,
2021,Life Sciences,Veterinary Sciences,43,The University of Queensland,192.6,62.8,76.2,78.2,38,
2021,Life Sciences,Veterinary Sciences,44,University of Bari,192.5,48.8,80,73.3,49.1,
2021,Life Sciences,Veterinary Sciences,44,University of Florida,192.5,70.9,70.9,63.4,38,
2021,Life Sciences,Veterinary Sciences,46,Kansas State University,190.1,55.2,67.5,51.7,57,
2021,Life Sciences,Veterinary Sciences,47,Murdoch University,189.9,51.7,76.4,76.4,46.6,
2021,Life Sciences,Veterinary Sciences,48,Shandong Agricultural University,189.0,38.3,87.1,32.6,57,
2021,Life Sciences,Veterinary Sciences,49,The University of Calgary,188.2,45,84.7,72.7,43.9,
2021,Life Sciences,Veterinary Sciences,50,North Carolina State University - Raleigh,187.1,75.9,78.5,53.5,22,
2021,Life Sciences,Veterinary Sciences,51-75,Aarhus University,,55.5,83.3,78,29,
2021,Life Sciences,Veterinary Sciences,51-75,Colorado State University,,75.1,74.3,53.4,22,
2021,Life Sciences,Veterinary Sciences,51-75,Henan Agricultural University,,31.5,94.5,43.4,38,
2021,Life Sciences,Veterinary Sciences,51-75,Jilin University,,34.1,74.8,56.6,52.6,
2021,Life Sciences,Veterinary Sciences,51-75,Seoul National University,,45.6,64.8,50.6,56,
2021,Life Sciences,Veterinary Sciences,51-75,Sichuan Agricultural University,,52.6,92.2,36.8,31,
2021,Life Sciences,Veterinary Sciences,51-75,UNESP,,76.5,57.7,49.7,36.4,
2021,Life Sciences,Veterinary Sciences,51-75,University College Dublin,,57.9,82,81.9,26.9,
2021,Life Sciences,Veterinary Sciences,51-75,University of Bologna,,61.8,77.3,66.7,29,
2021,Life Sciences,Veterinary Sciences,51-75,University of Bristol,,62,74.4,64.3,29,
2021,Life Sciences,Veterinary Sciences,51-75,University of Cambridge,,45.7,76.9,73.3,41.1,
2021,Life Sciences,Veterinary Sciences,51-75,University of Castilla–La Mancha,,36.4,88.8,78.1,38,
2021,Life Sciences,Veterinary Sciences,51-75,University of Cordoba,,53.3,71.4,77.4,46.6,
2021,Life Sciences,Veterinary Sciences,51-75,University of Giessen,,52.4,66.6,67.9,47.8,
2021,Life Sciences,Veterinary Sciences,51-75,University of Helsinki,,52.3,81.5,79.3,31,
2021,Life Sciences,Veterinary Sciences,51-75,University of Liege,,52.1,65.8,87.4,42.5,
2021,Life Sciences,Veterinary Sciences,51-75,University of Munich,,57.4,75.3,67.4,34.7,
2021,Life Sciences,Veterinary Sciences,51-75,University of Naples Federico II,,47.1,92.4,71.4,32.9,
2021,Life Sciences,Veterinary Sciences,51-75,University of Nottingham,,62.2,73,61.8,38,
